
[00:00:00.000 --> 00:00:05.520]  在獵王紀上十七章到獵王紀下第一章
[00:00:05.520 --> 00:00:10.360]  講述阿哈王朝和他的兒子阿哈謝王朝
[00:00:10.360 --> 00:00:14.160]  兩人都是不好的皇帝
[00:00:14.160 --> 00:00:16.440]  當他們死後
[00:00:16.440 --> 00:00:20.320]  阿哈的兒子約蘭登基
[00:00:20.320 --> 00:00:24.080]  在獵王紀下第三章講述這個王是怎樣的王
[00:00:24.080 --> 00:00:28.440]  基本上跟他父親和哥哥一樣
[00:00:28.440 --> 00:00:32.720]  都是行眼中 也就是眼中看為惡的事
[00:00:32.720 --> 00:00:35.920]  也就是說在那個世代當中
[00:00:35.920 --> 00:00:39.920]  連續三個皇帝都是不理想的
[00:00:39.920 --> 00:00:43.040]  在神的眼中不好
[00:00:43.040 --> 00:00:46.400]  繼續去敬拜偶像巴力仙之
[00:00:46.400 --> 00:00:48.880]  也有各種的罪行
[00:00:48.880 --> 00:00:53.160]  在一個黑暗的時代
[00:00:53.160 --> 00:00:56.120]  在一個黑暗時代當中發生了一個小故事
[00:00:56.120 --> 00:00:58.120]  就是今天這個小故事
[00:00:58.120 --> 00:01:00.120]  提醒一下
[00:01:00.120 --> 00:01:03.120]  發生在四章一節
[00:01:03.120 --> 00:01:05.600]  講述一個無名的婦人
[00:01:05.600 --> 00:01:07.600]  不知道叫什麼名字
[00:01:07.600 --> 00:01:09.960]  但她的丈夫是個先知
[00:01:09.960 --> 00:01:11.960]  不過他死了
[00:01:11.960 --> 00:01:16.080]  他死的原因不是因為他恨耶和華眼中看為惡的事
[00:01:16.080 --> 00:01:17.520]  而是相反的
[00:01:17.520 --> 00:01:18.720]  因為經文說到
[00:01:18.720 --> 00:01:23.360]  她丈夫是一個敬虔敬畏耶和華神的人
[00:01:23.360 --> 00:01:26.360]  敬畏耶和華 尊敬神
[00:01:26.360 --> 00:01:28.360]  卻可以遇上不幸的事件
[00:01:28.360 --> 00:01:30.360]  救藥太多
[00:01:30.360 --> 00:01:32.360]  聖經中很多人物都是這樣
[00:01:32.360 --> 00:01:35.360]  約伯 但爾利 史提反 保羅
[00:01:35.360 --> 00:01:38.360]  跟從耶穌基督的都可能遇上很多艱難
[00:01:38.360 --> 00:01:40.360]  正如你和我一樣
[00:01:40.360 --> 00:01:42.360]  在這個故事當中
[00:01:42.360 --> 00:01:44.360]  婦人成為寡婦
[00:01:44.360 --> 00:01:46.360]  在近東文化中一個寡婦
[00:01:46.360 --> 00:01:48.360]  變得非常脆弱
[00:01:48.360 --> 00:01:51.360]  就像路德記所說的路德和拿奧米的故事
[00:01:51.360 --> 00:01:53.360]  在這麼脆弱的情境當中
[00:01:53.360 --> 00:01:57.360]  第一節說到她面臨另一個危機
[00:01:57.360 --> 00:01:59.360]  挑戰債主
[00:01:59.360 --> 00:02:02.360]  我們不知道這個家庭為什麼欠債
[00:02:02.360 --> 00:02:03.360]  誰借錢
[00:02:03.360 --> 00:02:04.360]  經文沒有說
