
[00:00:00.000 --> 00:00:07.080]  今天就來講傳道書第七章的十五節至二十九節這段經文
[00:00:07.080 --> 00:00:11.440]  傳道書在第六章至第七八章
[00:00:11.440 --> 00:00:13.560]  其實都處理一個很重要的問題
[00:00:13.560 --> 00:00:16.840]  這個問題就是在猶太人的傳統裡面認為
[00:00:16.840 --> 00:00:19.280]  行義的人是會得福的
[00:00:19.280 --> 00:00:23.000]  行惡的人是會得上帝的審判的
[00:00:23.000 --> 00:00:27.640]  傳道者在這三章經文裡面基本上就是要處理
[00:00:27.640 --> 00:00:32.000]  究竟傳統這個說法是不是正確的呢?
[00:00:32.000 --> 00:00:36.160]  在第六章他就處理什麼叫做福氣
[00:00:36.160 --> 00:00:38.720]  真正的福氣是什麼呢?
[00:00:38.720 --> 00:00:42.600]  然後在第七章的十四節說
[00:00:42.600 --> 00:00:45.080]  遇亨通的日子理當喜樂
[00:00:45.080 --> 00:00:47.880]  遭患難的日子理當思想
[00:00:47.880 --> 00:00:50.360]  因為臣使者兩樣並列
[00:00:50.360 --> 00:00:54.120]  為的是叫人查不出身後有什麼事
[00:00:54.120 --> 00:00:55.880]  禍福無門
[00:00:55.880 --> 00:00:58.840]  有時候在人間裡面我們真的不知道什麼是福
[00:00:58.840 --> 00:01:00.200]  什麼是禍
[00:01:00.200 --> 00:01:02.960]  很多時候也無法去改變
[00:01:02.960 --> 00:01:05.080]  從現實上來說
[00:01:05.080 --> 00:01:06.600]  傳道者可以這麼說
[00:01:06.600 --> 00:01:07.760]  長遠來說
[00:01:07.760 --> 00:01:11.360]  趨吉避凶的想法
[00:01:11.360 --> 00:01:13.720]  或者現實上根本是不可能的
[00:01:13.720 --> 00:01:16.360]  因為我們真的不知道什麼是福
[00:01:16.360 --> 00:01:17.400]  什麼是禍
[00:01:17.400 --> 00:01:19.560]  所以傳道者就說
[00:01:19.560 --> 00:01:21.200]  當在現實上今天
[00:01:21.200 --> 00:01:23.400]  我們真的感受到福氣來了
[00:01:23.400 --> 00:01:25.040]  我們就好好享受
[00:01:25.040 --> 00:01:26.600]  當有些禍來到
[00:01:26.600 --> 00:01:29.320]  我們就好好去回應
[00:01:29.320 --> 00:01:32.640]  在這一節經文之後
[00:01:32.640 --> 00:01:38.520]  傳道者就繼續另一段很重要的觀念
[00:01:38.520 --> 00:01:40.360]  就是第七章的十五節
[00:01:40.360 --> 00:01:42.120]  到八章的十四節
[00:01:42.120 --> 00:01:43.800]  這裡其實是一大段
[00:01:43.800 --> 00:01:45.120]  去處理一個觀念
[00:01:45.120 --> 00:01:47.240]  就是行義的一個問題
[00:01:47.240 --> 00:01:49.400]  七章十五節他這麼說
[00:01:49.400 --> 00:01:50.800]  有義人行義
[00:01:50.800 --> 00:01:51.960]  反自滅亡
[00:01:51.960 --> 00:01:53.440]  有惡人行惡
[00:01:53.440 --> 00:01:54.760]  倒享長壽
[00:01:54.760 --> 00:01:58.680]  這都是我在虛度之日所見過的
[00:01:58.680 --> 00:02:01.640]  接著在八章十四節這麼說
[00:02:01.640 --> 00:02:04.000]  世上有一件虛空的事
[00:02:04.000 --> 00:02:06.160]  就是義人所遭遇的
[00:02:06.160 --> 00:02:08.160]  反照惡人所行的
