
[00:00:00.000 --> 00:00:03.000]  斷捨離,大家一定不陌生
[00:00:03.000 --> 00:00:06.000]  大概在2010年
[00:00:06.000 --> 00:00:09.000]  日本有一個後來稱為整理教主
[00:00:09.000 --> 00:00:12.000]  就是熱潮
[00:00:12.000 --> 00:00:15.000]  很多不同的討論
[00:00:15.000 --> 00:00:18.000]  有關實踐就有
[00:00:18.000 --> 00:00:21.000]  你喜歡整理家居嗎?
[00:00:21.000 --> 00:00:24.000]  很痛苦還是很開心的事?
[00:00:24.000 --> 00:00:27.000]  其實人生都要整理
[00:00:27.000 --> 00:00:30.000]  他說整理家居空間大了
[00:00:30.000 --> 00:00:33.000]  住得舒服了,心靈也健康了
[00:00:33.000 --> 00:00:36.000]  也有道理
[00:00:36.000 --> 00:00:39.000]  我們是新心靈
[00:00:39.000 --> 00:00:42.000]  心靈的健康也重要
[00:00:42.000 --> 00:00:45.000]  我們的心靈也要整理一下
[00:00:45.000 --> 00:00:48.000]  所以我們信仰裡提醒我們要退休
[00:00:48.000 --> 00:00:51.000]  要整理一下我們的生命
[00:00:51.000 --> 00:00:54.000]  很多值得我們去思考
[00:00:54.000 --> 00:00:57.000]  斷捨離,也離不開
[00:00:57.000 --> 00:01:00.000]  斷絕,捨去,離開
[00:01:00.000 --> 00:01:03.000]  都是說不好的東西
[00:01:03.000 --> 00:01:06.000]  要捨棄
[00:01:06.000 --> 00:01:09.000]  在教會裡的年曆
[00:01:09.000 --> 00:01:12.000]  一個節期大家都知道
[00:01:12.000 --> 00:01:15.000]  上個月22號
[00:01:15.000 --> 00:01:18.000]  應該是今個二三年的大齋期
[00:01:18.000 --> 00:01:21.000]  或者叫做御府期
[00:01:21.000 --> 00:01:24.000]  仿效起源四世紀
[00:01:24.000 --> 00:01:27.000]  耶穌在曠野禁食
[00:01:27.000 --> 00:01:30.000]  並且得聖時談的事跡
[00:01:30.000 --> 00:01:33.000]  今天要分享經文
[00:01:33.000 --> 00:01:36.000]  預備在復活節主日前的四十天
[00:01:36.000 --> 00:01:39.000]  不計六個主日
[00:01:39.000 --> 00:01:42.000]  就會有這樣的節期
[00:01:42.000 --> 00:01:45.000]  目的做什麼呢?
[00:01:45.000 --> 00:01:48.000]  主要紀念耶穌受苦為世人
[00:01:48.000 --> 00:01:54.000]  那種犧牲,贖罪的榜樣
[00:01:54.000 --> 00:01:57.000]  一方面感謝神成就了救恩
[00:01:57.000 --> 00:02:00.000]  在復活節的日子
[00:02:00.000 --> 00:02:03.000]  這些節期做什麼呢?
[00:02:03.000 --> 00:02:07.000]  傳統有齋戒,做私語的事情
[00:02:07.000 --> 00:02:12.000]  祈禱,刻意做一些簡約的生活
[00:02:12.000 --> 00:02:17.000]  去克己,克苦一些的操練
[00:02:17.000 --> 00:02:20.000]  體會主為我們受苦,受死
[00:02:20.000 --> 00:02:25.000]  目的就是希望興亥一些我們的慾望
[00:02:25.000 --> 00:02:27.000]  或者一些的需要
[00:02:27.000 --> 00:02:31.000]  效法耶穌在面對試探
[00:02:31.000 --> 00:02:33.000]  能夠怎樣得聖
[00:02:33.000 --> 00:02:35.000]  最具代表就是
[00:02:35.000 --> 00:02:38.000]  除了在飲食上做一些調節
