
[00:00:00.000 --> 00:00:02.440]  我相信這個題目大家都有機會去聽
[00:00:02.440 --> 00:00:03.880]  所以我就打算很簡單
[00:00:03.880 --> 00:00:05.760]  但是將一些基本的經歷
[00:00:05.760 --> 00:00:08.000]  我自己的一些體會跟大家分享一下
[00:00:08.000 --> 00:00:11.320]  我很少提及一些電影的
[00:00:11.320 --> 00:00:12.600]  不過這次也想提
[00:00:12.600 --> 00:00:15.360]  大家可能有些人看過一套電影叫《Shine》
[00:00:15.360 --> 00:00:18.960]  是不是《閃亮的光彩》
[00:00:18.960 --> 00:00:22.800]  這套電影提到有一個音樂家
[00:00:22.800 --> 00:00:24.520]  在他的成長過程
[00:00:24.520 --> 00:00:26.640]  他父親對他有很高的要求
[00:00:26.640 --> 00:00:29.920]  特別其中一首的名曲
[00:00:30.440 --> 00:00:31.480]  是很難彈
[00:00:31.480 --> 00:00:33.680]  但是他很希望他能夠彈到
[00:00:33.680 --> 00:00:36.280]  因此英國的年輕音樂家
[00:00:36.280 --> 00:00:37.680]  用很多的精神
[00:00:37.680 --> 00:00:39.480]  很多的代價
[00:00:39.480 --> 00:00:42.120]  盡量能夠彈到這首名曲
[00:00:42.120 --> 00:00:44.480]  有一天當他在群眾面前
[00:00:44.480 --> 00:00:46.360]  演奏成功這首名曲
[00:00:46.360 --> 00:00:48.920]  得到很多的掌聲
[00:00:48.920 --> 00:00:50.760]  但當他站起來的時候
[00:00:50.760 --> 00:00:52.600]  然後他就倒下
[00:00:52.600 --> 00:00:53.960]  太大的壓力
[00:00:53.960 --> 00:00:56.600]  一時間令到他的精神崩潰
[00:00:56.600 --> 00:00:58.160]  當他站起來之後
[00:00:58.160 --> 00:01:00.280]  已經成為一個精神錯亂的人
[00:01:00.280 --> 00:01:04.720]  這套電影給我心中感受一點就是
[00:01:04.720 --> 00:01:07.600]  我們在自己的內心
[00:01:07.600 --> 00:01:09.040]  或者在外面
[00:01:09.040 --> 00:01:10.760]  都有一個父親
[00:01:10.760 --> 00:01:13.600]  這個父親對我們有一些要求
[00:01:13.600 --> 00:01:15.960]  就算這個父親不存在
[00:01:15.960 --> 00:01:18.000]  我們內心也有另一個父親
[00:01:18.000 --> 00:01:20.320]  不斷要求我們要有成就
[00:01:20.320 --> 00:01:21.280]  要有成就
[00:01:21.280 --> 00:01:22.280]  要有成就
[00:01:22.280 --> 00:01:23.680]  特別弟兄來說
[00:01:23.680 --> 00:01:25.240]  更加體會這件事情
[00:01:25.240 --> 00:01:28.080]  但是我們看回《成經》的時候發覺
[00:01:28.240 --> 00:01:30.080]  真正的天父
[00:01:30.080 --> 00:01:33.280]  沒有要求我們一定有成就
[00:01:33.280 --> 00:01:37.600]  但是期望我們的生命能夠成長
[00:01:37.600 --> 00:01:40.160]  這個有太大的分別
[00:01:40.160 --> 00:01:44.000]  我們不一定要為我們有沒有成就而負責任
[00:01:44.000 --> 00:01:47.520]  但是必須要為我們自己的生命而負責任
[00:01:47.520 --> 00:01:49.760]  你的生命能否成長
[00:01:49.760 --> 00:01:52.120]  是你要有天要向神交代的
[00:01:52.120 --> 00:01:55.200]  而今天我們每一個弟兄姊妹都要留心
[00:01:55.200 --> 00:01:58.960]  不要被那種血氣、仁義的自我要求
[00:01:58.960 --> 00:02:00.680]  帶來一些壓力
[00:02:00.680 --> 00:02:02.680]  以至我們不能夠跟隨神
[00:02:02.680 --> 00:02:08.160]  不能夠真的將注意放在生命成長的過程裡面
[00:02:08.160 --> 00:02:11.600]  這個是我們首先需要留意提醒自己
[00:02:11.600 --> 00:02:13.640]  很清楚第一方面
[00:02:13.640 --> 00:02:16.520]  神是重視我們的生命過於一切的
[00:02:16.520 --> 00:02:20.520]  有一次一位弟兄和一位長者聊天
[00:02:20.520 --> 00:02:22.280]  這位長者是帶領他信主的
[00:02:22.280 --> 00:02:23.920]  這位弟兄做生意
[00:02:24.160 --> 00:02:25.120]  後來他告訴我
[00:02:25.120 --> 00:02:27.040]  他和這位長者聊天的時候很奇怪
[00:02:27.040 --> 00:02:28.920]  我告訴他很開心
[00:02:28.920 --> 00:02:30.440]  我有很多生意發展
[00:02:30.440 --> 00:02:32.320]  現在成就不錯
[00:02:32.320 --> 00:02:33.280]  挺好的
[00:02:33.280 --> 00:02:35.640]  這位長者停一停就說
