
[00:00:00.000 --> 00:00:04.840]  今天和大家思想承認主耶穌的名
[00:00:04.840 --> 00:00:07.720]  一個重要的方向就是人生裏面
[00:00:07.720 --> 00:00:11.840]  你認出哪一位是神 是你的神
[00:00:11.840 --> 00:00:15.360]  亦都很願意公開地承認祂
[00:00:15.360 --> 00:00:16.680]  基督徒不是基督徒
[00:00:16.680 --> 00:00:17.800]  有些時候都有一個挑戰
[00:00:17.800 --> 00:00:21.440]  就是想將這種承認隱藏著
[00:00:21.440 --> 00:00:26.400]  但是請鼓勵我們公開地去確認這位是我們的神
[00:00:26.400 --> 00:00:29.000]  剛剛前幾個星期我在報道聚會當中
[00:00:29.000 --> 00:00:31.680]  我提及一個人物我想再提一下
[00:00:31.680 --> 00:00:34.280]  是我自己在中學時期的一位老師
[00:00:34.280 --> 00:00:36.160]  他是教我中文的
[00:00:36.160 --> 00:00:39.640]  但同時他是一位業餘的天文學家
[00:00:39.640 --> 00:00:42.040]  這位叫做廖慶齊先生
[00:00:42.040 --> 00:00:45.920]  亦都是香港太空館第一任的館長
[00:00:45.920 --> 00:00:50.360]  當他離開學校之後被邀請去做館長
[00:00:50.360 --> 00:00:52.200]  很多年來我得到他的幫助
[00:00:52.200 --> 00:00:56.800]  對天文的認識 對中文的認識很多的學習
[00:00:56.800 --> 00:00:59.440]  很多年之後當他退休在美國定居
[00:00:59.440 --> 00:01:01.600]  有一次我有機會去探望他
[00:01:01.600 --> 00:01:06.440]  去到他家裡看到他後院有一個自己的太空館
[00:01:06.440 --> 00:01:08.040]  這個太空館按了按鈕
[00:01:08.040 --> 00:01:09.640]  屋頂就會打開
[00:01:09.640 --> 00:01:13.360]  伸出兩支巨型的望遠鏡
[00:01:13.360 --> 00:01:16.400]  很驚訝竟然有這樣的設施
[00:01:16.400 --> 00:01:19.560]  然後他告訴我這是他自己做的
[00:01:19.560 --> 00:01:20.920]  他告訴我聽很多天文
[00:01:20.920 --> 00:01:22.920]  很多星星 很多月亮
[00:01:22.920 --> 00:01:26.960]  很多星上的奧秘 很驚 很驚詫
[00:01:26.960 --> 00:01:28.400]  這些的一切
[00:01:28.400 --> 00:01:29.480]  後來他告訴我
[00:01:29.480 --> 00:01:31.480]  他說你知不知道我信了耶穌
[00:01:31.480 --> 00:01:34.120]  我說我不知道
[00:01:34.120 --> 00:01:35.600]  他說其實很多年
