
[00:00:00.000 --> 00:00:05.000]  我們提到安息就是活在神此刻的同在當中
[00:00:05.000 --> 00:00:07.000]  當我們說到安息日的時候
[00:00:07.000 --> 00:00:10.000]  大家記得我們這幾個星期都有提及安息日
[00:00:10.000 --> 00:00:12.000]  我們說到安息日
[00:00:12.000 --> 00:00:15.000]  是你將一些慣常的工作放下
[00:00:15.000 --> 00:00:19.000]  以至你心靈有空間可以思想神的作為
[00:00:19.000 --> 00:00:21.000]  可以敬拜祂
[00:00:21.000 --> 00:00:24.000]  更加懂得將一切交託給祂
[00:00:24.000 --> 00:00:26.000]  承認祂是神
[00:00:26.000 --> 00:00:29.000]  當然安息日不單單是說一個星期一天
[00:00:29.000 --> 00:00:32.000]  而是說你每一天每時每刻
[00:00:32.000 --> 00:00:35.000]  去經歷神給你的安息
[00:00:35.000 --> 00:00:37.000]  因為知道祂對你的保守
[00:00:37.000 --> 00:00:39.000]  你遇到困難的時候
[00:00:39.000 --> 00:00:41.000]  心中可以平安地面對
[00:00:41.000 --> 00:00:43.000]  這個是安息
[00:00:43.000 --> 00:00:47.000]  很多人都問當主耶穌和門徒在小船上的時候
[00:00:47.000 --> 00:00:51.000]  為什麼大風大浪都可以睡覺?
[00:00:51.000 --> 00:00:55.000]  你有沒有試過當你遇到一些海浪的時候
[00:00:55.000 --> 00:00:58.000]  你可以在裡面睡得著覺呢?
[00:00:58.000 --> 00:00:59.000]  不單止這樣
[00:00:59.000 --> 00:01:02.000]  當時海浪湧上船上
[00:01:02.000 --> 00:01:04.000]  船上差不多滿了水
[00:01:04.000 --> 00:01:09.000]  而且可以想像當時的門徒一定大聲地叫圈
[00:01:09.000 --> 00:01:13.000]  一定不斷地喊「撥水啦!撥水啦!」
[00:01:13.000 --> 00:01:16.000]  耶穌竟然睡得著覺
[00:01:16.000 --> 00:01:20.000]  我想起很多年前我曾經去過一個街市
[00:01:20.000 --> 00:01:22.000]  當時街市很嘈吵
[00:01:22.000 --> 00:01:25.000]  見到一個太太一位小販
[00:01:25.000 --> 00:01:29.000]  她用背帶背著一個小孩子在她背上
[00:01:29.000 --> 00:01:31.000]  當時我見到整個街市很嘈吵
[00:01:31.000 --> 00:01:35.000]  這位小販也在周圍很大聲地在做買賣
[00:01:35.000 --> 00:01:37.000]  但我看一看她的小孩子
[00:01:37.000 --> 00:01:40.000]  是睡著了
[00:01:40.000 --> 00:01:42.000]  很安詳地
[00:01:42.000 --> 00:01:47.000]  相信在她母親的背上安靜地睡覺
[00:01:47.000 --> 00:01:48.000]  各位聽眾
[00:01:48.000 --> 00:01:51.000]  當我們什麼時候很清楚確認
[00:01:51.000 --> 00:01:55.000]  這位上帝是掌管我們生命的上帝
[00:01:55.000 --> 00:01:58.000]  你會知道主耶穌為什麼可以睡得著
[00:01:58.000 --> 00:02:00.000]  因為祂對神的保守
[00:02:00.000 --> 00:02:04.000]  對神的掌權有絕對的把握
[00:02:04.000 --> 00:02:07.000]  因此祂可以在大風大浪裡
[00:02:07.000 --> 00:02:09.000]  仍然可以安睡
[00:02:09.000 --> 00:02:13.000]  我們很需要求神將這份信心賜給我們
[00:02:13.000 --> 00:02:16.000]  能夠常享受神給我們的安息
[00:02:16.000 --> 00:02:18.000]  而《創下書》提醒我們
[00:02:18.000 --> 00:02:22.000]  首先要留意的是不要害怕
[00:02:22.000 --> 00:02:25.000]  兩次地說不要害怕
[00:02:25.000 --> 00:02:26.000]  因為人的恐懼
[00:02:26.000 --> 00:02:27.000]  人的害怕
[00:02:27.000 --> 00:02:29.000]  叫我們看不見神
[00:02:29.000 --> 00:02:31.000]  害怕會遮蓋我們的眼睛
[00:02:31.000 --> 00:02:34.000]  叫我們看不到神
[00:02:34.000 --> 00:02:35.000]  大家看看聖經在
[00:02:35.000 --> 00:02:40.000]  《二創下書》四十三章第一節中間這樣說
[00:02:40.000 --> 00:02:42.000]  「現在如此說
[00:02:42.000 --> 00:02:44.000]  你不要害怕
[00:02:44.000 --> 00:02:46.000]  因為我救贖了你
[00:02:46.000 --> 00:02:48.000]  我曾提你名召你
[00:02:48.000 --> 00:02:50.000]  你是屬我的」
[00:02:50.000 --> 00:02:53.000]  這句話是誰說的呢?
[00:02:53.000 --> 00:02:55.000]  前面提到是創造你的
[00:02:55.000 --> 00:02:58.000]  或是造成你的那一位
[00:02:58.000 --> 00:03:01.000]  跟你說不要害怕
[00:03:01.000 --> 00:03:02.000]  我相信大家會很明白
[00:03:02.000 --> 00:03:06.000]  如果你遇到一些很緊張的處境
[00:03:06.000 --> 00:03:08.000]  很恐懼的環境
[00:03:08.000 --> 00:03:10.000]  你身邊有一個朋友
[00:03:10.000 --> 00:03:11.000]  他也很害怕
[00:03:11.000 --> 00:03:13.000]  全身發抖
[00:03:13.000 --> 00:03:15.000]  然後他跟你說
[00:03:15.000 --> 00:03:20.000]  你不用怕
[00:03:20.000 --> 00:03:23.000]  我想你會很怕
[00:03:23.000 --> 00:03:24.000]  你會很害怕
[00:03:24.000 --> 00:03:26.000]  他所說的話對你來說沒有意思
[00:03:26.000 --> 00:03:28.000]  因為他也在害怕
[00:03:28.000 --> 00:03:30.000]  但你記得上帝跟你說話
[00:03:30.000 --> 00:03:33.000]  是那位創造你生命的上帝
[00:03:33.000 --> 00:03:34.000]  沒有權柄
[00:03:34.000 --> 00:03:36.000]  沒有慈愛的上帝告訴你
[00:03:36.000 --> 00:03:40.000]  你不要害怕
[00:03:40.000 --> 00:03:42.000]  然後他說出原因
[00:03:42.000 --> 00:03:45.000]  聖經說「因為我救贖了你
[00:03:45.000 --> 00:03:47.000]  我曾提你名召你
[00:03:47.000 --> 00:03:50.000]  你是屬我的」
[00:03:50.000 --> 00:03:53.000]  因為這位上帝是他拯救了我們
[00:03:53.000 --> 00:03:55.000]  用重價買贖了我們
[00:03:55.000 --> 00:03:59.000]  他不會放棄掉低我們
[00:03:59.000 --> 00:04:00.000]  而且他告訴我們
[00:04:00.000 --> 00:04:03.000]  我提名召你
[00:04:03.000 --> 00:04:05.000]  好像他跟我說
[00:04:05.000 --> 00:04:06.000]  跟你說
