
[00:00:00.000 --> 00:00:03.000]  在此篇34篇
[00:00:03.000 --> 00:00:07.600]  大衛呼籲我們有兩件很重要的事情
[00:00:07.600 --> 00:00:11.400]  第一是全心地去投靠主
[00:00:11.400 --> 00:00:14.000]  去尋求禱告主
[00:00:14.000 --> 00:00:17.600]  第二全心地去敬畏上帝
[00:00:17.600 --> 00:00:21.000]  投靠上帝和敬畏上帝兩件事情
[00:00:21.000 --> 00:00:23.800]  其實二合而為一
[00:00:23.800 --> 00:00:26.000]  在你讀聖經的時候就會體會到
[00:00:26.000 --> 00:00:28.800]  當人經歷神的恩惠之後
[00:00:28.800 --> 00:00:31.400]  對神一個最合適的回應
[00:00:31.400 --> 00:00:33.200]  就是帶著敬畏的心
[00:00:33.200 --> 00:00:36.000]  一直信靠投靠上帝
[00:00:36.000 --> 00:00:41.400]  以至恩惠可以繼續延展在我們生命裡面
[00:00:41.400 --> 00:00:42.600]  當大家讀聖經的時候
[00:00:42.600 --> 00:00:44.400]  你會發覺一開始的時候
[00:00:44.400 --> 00:00:46.800]  使人就呼籲我們要去
[00:00:46.800 --> 00:00:50.800]  事上的也要去讚頌神的大能
[00:00:50.800 --> 00:00:54.200]  詩篇34篇第一節這樣說
[00:00:54.200 --> 00:00:56.200]  我要事上稱頌耶和華
[00:00:56.200 --> 00:01:00.400]  讚美他的話必常在我的口中
[00:01:00.400 --> 00:01:02.000]  這裡所說的事上
[00:01:02.000 --> 00:01:07.000]  正是詩人所講及一件很重要的態度
[00:01:07.000 --> 00:01:10.000]  表達出有了機會
[00:01:10.000 --> 00:01:12.000]  就會留意著機會
[00:01:12.000 --> 00:01:15.000]  事上來到去講述神的作為
[00:01:15.000 --> 00:01:17.600]  去讚美祂的工作
[00:01:17.600 --> 00:01:19.000]  不單止我們崇拜當中
[00:01:19.000 --> 00:01:20.400]  我們去讚美上帝
[00:01:20.400 --> 00:01:22.400]  也都在日常的生活裡面
[00:01:22.400 --> 00:01:23.800]  有機會的時候
[00:01:23.800 --> 00:01:25.800]  向我們身邊很多不同的人
[00:01:25.800 --> 00:01:27.600]  去講述神的工作
[00:01:27.600 --> 00:01:29.000]  去讚美祂
[00:01:29.000 --> 00:01:31.200]  去感謝祂
[00:01:31.200 --> 00:01:32.600]  當聖經裡面提到說
[00:01:32.600 --> 00:01:35.800]  我要因耶和華誇耀的時候
[00:01:35.800 --> 00:01:37.400]  詩人繼續說
[00:01:37.400 --> 00:01:40.200]  沒錯我們都要謙卑自己
[00:01:40.200 --> 00:01:43.200]  但是謙卑不等於自卑
[00:01:43.200 --> 00:01:45.000]  而是在謙卑當中
[00:01:45.000 --> 00:01:46.400]  仍然心裡面看到
[00:01:46.400 --> 00:01:48.800]  神自己的奇妙的作為
[00:01:48.800 --> 00:01:50.600]  經歷著祂的工作
[00:01:50.600 --> 00:01:53.400]  因此以祂為誇耀
[00:01:53.400 --> 00:01:57.400]  去放膽的去講出祂自己的作為
[00:01:57.400 --> 00:01:58.600]  今天我們有些時候
[00:01:58.600 --> 00:02:01.400]  可能會覺得有點尷尬
[00:02:01.400 --> 00:02:04.400]  好像別人不知道會不會懷疑我們
[00:02:04.400 --> 00:02:06.400]  表現得好像很淑靈
[00:02:06.400 --> 00:02:08.600]  很超越別人
[00:02:08.600 --> 00:02:11.400]  我們有些時候會害怕別人怎麼反應
[00:02:11.400 --> 00:02:13.400]  但何時當你的心想到
[00:02:13.400 --> 00:02:15.800]  神在你身上的工作
[00:02:15.800 --> 00:02:18.800]  你都以祂為誇耀
[00:02:18.800 --> 00:02:20.200]  但是心裡面
[00:02:20.200 --> 00:02:22.600]  裡面仍然是放開膽量
[00:02:22.600 --> 00:02:24.800]  來講述祂自己的作為
[00:02:24.800 --> 00:02:26.800]  祂的恩典
[00:02:26.800 --> 00:02:29.600]  這正是詩人所吩咐我們
[00:02:29.600 --> 00:02:31.600]  鼓勵我們做的事情
[00:02:31.600 --> 00:02:33.600]  你會發覺當這樣做的時候
[00:02:33.600 --> 00:02:38.000]  困苦的人聽見了就喜樂
[00:02:38.000 --> 00:02:39.600]  帶來的比別人
[00:02:39.600 --> 00:02:42.200]  一種生命裡面的盼望
[00:02:42.200 --> 00:02:44.000]  因為知道神的作為
[00:02:44.000 --> 00:02:46.200]  因此可以在困局當中
[00:02:46.200 --> 00:02:48.200]  仍然放開膽量
[00:02:48.200 --> 00:02:51.000]  仍然可以有盼望
[00:02:51.000 --> 00:02:52.200]  因此詩人就說
[00:02:52.200 --> 00:02:53.200]  第三節
[00:02:53.200 --> 00:02:57.200]  你們要跟我一起專業和為大
[00:02:57.200 --> 00:03:00.000]  我們來一同高舉祂的名
[00:03:00.000 --> 00:03:01.400]  我們整體一起的
[00:03:01.400 --> 00:03:02.800]  同心合意的
[00:03:02.800 --> 00:03:05.800]  來回應一個呼籲
[00:03:05.800 --> 00:03:08.600]  就是上上的專主為大
[00:03:08.600 --> 00:03:12.400]  上上的來高舉祂的聖名
[00:03:12.400 --> 00:03:13.800]  當你想到聖經裡面
[00:03:13.800 --> 00:03:15.800]  這樣來勉勵我們的時候
[00:03:15.800 --> 00:03:17.000]  各位弟兄姊妹
[00:03:17.000 --> 00:03:20.200]  我們在香港的地方生活
[00:03:20.200 --> 00:03:23.800]  你會發覺一般香港的
[00:03:23.800 --> 00:03:26.400]  一種表達的文化
[00:03:26.400 --> 00:03:30.200]  就是批判就是埋怨
[00:03:30.200 --> 00:03:31.800]  有些時候我們都不知不覺
[00:03:31.800 --> 00:03:35.000]  來到去受這種環境影響
[00:03:35.000 --> 00:03:37.000]  忘記了神吩咐我們
[00:03:37.000 --> 00:03:38.400]  勉勵我們的心
[00:03:38.400 --> 00:03:41.000]  要上上去感謝祂
[00:03:41.000 --> 00:03:43.000]  上上去讚美祂
