
[00:00:00.000 --> 00:00:03.320]  我們今天繼續思想聖經以色列記的經文
[00:00:03.320 --> 00:00:05.720]  大家知道這段時間我們在思想
[00:00:05.720 --> 00:00:10.080]  如何在主句裏面我們重建生命的聖殿
[00:00:10.080 --> 00:00:11.640]  今天來到第七章的時候
[00:00:11.640 --> 00:00:14.600]  大家揭開剛才我們讀過的經文
[00:00:14.600 --> 00:00:24.560]  我們想到神定義要興旺祂自己的真道
[00:00:24.560 --> 00:00:27.560]  當我們一直讀到聖經的新約的時候
[00:00:27.560 --> 00:00:34.080]  多處常常提到神用祂的道來建立祂的教會
[00:00:34.080 --> 00:00:37.040]  而佛所說提到神積了水
[00:00:37.040 --> 00:00:41.000]  積了祂的道來潔淨祂的教會
[00:00:41.000 --> 00:00:43.920]  成為榮耀的教會
[00:00:43.920 --> 00:00:46.760]  生命要能夠得到復甦
[00:00:46.760 --> 00:00:49.160]  神的教會要能夠興起
[00:00:49.160 --> 00:00:51.400]  是因為神的道
[00:00:51.400 --> 00:00:53.120]  是因為聖經的說話
[00:00:53.120 --> 00:00:56.840]  叫我們在生命裏面真正知道當走的路
[00:00:56.840 --> 00:00:59.120]  要神的道激勵我們的心
[00:00:59.120 --> 00:01:03.160]  來知道如何緊緊跟隨祂
[00:01:03.160 --> 00:01:05.280]  當我們今天再讀到第七章的時候
[00:01:05.280 --> 00:01:07.720]  你會察覺到神在歷史當中
[00:01:07.720 --> 00:01:11.000]  是不斷地興起祂的子民
[00:01:11.000 --> 00:01:14.680]  來尋求祂的道
[00:01:14.680 --> 00:01:17.360]  而我們今天也看回這段歷史
[00:01:17.360 --> 00:01:20.360]  帶給我們今天的激勵
[00:01:20.360 --> 00:01:21.440]  大家看回聖經的時候
[00:01:21.440 --> 00:01:24.600]  你會察覺到在第七章開始的時候
[00:01:24.600 --> 00:01:27.400]  提及有亞達舌西王
[00:01:27.400 --> 00:01:29.360]  我們記得在第六章的時候
[00:01:29.360 --> 00:01:33.680]  當時以色列人已經重建了聖殿
[00:01:33.680 --> 00:01:36.360]  但從第六章到第七章之間
[00:01:36.360 --> 00:01:40.520]  差不多相隔了有六十年的時間
[00:01:40.520 --> 00:01:42.480]  神在新的一個階段
[00:01:42.480 --> 00:01:44.680]  又興起了一位以斯拉
[00:01:44.680 --> 00:01:47.120]  這一位的祭司
[00:01:47.120 --> 00:01:50.640]  這位以斯拉他是被神所使用
[00:01:50.640 --> 00:01:53.760]  他帶領了新的一群猶太人
[00:01:53.760 --> 00:01:57.800]  也帶備了很多禮物、金銀
[00:01:57.800 --> 00:01:59.920]  從這段經文裡面看到
[00:01:59.920 --> 00:02:02.120]  我們也好像察覺到
[00:02:02.120 --> 00:02:04.760]  聖殿雖然建成了
[00:02:04.760 --> 00:02:07.720]  但好像隔了一段日子之後
[00:02:07.720 --> 00:02:11.920]  很多猶太人對神的心又好像淡了
[00:02:11.920 --> 00:02:15.400]  聖殿又重新出現很多缺乏
[00:02:15.400 --> 00:02:19.480]  在以斯拉籌集這些很多的金銀
[00:02:19.480 --> 00:02:22.440]  很多的聖殿的供應的時候
[00:02:22.440 --> 00:02:24.960]  讓我們體會到好像突然間又看到聖殿
[00:02:24.960 --> 00:02:27.440]  又是缺乏很多的供應
[00:02:27.440 --> 00:02:31.680]  又缺乏很多建造聖殿的工人
[00:02:31.680 --> 00:02:34.520]  或者我們看到在這段時間
[00:02:34.520 --> 00:02:38.240]  人的心又好像再次停滯了
[00:02:38.240 --> 00:02:41.000]  對神的愛、對神的尋求
[00:02:41.000 --> 00:02:44.200]  侍奉的心又好像冷淡了
[00:02:44.200 --> 00:02:46.880]  但這個時候神特別要興起的
[00:02:46.880 --> 00:02:51.960]  是一個願意全心遵行神說話的人
[00:02:51.960 --> 00:02:56.320]  而使用他來重建神的聖殿
