
[00:00:00.000 --> 00:00:03.200]  今天我們剛才讀的那段路加福音第十一章
[00:00:03.200 --> 00:00:04.800]  我們的主耶穌
[00:00:04.800 --> 00:00:06.800]  都罵得很嚴厲的
[00:00:06.800 --> 00:00:10.800]  耶穌都會罵人的
[00:00:10.800 --> 00:00:14.400]  所以基督徒都可以罵人的
[00:00:14.400 --> 00:00:17.200]  罵得很辣的
[00:00:17.200 --> 00:00:19.200]  耶穌說毒蛇的種類
[00:00:19.200 --> 00:00:21.200]  罵他們是
[00:00:21.200 --> 00:00:24.200]  耶穌罵他們是粉色的墳墓
[00:00:24.200 --> 00:00:26.200]  不過我們要搞清楚
[00:00:26.200 --> 00:00:27.800]  要很小心
[00:00:27.800 --> 00:00:30.000]  我們不要將我們的主耶穌
[00:00:30.000 --> 00:00:34.400]  或者我們基督徒罵人的這種事情
[00:00:34.400 --> 00:00:38.400]  可以罵人的教導
[00:00:38.400 --> 00:00:42.400]  跟香港這種罵人的文化混淆
[00:00:42.400 --> 00:00:45.400]  香港罵人的文化是不同的
[00:00:45.400 --> 00:00:48.400]  香港我們發覺現在很流行罵人的
[00:00:48.400 --> 00:00:51.400]  由立法局到周圍電台
[00:00:51.400 --> 00:00:53.400]  街頭訪問都罵人的
[00:00:53.400 --> 00:00:55.400]  香港罵人的文化
[00:00:55.400 --> 00:00:57.400]  是以窮追猛打
[00:00:57.400 --> 00:00:59.400]  侮辱對方作為目標
[00:00:59.400 --> 00:01:03.400]  甚至以最刻薄的說話
[00:01:03.400 --> 00:01:06.400]  來表現自己的厲害
[00:01:06.400 --> 00:01:09.400]  我十一年前在加拿大回來
[00:01:09.400 --> 00:01:10.400]  因為我在加拿大曾經
[00:01:10.400 --> 00:01:12.400]  有一段很長的時間
[00:01:12.400 --> 00:01:14.400]  在電台電視台負責
[00:01:14.400 --> 00:01:16.400]  有節目也有時事評論
[00:01:16.400 --> 00:01:18.400]  所以回來香港他們就抓我上電台
[00:01:18.400 --> 00:01:23.400]  我去過張少榮的自由風
[00:01:23.400 --> 00:01:25.400]  自由風主持過幾次
[00:01:25.400 --> 00:01:27.400]  主持過幾次之後
[00:01:27.400 --> 00:01:29.400]  我就說我不做了
[00:01:29.400 --> 00:01:31.400]  我發覺香港的文化很厲害
[00:01:31.400 --> 00:01:33.400]  你發覺你做主持人
[00:01:33.400 --> 00:01:36.400]  聽眾也好,主持人也好
[00:01:36.400 --> 00:01:38.400]  會逼到你一定要罵人
[00:01:38.400 --> 00:01:39.400]  要罵到很狠
[00:01:39.400 --> 00:01:41.400]  罵到毫不留情面
[00:01:41.400 --> 00:01:43.400]  這樣就過癮了
[00:01:43.400 --> 00:01:46.400]  有時不可以罵
[00:01:46.400 --> 00:01:48.400]  有些人有對有些人不對
[00:01:48.400 --> 00:01:50.400]  但我一不罵的時候
[00:01:50.400 --> 00:01:52.400]  我就被打電話上來的聽眾罵
[00:01:52.400 --> 00:01:54.400]  他罵我,我為何不罵他呢?
[00:01:54.400 --> 00:01:56.400]  我突然間發覺
[00:01:56.400 --> 00:01:58.400]  我被逼到去祥哥
[00:01:58.400 --> 00:02:00.400]  我不做這些事,我做不出
[00:02:00.400 --> 00:02:02.400]  你不罵不行
[00:02:02.400 --> 00:02:05.400]  香港的罵人文化是殘酷的文化
[00:02:05.400 --> 00:02:06.400]  但我們要留意
[00:02:06.400 --> 00:02:08.400]  我們主耶穌罵得很狠
[00:02:08.400 --> 00:02:10.400]  但他罵得狠的時候
[00:02:10.400 --> 00:02:12.400]  你記住,他罵得很狠
[00:02:12.400 --> 00:02:14.400]  但他的心是和我們一般
[00:02:14.400 --> 00:02:17.400]  我們剛才說香港這種是不同的
[00:02:17.400 --> 00:02:19.400]  我們千萬不要跟錯了
[00:02:19.400 --> 00:02:21.400]  差一點點,但千萬不要跟錯了
[00:02:21.400 --> 00:02:24.400]  其實路加福音十一章記載
[00:02:24.400 --> 00:02:27.400]  耶穌這一段罵人的說話
[00:02:27.400 --> 00:02:31.400]  是和馬太福音二十三章是同一段
[00:02:31.400 --> 00:02:33.400]  當然馬太福音和路加福音
[00:02:33.400 --> 00:02:36.400]  從不同的角度互相補足
[00:02:36.400 --> 00:02:38.400]  所以我們看馬太福音二十三章的時候
[00:02:38.400 --> 00:02:40.400]  你不用翻譯,不過你聽我說
[00:02:40.400 --> 00:02:42.400]  馬太福音二十三章的時候
[00:02:42.400 --> 00:02:44.400]  他也記載了很多路加福音
[00:02:44.400 --> 00:02:48.400]  有時他沒有記載到的部分
[00:02:48.400 --> 00:02:50.400]  尤其是其中一段很重要
[00:02:50.400 --> 00:02:53.400]  當耶穌罵完這一群人之後
[00:02:53.400 --> 00:02:56.400]  馬太福音記載了還有一段說話
[00:02:56.400 --> 00:02:58.400]  路加福音沒有記載
