
[00:00:00.000 --> 00:00:05.000]  我們在這兩次的專輯當中
[00:00:05.000 --> 00:00:08.000]  要從聖經當中查看
[00:00:08.000 --> 00:00:12.000]  我們的保護師聖靈是如何的引導我們
[00:00:12.000 --> 00:00:17.000]  我們了解了聖靈的引導過去的情況
[00:00:17.000 --> 00:00:21.000]  就能夠幫助我們在前面的日子
[00:00:21.000 --> 00:00:28.000]  如何的接受順服聖靈對我們個人的引導
[00:00:28.000 --> 00:00:33.000]  我們把這一堂的時間交託在主的手中
[00:00:33.000 --> 00:00:37.000]  我們這樣的求謝奉主耶穌基督的聖名
[00:00:37.000 --> 00:00:39.000]  阿門
[00:00:39.000 --> 00:00:43.000]  明天下午的這個專題
[00:00:43.000 --> 00:00:46.000]  是不是有不同的人參加
[00:00:46.000 --> 00:00:51.000]  還是這個同樣的內容
[00:00:51.000 --> 00:00:54.000]  要分兩次來講完
[00:00:54.000 --> 00:01:00.000]  大會負責的人能夠回答這個問題嗎
[00:01:00.000 --> 00:01:03.000]  按照你們的了解
[00:01:03.000 --> 00:01:07.000]  是今天來了明天還繼續來嗎
[00:01:07.000 --> 00:01:10.000]  兩次的內容不同
[00:01:10.000 --> 00:01:16.000]  那麼今天我們就看第一方面
[00:01:16.000 --> 00:01:22.000]  從石圖形狀看聖靈的引導
[00:01:22.000 --> 00:01:27.000]  這是著重認識聖靈的引導
[00:01:27.000 --> 00:01:32.000]  明天我們要看如何的追求
[00:01:32.000 --> 00:01:36.000]  我們和聖靈一致
[00:01:36.000 --> 00:01:38.000]  合而為一
[00:01:38.000 --> 00:01:42.000]  能夠按照聖靈的引導去形式為人
[00:01:42.000 --> 00:01:45.000]  去侍奉去見證
[00:01:45.000 --> 00:01:49.000]  這是著重節奏方面
[00:01:49.000 --> 00:01:52.000]  明天我們著重認識方面
[00:01:52.000 --> 00:01:56.000]  明天我們著重節奏方面
[00:01:56.000 --> 00:01:59.000]  節奏根據認識
[00:01:59.000 --> 00:02:05.000]  我們前面如何和過去聖靈的作為有密切的關係
[00:02:05.000 --> 00:02:10.000]  所以石圖形狀幫助我們認識聖靈
[00:02:10.000 --> 00:02:17.000]  如何的當時引導侍奉神的人和一般的弟兄姊妹
[00:02:17.000 --> 00:02:21.000]  我們也可以根據過去聖靈的作為
[00:02:21.000 --> 00:02:25.000]  來等候祂、攜帶祂
[00:02:25.000 --> 00:02:31.000]  今天照樣的按照這些基本的原則、要點
[00:02:31.000 --> 00:02:35.000]  來引導我們每一個人
[00:02:35.000 --> 00:02:39.000]  我首先要提出來
[00:02:39.000 --> 00:02:45.000]  聖靈的引導常常是超出我們的意料之外的
[00:02:45.000 --> 00:02:53.000]  我們不要限制聖靈引導各方面的可能性
[00:02:53.000 --> 00:03:00.000]  我們要用信心來接受聖靈的引導
[00:03:00.000 --> 00:03:03.000]  第二我要指出來
[00:03:03.000 --> 00:03:08.000]  聖靈的引導證明了舊約的一句話
[00:03:08.000 --> 00:03:11.000]  以色列書第55章
[00:03:11.000 --> 00:03:14.000]  神的道路高過我們的道路
[00:03:14.000 --> 00:03:17.000]  神的意念高過我們的意念
[00:03:17.000 --> 00:03:20.000]  我們不能夠用自己的意念和道路
[00:03:20.000 --> 00:03:30.000]  來限制聖靈引導的方式和可能性
[00:03:30.000 --> 00:03:37.000]  要把我們的觀念擴大來接納聖靈的引導
[00:03:37.000 --> 00:03:43.000]  我先舉一個事實的例子
[00:03:43.000 --> 00:03:51.000]  然後我再舉出來聖經裡面幾個聖靈出人意外引導的例子
[00:03:51.000 --> 00:03:54.000]  我先提一個教會歷史裡面的例子
[00:03:54.000 --> 00:03:57.000]  有一次斯布真牧師
[00:03:57.000 --> 00:04:01.000]  是英國的主大用的一位僕人
[00:04:01.000 --> 00:04:03.000]  斯伯爵
[00:04:03.000 --> 00:04:06.000]  他要在倫敦的一個大的會場
[00:04:06.000 --> 00:04:11.000]  叫Crystal Palace開佈道會
[00:04:11.000 --> 00:04:14.000]  在舉行大會之前
[00:04:14.000 --> 00:04:17.000]  頭一天他先到會場
[00:04:17.000 --> 00:04:20.000]  看看會場的情況
[00:04:20.000 --> 00:04:23.000]  那麼當他站在講台上的時候
[00:04:23.000 --> 00:04:25.000]  忽然他內心有一個感動
[00:04:25.000 --> 00:04:28.000]  他應該呢
[00:04:28.000 --> 00:04:32.000]  講幾句福音的信息的話語
[00:04:32.000 --> 00:04:35.000]  他就按照心裡這個感動
[00:04:35.000 --> 00:04:39.000]  大聲地講了幾句
[00:04:39.000 --> 00:04:43.000]  福音的中心的信息
[00:04:43.000 --> 00:04:45.000]  講完了
[00:04:45.000 --> 00:04:47.000]  想不到
[00:04:47.000 --> 00:04:49.000]  後來他發現
[00:04:49.000 --> 00:04:52.000]  在那個時候剛好有一個工人
