
[00:00:00.000 --> 00:00:01.520]  今日和大家思想的就是
[00:00:01.520 --> 00:00:03.960]  《神在江河中開路》
[00:00:03.960 --> 00:00:07.360]  也都去到《若書雅記》的第三第四章的經文
[00:00:07.360 --> 00:00:10.080]  我記得很久之前
[00:00:10.080 --> 00:00:12.040]  有一次機會聽到一位姐妹
[00:00:12.040 --> 00:00:13.360]  剛剛她受浸
[00:00:13.360 --> 00:00:15.560]  跟我分享到她自己一些的經歷
[00:00:15.560 --> 00:00:18.600]  她就說她很多年之前就結婚
[00:00:18.600 --> 00:00:20.160]  在結婚的時候
[00:00:20.160 --> 00:00:23.840]  隱約知道自己的先生是教徒
[00:00:23.840 --> 00:00:25.680]  當時她自己未信住
[00:00:25.680 --> 00:00:27.040]  這位太太未信住
[00:00:28.080 --> 00:00:30.800]  這位丈夫在當時雖然是基督徒
[00:00:30.800 --> 00:00:32.600]  但是已經離開了教會
[00:00:32.600 --> 00:00:34.680]  按這位姐妹所知
[00:00:34.680 --> 00:00:38.960]  這位先生當時是在教會當中很多侍奉的
[00:00:38.960 --> 00:00:41.160]  有做團契的導師
[00:00:41.160 --> 00:00:42.640]  有很多不同的參與
[00:00:42.640 --> 00:00:45.200]  但是可能經過一些人事的糾紛
[00:00:45.200 --> 00:00:46.840]  灰心喪意
[00:00:46.840 --> 00:00:48.280]  就離開了教會
[00:00:48.280 --> 00:00:49.880]  然後和她結了婚
[00:00:49.880 --> 00:00:51.120]  結了婚之後
[00:00:51.120 --> 00:00:53.240]  一直都不見到她回教會
[00:00:53.240 --> 00:00:55.880]  但是感覺她似乎還有些信仰
[00:00:55.880 --> 00:00:57.520]  有時候間中會說
[00:00:57.520 --> 00:00:59.520]  「行路不可到日落」
[00:00:59.520 --> 00:01:03.160]  會引用一些聖經
[00:01:03.160 --> 00:01:04.920]  到後來
[00:01:04.920 --> 00:01:06.720]  那幾年之後她們有弟弟
[00:01:06.720 --> 00:01:09.000]  慢慢這個太太感覺
[00:01:09.000 --> 00:01:11.640]  教弟弟真的要很多愛心才行
[00:01:11.640 --> 00:01:13.920]  但是覺得自己沒有什麼愛心
[00:01:13.920 --> 00:01:17.240]  她就說當時自己有些遺憾
[00:01:17.240 --> 00:01:18.920]  為什麼我沒有信仰呢
[00:01:18.920 --> 00:01:19.880]  如果我有信仰
[00:01:19.880 --> 00:01:21.560]  就可以有一種愛的力量
[00:01:21.560 --> 00:01:23.200]  去照顧我的小朋友
[00:01:23.200 --> 00:01:24.280]  跟我先生說
[00:01:24.280 --> 00:01:25.480]  先生說這樣
[00:01:25.480 --> 00:01:27.240]  你帶弟弟回主學
[00:01:28.240 --> 00:01:29.960]  因此就鼓勵了她
[00:01:29.960 --> 00:01:31.760]  帶小朋友回主學
[00:01:31.760 --> 00:01:33.720]  來到我們教會
[00:01:33.720 --> 00:01:35.960]  她自己就在旁邊坐
[00:01:35.960 --> 00:01:37.160]  弟弟回主學
[00:01:37.160 --> 00:01:39.240]  她想他們又回
