
[00:00:00.000 --> 00:00:07.000]  今天我們繼續的看撒旦的詭計
[00:00:07.000 --> 00:00:16.000]  他的詭詐讓我們自己無從防守
[00:00:16.000 --> 00:00:19.000]  但是我們借著神的話
[00:00:19.000 --> 00:00:23.000]  可以認清 清楚的認識
[00:00:23.000 --> 00:00:27.000]  他的詭計是如何的
[00:00:27.000 --> 00:00:31.000]  我們能夠勝過他的詭計
[00:00:31.000 --> 00:00:33.000]  看破他的詭計
[00:00:33.000 --> 00:00:37.000]  我們能在他的詭計之中
[00:00:37.000 --> 00:00:40.000]  使他自己蒙羞
[00:00:40.000 --> 00:00:46.000]  我們今天從第一點
[00:00:46.000 --> 00:00:51.000]  大家手中講義的第一點來看
[00:00:53.000 --> 00:00:58.000]  撒旦在信仰方面的詭計
[00:00:58.000 --> 00:01:03.000]  請大家先看《解聖經》
[00:01:03.000 --> 00:01:07.000]  在《詩圖經傳》第十三章
[00:01:07.000 --> 00:01:12.000]  第一節到第十 第八節到第十節
[00:01:12.000 --> 00:01:16.000]  這是那行法術的一律碼
[00:01:16.000 --> 00:01:20.000]  證明翻出來就是行法術的意思
[00:01:20.000 --> 00:01:25.000]  第一道詩圖要教方伯不信真道
[00:01:25.000 --> 00:01:29.000]  早羅有名保羅被聖靈充滿
[00:01:29.000 --> 00:01:31.000]  定睛看他說
[00:01:31.000 --> 00:01:35.000]  你這充滿各樣詭詐奸惡
[00:01:35.000 --> 00:01:38.000]  污蔑的兒子 重賞的仇敵
[00:01:38.000 --> 00:01:42.000]  你混亂主的正道還不停止嗎?
[00:01:42.000 --> 00:01:46.000]  在這裡我們看見一個人
[00:01:46.000 --> 00:01:49.000]  是行法術的
[00:01:49.000 --> 00:01:54.000]  在他的背後有撒旦
[00:01:54.000 --> 00:01:58.000]  重賞的仇敵
[00:01:58.000 --> 00:02:01.000]  這是撒旦的一個名字
[00:02:01.000 --> 00:02:04.000]  撒旦在他的後面使用他
[00:02:04.000 --> 00:02:08.000]  借著他來做一件事
[00:02:08.000 --> 00:02:11.000]  混亂聖道
[00:02:11.000 --> 00:02:18.000]  也就是與我們的信仰有密切關係的一件事
[00:02:18.000 --> 00:02:30.000]  就是撒旦可以用法術來行神跡
[00:02:30.000 --> 00:02:33.000]  這是假神跡
[00:02:33.000 --> 00:02:39.000]  但是很容易使人上當
[00:02:39.000 --> 00:02:44.000]  有很多人一看見神跡就信了
[00:02:44.000 --> 00:02:53.000]  不能分辨這個神跡是什麼神跡
[00:02:53.000 --> 00:02:56.000]  我們想到當日法老
[00:02:56.000 --> 00:03:00.000]  他有術士 行法術的
[00:03:00.000 --> 00:03:06.000]  是些術士行法術的能行神跡
[00:03:06.000 --> 00:03:09.000]  神差前摩西見法老
[00:03:09.000 --> 00:03:13.000]  說有法差我來
[00:03:13.000 --> 00:03:19.000]  要帶神的百姓離開埃及
[00:03:19.000 --> 00:03:25.000]  證據就是神跡
[00:03:25.000 --> 00:03:27.000]  跟著呢
[00:03:27.000 --> 00:03:30.000]  摩西就奉耶和華的名
[00:03:30.000 --> 00:03:32.000]  行神跡
[00:03:32.000 --> 00:03:33.000]  在這個過程中
[00:03:33.000 --> 00:03:37.000]  他行的神跡之後
[00:03:37.000 --> 00:03:40.000]  那些術士 行法術的
[00:03:40.000 --> 00:03:44.000]  跟著照樣行
[00:03:44.000 --> 00:03:49.000]  頭三個神跡都是如此
[00:03:49.000 --> 00:03:51.000]  但是到了第四個
[00:03:51.000 --> 00:03:55.000]  從塵土中產生生命
[00:03:55.000 --> 00:03:57.000]  神經記載
[00:03:57.000 --> 00:04:02.000]  那些術士不能做了
[00:04:02.000 --> 00:04:07.000]  我們看見很重要的一個真理
[00:04:07.000 --> 00:04:09.000]  塵土沒有生命
[00:04:09.000 --> 00:04:13.000]  生物有生命
[00:04:13.000 --> 00:04:19.000]  這一個是生不是變
[00:04:19.000 --> 00:04:23.000]  這是生命的神跡
[00:04:23.000 --> 00:04:25.000]  只有神的靈
[00:04:25.000 --> 00:04:26.000]  借著祂的道
[00:04:26.000 --> 00:04:30.000]  能夠行生命的神跡
[00:04:30.000 --> 00:04:33.000]  使人生命改變
[00:04:33.000 --> 00:04:36.000]  得到神自己的生命
[00:04:36.000 --> 00:04:38.000]  能夠與神交通
[00:04:38.000 --> 00:04:42.000]  這是最大的神跡
[00:04:42.000 --> 00:04:46.000]  所以我們要小心
[00:04:46.000 --> 00:04:50.000]  不要看見神跡就信
[00:04:50.000 --> 00:04:53.000]  世界上每一個宗教
[00:04:53.000 --> 00:04:56.000]  都有祂的神跡
[00:04:56.000 --> 00:05:00.000]  所以我們不可以按神跡
[00:05:00.000 --> 00:05:03.000]  因為眾善的仇敵撒旦
[00:05:03.000 --> 00:05:07.000]  他能夠行神跡
[00:05:07.000 --> 00:05:09.000]  所以我們要學習
[00:05:09.000 --> 00:05:11.000]  這個分裂
[00:05:11.000 --> 00:05:15.000]  我們要持守主的道
[00:05:15.000 --> 00:05:17.000]  純正的道
[00:05:17.000 --> 00:05:21.000]  不讓撒旦混亂神的道
[00:05:21.000 --> 00:05:25.000]  借著假神跡
[00:05:25.000 --> 00:05:28.000]  這是一個很重要的功課
[00:05:28.000 --> 00:05:32.000]  當我們看見任何好像超自然的事
[00:05:32.000 --> 00:05:33.000]  發生的時候
[00:05:33.000 --> 00:05:35.000]  我們不要即刻就信
[00:05:35.000 --> 00:05:37.000]  即刻就跟從
[00:05:37.000 --> 00:05:41.000]  我們要分辨後面的那個靈是如何
[00:05:41.000 --> 00:05:43.000]  它的作用是如何
[00:05:43.000 --> 00:05:48.000]  對人的生命的意義是如何
[00:05:48.000 --> 00:05:55.000]  就得到一個正確的信仰的分辨
[00:05:55.000 --> 00:05:58.000]  是非常的重要
[00:05:58.000 --> 00:06:03.000]  但願撒旦混亂神的道
[00:06:03.000 --> 00:06:07.000]  到了真正認識到認識神
[00:06:07.000 --> 00:06:11.000]  經歷神的奇妙的重生的工作
[00:06:11.000 --> 00:06:17.000]  和他那恩典的神跡的人
[00:06:17.000 --> 00:06:23.000]  撒旦的工作就停止了
