
[00:00:00.000 --> 00:00:07.260]  我們繼續地查看聖經新約裏面希伯來書的寶貴的信息
[00:00:07.260 --> 00:00:09.340]  我們在第一講裏面
[00:00:09.340 --> 00:00:17.260]  從希伯來書裏面看見世上天地之間有許許多多改變的事物
[00:00:17.260 --> 00:00:18.740]  在第二講裏面
[00:00:18.740 --> 00:00:22.500]  我們開始看主耶穌基督永不改變
[00:00:22.500 --> 00:00:24.500]  祂什麼不改變呢?
[00:00:24.500 --> 00:00:28.260]  第一,祂的全秉能力不改變
[00:00:28.260 --> 00:00:30.100]  在第三講裏面
[00:00:30.100 --> 00:00:33.100]  我們看見希伯來書裏面告訴我們
[00:00:33.100 --> 00:00:38.500]  耶穌基督的大祭司的責任永不改變
[00:00:38.500 --> 00:00:40.400]  今天第四講
[00:00:40.400 --> 00:00:43.800]  我們要看希伯來書裏面告訴我們
[00:00:43.800 --> 00:00:48.500]  主耶穌基督的應許永不改變
[00:00:48.500 --> 00:00:55.360]  在希伯來書第六章第十節到二十節裏面有這樣的話
[00:00:55.360 --> 00:00:58.700]  我挑出來一段來讀
[00:00:58.700 --> 00:01:03.000]  願你們個人都顯出這樣的殷勤
[00:01:03.000 --> 00:01:05.400]  使你們有滿足的指望
[00:01:05.400 --> 00:01:07.200]  一直到底
[00:01:07.200 --> 00:01:11.500]  神願意爲那些承受應許的人
[00:01:11.500 --> 00:01:15.500]  格外顯明祂的旨意是不更改的
[00:01:15.500 --> 00:01:17.500]  就其事爲證
[00:01:17.500 --> 00:01:20.300]  神絕不能說謊
[00:01:20.300 --> 00:01:23.200]  好叫我們者討望避難所
[00:01:23.200 --> 00:01:26.600]  持定擺在我們前頭指望的人
[00:01:26.600 --> 00:01:29.200]  可以大得免利
[00:01:29.200 --> 00:01:30.500]  這裏告訴我們
[00:01:30.500 --> 00:01:33.900]  神願意爲那些承受應許的人
[00:01:33.900 --> 00:01:38.000]  格外顯明祂的旨意是不更改的
[00:01:38.000 --> 00:01:40.600]  神的旨意是不更改的
[00:01:40.600 --> 00:01:43.100]  所以祂按照祂的旨意說
[00:01:43.100 --> 00:01:47.700]  給我們的應許也是不改變的
[00:01:47.700 --> 00:01:50.400]  那麼現在我們要分開來看
[00:01:50.400 --> 00:01:51.500]  第一方面
[00:01:51.500 --> 00:01:54.800]  主的應許不改變的保證
[00:01:54.800 --> 00:01:56.800]  我們有什麼把握說
[00:01:56.800 --> 00:01:59.400]  主的應許是不改變的呢?
[00:01:59.400 --> 00:02:02.600]  在剛纔我們讀的這一段經文裏面
[00:02:02.600 --> 00:02:05.200]  提到有三個保證
[00:02:05.200 --> 00:02:09.000]  證明主的應許是不會改變的
[00:02:09.000 --> 00:02:12.900]  第一個保證就是十三節所說的
[00:02:12.900 --> 00:02:16.100]  當初審應許亞伯拉罕的時候
[00:02:16.100 --> 00:02:18.400]  因爲沒有比自己更大
[00:02:18.400 --> 00:02:20.500]  可以指着其事的
[00:02:20.500 --> 00:02:23.100]  就指着自己其事
[00:02:23.100 --> 00:02:24.300]  這裏說
[00:02:24.300 --> 00:02:27.900]  宇宙間沒有任何其他的一位
[00:02:27.900 --> 00:02:29.600]  比主更大
[00:02:29.600 --> 00:02:33.200]  那麼這件事的本身就是一個保證
[00:02:33.200 --> 00:02:35.100]  如果有一個力量
[00:02:35.100 --> 00:02:37.800]  比主更大的存在者
[00:02:37.800 --> 00:02:41.800]  那麼那個力量就可以破壞主的應許
[00:02:41.800 --> 00:02:46.000]  但是天上地下一切的權柄
[00:02:46.000 --> 00:02:47.800]  都在主的手中
[00:02:47.800 --> 00:02:51.400]  所以他應許了就必能成就
[00:02:51.400 --> 00:02:53.400]  永不會被破壞
[00:02:53.400 --> 00:02:54.900]  沒有任何的能力
[00:02:54.900 --> 00:02:56.300]  能夠攔住他
[00:02:56.300 --> 00:02:58.600]  成全他的應許
[00:02:58.600 --> 00:03:00.900]  第二個保證
