
[00:00:00.000 --> 00:00:04.400]  大家會留意到我們這段時間一直思想著一個主題
[00:00:04.400 --> 00:00:07.000]  亦都是我們這季的季題
[00:00:07.000 --> 00:00:10.500]  就是「教會終主所託」
[00:00:10.500 --> 00:00:16.500]  我們說到教會是需要終於主給我們的託付
[00:00:16.500 --> 00:00:19.500]  當然我們要終生主給我們的託付之前
[00:00:19.500 --> 00:00:22.500]  首先要知道主的託付是甚麼
[00:00:22.500 --> 00:00:26.500]  我們今天思想到提摩特後書的經文
[00:00:26.500 --> 00:00:29.000]  正是講述到主對我們的託付
[00:00:29.000 --> 00:00:31.000]  我們今天一起講一下託付
[00:00:31.000 --> 00:00:34.500]  當我們想回到提摩特前後書的時候
[00:00:34.500 --> 00:00:38.000]  很多時候會提及到上帝對教會的心意
[00:00:38.000 --> 00:00:42.000]  其中大家會記得在提摩特前書二章十五節
[00:00:42.000 --> 00:00:44.500]  聖經講到教會是甚麼
[00:00:44.500 --> 00:00:50.000]  聖經就說「這教會是永生神的家」
[00:00:50.000 --> 00:00:54.000]  這個教會是神的家
[00:00:54.000 --> 00:00:57.500]  亦都是屬於永生上帝的教會
[00:00:58.000 --> 00:01:04.000]  但聖經就說教會是真理的儲石和根基
[00:01:04.000 --> 00:01:10.000]  教會一個重要的生存目的
[00:01:10.000 --> 00:01:13.000]  就是將真理高舉
[00:01:13.000 --> 00:01:17.000]  好像儲石一樣將真理高舉起來
[00:01:17.000 --> 00:01:20.000]  去宣揚真理去見證真理
[00:01:20.000 --> 00:01:24.000]  教會同時是真理的根基
[00:01:24.000 --> 00:01:30.000]  是實現、實踐真理、活出真理、見證真理的地方
[00:01:30.000 --> 00:01:34.000]  亦都是一起同心去堅守真理的地方
[00:01:34.000 --> 00:01:38.000]  成為了真理的基石的地方
[00:01:38.000 --> 00:01:45.000]  所以聖經講述到教會有一個重要神託付給我們的一個使命
[00:01:45.000 --> 00:01:49.000]  就是成為真理的儲石和根基
[00:01:49.000 --> 00:01:53.000]  當然你和我都知道教會不單單是一座建築物
[00:01:53.000 --> 00:01:55.000]  甚至是一個組織
[00:01:55.000 --> 00:01:57.000]  教會是一群屬神的人
[00:01:57.000 --> 00:02:01.000]  而教會你和我同時承受這個託付
[00:02:01.000 --> 00:02:09.000]  就是要將真理高舉、要見證、要傳揚、要教導真理
[00:02:09.000 --> 00:02:13.000]  這亦都是教會存在的目的
[00:02:13.000 --> 00:02:17.000]  是你和我所承受的神給我們的託付
[00:02:17.000 --> 00:02:20.000]  因此當我們讀聖經的時候
[00:02:20.000 --> 00:02:24.000]  提到提摩泰領受保羅的教導
[00:02:24.000 --> 00:02:28.000]  但這個託付不單單是對他
[00:02:28.000 --> 00:02:32.000]  亦都是對每一個屬神的人的託付
[00:02:32.000 --> 00:02:34.000]  大家或者先打開聖經
[00:02:34.000 --> 00:02:38.000]  如果你留意聖經在提摩泰後書第一章
[00:02:38.000 --> 00:02:43.000]  在裏面保羅就和提摩泰講
[00:02:43.000 --> 00:02:52.000]  又要靠著那住在我們裏面的聖靈保守所交託你的善道
[00:02:52.000 --> 00:02:55.000]  要靠著聖靈保守著
[00:02:55.000 --> 00:03:01.000]  傳記亦都實踐神所託付給你的善道
[00:03:01.000 --> 00:03:06.000]  是很清楚保羅提醒對提摩泰神對他的託付
[00:03:06.000 --> 00:03:09.000]  當然我們再講這個託付從廣義來講
[00:03:09.000 --> 00:03:14.000]  不單止對提摩泰亦都對每一位神的子民來講
[00:03:14.000 --> 00:03:19.000]  我們是有福音真道的託付在我們身上
[00:03:19.000 --> 00:03:25.000]  如果大家記得馬特方登山寶訓主耶穌上提醒我們的說話
[00:03:25.000 --> 00:03:29.000]  當他講到神的教導 神的誡命的時候
[00:03:29.000 --> 00:03:37.000]  主耶穌就說他們哪一個人是廢掉了誡命當中最少的一條
[00:03:37.000 --> 00:03:42.000]  而且教訓人這樣做 他在天國裏面是最少的
[00:03:42.000 --> 00:03:48.000]  但相對來講哪一個人是遵行神的誡命
[00:03:48.000 --> 00:03:51.000]  有教導別人遵守
[00:03:51.000 --> 00:03:56.000]  這人在天國裏面是最大的
[00:03:56.000 --> 00:04:00.000]  當人領受了神的道去遵守
[00:04:00.000 --> 00:04:03.000]  亦都幫助教導別人遵守
[00:04:03.000 --> 00:04:09.000]  這個人是夢神所賜福 在天國裏面神說他是被稱為最大的
[00:04:09.000 --> 00:04:14.000]  因此你知道這個託付是交託給所有屬神的人
[00:04:14.000 --> 00:04:18.000]  你領受真道 你有教導別人真道
[00:04:18.000 --> 00:04:23.000]  當你看到聖經裏面第二章都柏羅再講這件事情的時候
[00:04:23.000 --> 00:04:26.000]  一開始他就對提摩泰說
[00:04:26.000 --> 00:04:32.000]  我而你應當在基督耶穌的恩典裏剛強起來
[00:04:32.000 --> 00:04:36.000]  這個剛強不是一般生活上的剛強
[00:04:36.000 --> 00:04:38.000]  是特別就上下文所看
[00:04:38.000 --> 00:04:43.000]  你會知道是要剛強地去遵守神的道
[00:04:43.000 --> 00:04:47.000]  和幫助別人遵守神的道
[00:04:47.000 --> 00:04:49.000]  面對著神的真道的時候
[00:04:49.000 --> 00:04:52.000]  你會察覺到有很多的挑戰
[00:04:52.000 --> 00:04:54.000]  甚至你去聽從神的話
[00:04:54.000 --> 00:04:59.000]  你會經歷不同程度的苦難或逼迫
[00:04:59.000 --> 00:05:01.000]  因此柏羅告訴提摩泰
[00:05:01.000 --> 00:05:06.000]  你要在神的恩典上剛強起來
[00:05:06.000 --> 00:05:10.000]  你要剛強地面對
[00:05:10.000 --> 00:05:13.000]  我剛剛從荷蘭回來不久
[00:05:13.000 --> 00:05:15.000]  大家可能有些頂尖的朋友知道
[00:05:15.000 --> 00:05:17.000]  也都為我祈禱 很感謝上帝
[00:05:17.000 --> 00:05:19.000]  也都多謝大家的祈禱
[00:05:19.000 --> 00:05:21.000]  在荷蘭裏面一個很深刻的體會
[00:05:21.000 --> 00:05:23.000]  就是在這個地方
[00:05:23.000 --> 00:05:28.000]  因為是全世界第一個通過同性婚姻的國家
[00:05:28.000 --> 00:05:31.000]  很自由的一個城市 一個國家
[00:05:31.000 --> 00:05:36.000]  但裏面你會見到很多很多敗壞的罪的問題
[00:05:36.000 --> 00:05:38.000]  你在街上周圍走
[00:05:38.000 --> 00:05:41.000]  隨時會聞到很多大麻的氣味
[00:05:41.000 --> 00:05:44.000]  因為是大麻合法化
[00:05:44.000 --> 00:05:47.000]  很多時候見到這些情況的時候
[00:05:47.000 --> 00:05:51.000]  都會想到教會究竟如何面對這個處境
[00:05:51.000 --> 00:05:56.000]  但這次是否都能夠按照聖經所教導的走出來呢
[00:05:56.000 --> 00:05:59.000]  當我問及到當地教會的一些頂尖姐妹的時候
[00:05:59.000 --> 00:06:01.000]  特別都問到一些牧者
[00:06:01.000 --> 00:06:05.000]  有些告訴我 教會沒有說的
[00:06:05.000 --> 00:06:07.000]  因為都知道一說出來的時候
[00:06:07.000 --> 00:06:10.000]  覺得很難大家接受
[00:06:10.000 --> 00:06:12.000]  因為整個國家都立了法
[00:06:12.000 --> 00:06:14.000]  接受這種的關係
[00:06:14.000 --> 00:06:17.000]  有些時候甚至教會都不再說
[00:06:17.000 --> 00:06:20.000]  關於一些男女之間的關係
[00:06:20.000 --> 00:06:22.000]  關於婚前性行為
[00:06:22.000 --> 00:06:26.000]  似乎一說的時候大家都會有抗拒
[00:06:26.000 --> 00:06:28.000]  但我又問過一位牧者
[00:06:28.000 --> 00:06:30.000]  這位牧者告訴我
[00:06:30.000 --> 00:06:33.000]  他們知道這個處境很困難
[00:06:33.000 --> 00:06:38.000]  但他們仍然堅持要教導聖經這方面的真理
[00:06:38.000 --> 00:06:41.000]  而幫頂尖姐妹去明白
[00:06:41.000 --> 00:06:46.000]  亦都去抗衡這個世代很多不同的一些道理
[00:06:46.000 --> 00:06:52.000]  但仍然能夠知道甚麼是神心意的生命之道
[00:06:52.000 --> 00:06:54.000]  當我聽到他們所說的時候
[00:06:54.000 --> 00:06:56.000]  我就很體會到一件事情
