
[00:00:00.000 --> 00:00:04.400]  今年教會的主題是「警醒禱告,同行天路」
[00:00:04.400 --> 00:00:07.600]  今天開始我們有40天的生命更新之旅
[00:00:07.600 --> 00:00:12.200]  有6次的講道和查經都是同一個主題
[00:00:12.200 --> 00:00:17.400]  在這裡說,我們希望更深的思考祈禱的內容
[00:00:17.400 --> 00:00:22.400]  祈禱我們可以有最少6個基本的元素
[00:00:22.400 --> 00:00:25.600]  今天說第一個元素是敬拜上帝
[00:00:25.600 --> 00:00:30.600]  究竟我們藉著禱告去敬拜上帝,這個上帝是一個怎樣的上帝呢?
[00:00:30.600 --> 00:00:34.400]  在詩篇第八篇,第一節第九節
[00:00:34.400 --> 00:00:37.600]  詩人在這裡見到宇宙的窮滄
[00:00:37.600 --> 00:00:41.000]  在這裡見到上帝所創造的萬物
[00:00:41.000 --> 00:00:46.600]  他就發出他自己心中的重讚和言語的頌詳
[00:00:46.600 --> 00:00:52.400]  在這裡詩人不是從一個科學的角度去說這個世界是怎樣的
[00:00:52.400 --> 00:00:57.400]  所以我們不能從科學的角度去看一些經文
[00:00:57.400 --> 00:01:00.600]  詩人是從上帝創造的現象
[00:01:00.600 --> 00:01:06.200]  見到所有的窮滄,即天上地上所有的萬物
[00:01:06.200 --> 00:01:12.600]  接著就見到那個創造的所有萬物的那個主
[00:01:12.600 --> 00:01:17.000]  所以詩人停留的焦點不是在創造物那裡
[00:01:17.000 --> 00:01:22.400]  不是只看那些花多美,不是看天上的美麗就停留在那裡
[00:01:22.400 --> 00:01:26.600]  他是見到背後創造的那個上帝
[00:01:26.600 --> 00:01:31.400]  正如我們去看一幅名畫,我們見到這幅畫,這幅畫可能很美
[00:01:31.400 --> 00:01:37.200]  但我們藉著這幅畫去見到這幅畫背後的那個畫家的心靈
[00:01:37.200 --> 00:01:41.000]  藉著這幅畫認識這個畫家
[00:01:41.000 --> 00:01:46.200]  我們藉著上帝的創造去認識這個創造的上帝
[00:01:46.200 --> 00:01:49.600]  這篇詩篇可能是個人的頌唱
[00:01:49.600 --> 00:01:54.200]  也可能是在回眾當中,一起去頌唱
