
[00:00:00.000 --> 00:00:03.200]  我們遣返聖經,接受羅尼加前書
[00:00:03.200 --> 00:00:07.800]  我們接續上星期一齊思想第二章十三節
[00:00:07.800 --> 00:00:10.400]  到第二十節的經文
[00:00:10.400 --> 00:00:13.200]  我們今天思想的題目就是
[00:00:13.200 --> 00:00:16.200]  渴望去堅固我的弟兄
[00:00:16.200 --> 00:00:18.400]  大家或許都會留意到
[00:00:18.400 --> 00:00:20.800]  在香港有很多不同的調查
[00:00:20.800 --> 00:00:23.800]  關於教徒的人數的比例
[00:00:23.800 --> 00:00:27.400]  在教會內部的統計一般指出
[00:00:27.400 --> 00:00:33.800]  有大約全香港人口的4%至5%的比例
[00:00:33.800 --> 00:00:38.600]  在崇拜人數比整體香港人數當然少
[00:00:38.600 --> 00:00:42.000]  但有些外間的調查,社會性的調查
[00:00:42.000 --> 00:00:46.200]  常常發覺教徒的數目比這個數字高
[00:00:46.200 --> 00:00:49.600]  可能是7%甚至8、9%
[00:00:49.600 --> 00:00:53.000]  有人問為何有這樣的差距
[00:00:53.000 --> 00:00:55.200]  分別在哪裏呢
[00:00:55.800 --> 00:00:58.400]  一個很簡單的理解就是
[00:00:58.400 --> 00:01:02.600]  香港有不少的教徒仍然承認自己是教徒
[00:01:02.600 --> 00:01:04.600]  但沒有回教會
[00:01:04.600 --> 00:01:10.800]  之前提到的比例是崇拜參加者
[00:01:10.800 --> 00:01:16.200]  但其他相信很多沒有回教會的弟兄姊妹
[00:01:16.200 --> 00:01:18.800]  我們有時會提到在教會內
[00:01:18.800 --> 00:01:21.800]  有一些所謂邊緣性的信徒
[00:01:21.800 --> 00:01:25.400]  他們有時會回來,有時會離開
[00:01:26.000 --> 00:01:27.200]  而像之前所說的
[00:01:27.200 --> 00:01:28.600]  就是殺種的比喻
[00:01:28.600 --> 00:01:32.200]  稻種落在一些土踐石頭上
[00:01:32.200 --> 00:01:35.800]  他們因為是土踐,所以發苗得很快
[00:01:35.800 --> 00:01:39.400]  但遇到太陽,又迫不及待,有困難的時候
[00:01:39.400 --> 00:01:42.400]  就會枯乾,就會放棄
[00:01:42.400 --> 00:01:45.000]  在香港,其實當你小心留意
[00:01:45.000 --> 00:01:48.000]  你旁邊有很多的同事朋友
[00:01:48.000 --> 00:01:50.400]  可能都曾經信過耶穌
[00:01:50.400 --> 00:01:54.400]  但曾幾何時放棄了,現在沒有再信了
[00:01:55.200 --> 00:01:57.800]  我相信我們的上帝不單只愛我們
[00:01:57.800 --> 00:02:00.400]  祂也愛很多祂自己的子民
[00:02:00.400 --> 00:02:03.200]  今天流散在不同的地方
[00:02:03.200 --> 00:02:06.200]  而祂也盼望我們能夠與祂同心
[00:02:06.200 --> 00:02:08.000]  能夠去關心他們
[00:02:08.000 --> 00:02:12.400]  能夠去兼顧這些所謂邊緣的弟兄姊妹
[00:02:12.400 --> 00:02:14.400]  或者其他的弟兄姊妹
[00:02:14.400 --> 00:02:18.000]  我記得有一次聽一位宣教士分享
[00:02:18.000 --> 00:02:20.400]  這位宣教士是在北宣城長的
