
[00:00:00.000 --> 00:00:02.380]  今天有一段經文的講論
[00:00:02.380 --> 00:00:05.320]  基本上耶穌是在延續在上文
[00:00:05.320 --> 00:00:07.680]  就是說我是世界的光
[00:00:07.680 --> 00:00:12.480]  一個主題繼續有一個深入的講解
[00:00:12.480 --> 00:00:15.100]  在八章二十一節 耶穌這樣講
[00:00:15.100 --> 00:00:18.320]  耶穌對他們說 我要去了 你們要找我
[00:00:18.320 --> 00:00:21.200]  並且你們要死在最終
[00:00:21.200 --> 00:00:23.520]  我所去的地方 你們不能到
[00:00:23.520 --> 00:00:25.200]  猶太人說
[00:00:25.200 --> 00:00:28.380]  他說我所去的地方 你們不能到
[00:00:28.380 --> 00:00:30.880]  難道祂要自盡嗎
[00:00:30.880 --> 00:00:34.460]  在上文裡面 基本上耶穌說了
[00:00:34.460 --> 00:00:38.460]  祂自己是從哪裡來 也會去哪裡
[00:00:38.460 --> 00:00:40.700]  祂說了天父是哪一個
[00:00:40.700 --> 00:00:44.620]  祂自己的身份 祂自己又是哪一個
[00:00:44.620 --> 00:00:47.780]  而且這些主題 基本上也都應用在
[00:00:47.780 --> 00:00:51.280]  祂和猶太人之間那種對話裡面
[00:00:51.280 --> 00:00:54.580]  耶穌在說 我是從上頭來的
[00:00:54.580 --> 00:00:58.280]  你們就是從下頭來的
[00:00:58.280 --> 00:01:03.620]  耶穌在說 祂不是來自於這個罪惡的世界
[00:01:03.620 --> 00:01:09.400]  祂是來自於上帝差派祂來的那一個世界
[00:01:09.400 --> 00:01:13.080]  祂所去的地方就是回到天父那裡
[00:01:13.080 --> 00:01:17.200]  耶穌繼續說 上帝是我的父
[00:01:17.200 --> 00:01:20.680]  但是你們的父是誰呢 你們的父是魔鬼
[00:01:20.680 --> 00:01:24.880]  所以在上文裡面 耶穌在表達自己的時候
[00:01:24.880 --> 00:01:28.280]  那些人不是很認識祂 到這一刻 這一班的人
[00:01:28.280 --> 00:01:31.280]  同樣都不是很認識耶穌
[00:01:31.280 --> 00:01:33.780]  所以當耶穌說 我要去了
[00:01:33.780 --> 00:01:37.680]  我回到天父那裡的時候
[00:01:37.680 --> 00:01:41.180]  這一班的人都不是很清楚耶穌說什麼
[00:01:41.180 --> 00:01:43.080]  不過耶穌很清楚什麼呢
[00:01:43.080 --> 00:01:45.680]  就是當耶穌被釘十字架的時候
[00:01:45.680 --> 00:01:49.080]  這一班的人是全著開心送祂走
[00:01:49.080 --> 00:01:53.880]  這一班人很快樂 他們見到耶穌的死是相當快樂
[00:01:53.880 --> 00:01:57.680]  並且當耶穌從死裡面復活的時候
[00:01:57.680 --> 00:02:02.480]  他們盡所有的努力去禁止別人說
[00:02:02.480 --> 00:02:04.580]  耶穌是從死裡面復活
[00:02:04.580 --> 00:02:07.380]  所以他們就去買通一些冰釘說
[00:02:07.380 --> 00:02:09.280]  耶穌的屍體為什麼不見了呢
[00:02:09.280 --> 00:02:11.280]  是被一班門徒偷走了
[00:02:11.280 --> 00:02:13.880]  所以在這裡 耶穌在說
[00:02:13.880 --> 00:02:15.680]  你們再找我 你們找不到
[00:02:15.680 --> 00:02:17.880]  這裡都有兩個可能的意思
[00:02:17.880 --> 00:02:20.280]  第一個意思就是 耶穌已經回到天父那裡了
[00:02:20.280 --> 00:02:22.880]  所以他們就找不到耶穌了
[00:02:22.880 --> 00:02:28.880]  另一個意思就是 耶穌是上帝差派來的救主
[00:02:28.880 --> 00:02:32.080]  而他們這一班人 或者整個猶太人
[00:02:32.080 --> 00:02:36.780]  在他們的群體裡面等待著彌賽亞的來臨
[00:02:36.780 --> 00:02:38.880]  這個救主來臨
[00:02:38.880 --> 00:02:42.280]  現在耶穌真是唯一的彌賽亞
[00:02:42.280 --> 00:02:45.080]  或者唯一的救主回到上帝那裡了
[00:02:45.080 --> 00:02:49.380]  所以你們再找 你找不到彌賽亞 找不到救主了
[00:02:49.380 --> 00:02:52.980]  耶穌在這裡繼續說
[00:02:52.980 --> 00:02:55.480]  你們不相信我的時候
[00:02:55.480 --> 00:02:58.280]  你們就會死在罪的當中
[00:02:58.280 --> 00:03:01.880]  這個罪就是指不信的罪
[00:03:01.880 --> 00:03:04.280]  就是你們不相信的時候 你拒絕我的時候
[00:03:04.280 --> 00:03:08.680]  拒絕我所帶來的啟示 帶來的救恩的時候
[00:03:08.680 --> 00:03:11.680]  你們就會死在罪的當中
[00:03:11.680 --> 00:03:15.180]  在後來的時候 耶穌也跟一班門徒說
[00:03:15.180 --> 00:03:19.580]  大約的說話 就是我現在去的地方你們不可以去
