
[00:00:00.000 --> 00:00:02.000]  我們今天會接續在思上
[00:00:02.000 --> 00:00:05.520]  《馬太福音》第七章第一到第十二節的聖經
[00:00:05.520 --> 00:00:09.000]  我第一個題目就是天國子民的關係
[00:00:09.000 --> 00:00:11.200]  關係是很重要的
[00:00:11.200 --> 00:00:14.920]  我們的信仰不是一套的教義
[00:00:14.920 --> 00:00:17.040]  或者說不單是一套教義
[00:00:17.040 --> 00:00:18.960]  更加是一個關係
[00:00:18.960 --> 00:00:21.840]  是我們和神之間的關係
[00:00:21.840 --> 00:00:25.280]  這個關係我以兩個字來描寫
[00:00:25.280 --> 00:00:26.680]  一方面是「蒙愛」
[00:00:26.680 --> 00:00:28.640]  另外就是「包容」
[00:00:28.640 --> 00:00:31.480]  「蒙愛」和「包容」
[00:00:31.480 --> 00:00:33.520]  我們很多電視節目都經驗到
[00:00:33.520 --> 00:00:36.960]  當幾時體會到神給我們的愛的時候
[00:00:36.960 --> 00:00:38.880]  就發覺一種力量
[00:00:38.880 --> 00:00:42.240]  幫我們更可以去寬容別人
[00:00:42.240 --> 00:00:43.920]  包容別人
[00:00:43.920 --> 00:00:45.680]  「蒙愛」和「包容」之間
[00:00:45.680 --> 00:00:48.040]  有一種很奇妙的關係
[00:00:48.040 --> 00:00:49.920]  是在過程當中
[00:00:49.920 --> 00:00:54.120]  令我們能夠做我們自己都以為自己做不到的事
[00:00:54.120 --> 00:00:56.880]  他這樣的人我為甚麼可以包容他
[00:00:56.880 --> 00:00:59.680]  他這樣的人我為甚麼可以和他相處
[00:00:59.680 --> 00:01:00.800]  但想不到
[00:01:00.800 --> 00:01:06.200]  神的愛就叫我們能夠去做我們自己做不到的事情
[00:01:06.200 --> 00:01:08.600]  我認識有不同的夫婦
[00:01:08.600 --> 00:01:11.200]  也聽過有類似的事情
[00:01:11.200 --> 00:01:12.920]  未信主的時候
[00:01:12.920 --> 00:01:15.360]  一對夫婦關係很惡劣
[00:01:15.360 --> 00:01:17.800]  甚至開始預備安排離婚
[00:01:17.800 --> 00:01:21.400]  但在過程當中其中一個信了主
[00:01:21.400 --> 00:01:23.200]  接觸到基督教
[00:01:23.200 --> 00:01:25.040]  整個生命改變了
[00:01:25.040 --> 00:01:28.760]  慢慢他的配偶發覺為甚麼他太太突然不同了
[00:01:28.760 --> 00:01:31.320]  慢慢他開始尋求信仰
[00:01:31.320 --> 00:01:33.480]  當兩個人都信了之後
[00:01:33.480 --> 00:01:36.400]  整個婚姻關係就有很大的改變
[00:01:36.400 --> 00:01:37.960]  後來不單沒有離婚
[00:01:37.960 --> 00:01:40.920]  更成為一對很恩愛的夫婦
[00:01:40.920 --> 00:01:42.920]  有很多類似的例子
[00:01:42.920 --> 00:01:45.560]  我們和神之間的關係得到和好之後
[00:01:45.560 --> 00:01:50.360]  同時帶來了對人際關係的一種革新、更新
[00:01:50.360 --> 00:01:54.560]  這是很實實在在在我們身邊常常出現的事情
[00:01:54.560 --> 00:01:57.520]  而且我們會發覺當我們越信主內
[00:01:57.520 --> 00:01:59.800]  越經歷主的慈愛的時候
[00:01:59.800 --> 00:02:03.480]  就發覺內心的容量開始擴大
[00:02:03.480 --> 00:02:06.000]  更加可以和不同的人相處
[00:02:06.000 --> 00:02:08.360]  學習來愛護他們
[00:02:08.360 --> 00:02:09.440]  我有一次看到一篇文章
[00:02:09.440 --> 00:02:11.480]  講到一位蔡牧師
[00:02:11.480 --> 00:02:13.360]  這位蔡牧師本身是台灣人
[00:02:13.360 --> 00:02:15.840]  也去了北美來到牧會
[00:02:15.840 --> 00:02:18.920]  但蔡牧師本身原本是一位精神科醫生
[00:02:18.920 --> 00:02:21.640]  在他做醫生的時間
[00:02:21.640 --> 00:02:22.640]  在台灣的時候
[00:02:22.640 --> 00:02:26.400]  有一次和幾位醫生同事一起坐車
[00:02:26.400 --> 00:02:29.360]  沿著公路上去台北的地方
[00:02:29.360 --> 00:02:31.840]  這位蔡醫生當時是駕車
[00:02:31.840 --> 00:02:34.160]  但因為一個不小心
[00:02:34.160 --> 00:02:36.200]  就是有交通意外
[00:02:36.200 --> 00:02:37.840]  交通意外很嚴重
[00:02:37.840 --> 00:02:42.040]  甚至即時他在車裏其中一個醫生同事
[00:02:42.040 --> 00:02:45.520]  立刻當場死亡
[00:02:45.520 --> 00:02:46.320]  大家可以想像一下
[00:02:46.320 --> 00:02:48.880]  如果你駕車有意外發生
