
[00:00:00.000 --> 00:00:03.000]  我們打開聖經的第二章
[00:00:03.000 --> 00:00:05.000]  我們今天來思想
[00:00:05.000 --> 00:00:09.000]  在苦難中的喜樂
[00:00:09.000 --> 00:00:12.000]  菲律賓書的第二章
[00:00:12.000 --> 00:00:16.000]  我們首先來思想一下
[00:00:16.000 --> 00:00:23.000]  第二章1-11節的訊息
[00:00:23.000 --> 00:00:25.000]  這11節的訊息
[00:00:25.000 --> 00:00:27.000]  是說到在教會裡
[00:00:27.000 --> 00:00:33.000]  如何過一個墟己團契合一的生活
[00:00:33.000 --> 00:00:37.000]  我和大家做了一點點的功課
[00:00:37.000 --> 00:00:43.000]  打開第八頁大會的講義
[00:00:43.000 --> 00:00:49.000]  我和大家按照希臘文原文的格式和分析方式
[00:00:49.000 --> 00:00:54.000]  和大家將這11節列出來
[00:00:54.000 --> 00:00:58.000]  成為第八和第九頁的圖表
[00:00:58.000 --> 00:01:01.000]  當然我不假設大家懂得希臘文
[00:01:01.000 --> 00:01:04.000]  所以我將它按照聖經的和合本
[00:01:04.000 --> 00:01:05.000]  將它譯成中文
[00:01:05.000 --> 00:01:07.000]  不過你看見我擺的位置
[00:01:07.000 --> 00:01:10.000]  就是希臘文本來的分析位置
[00:01:10.000 --> 00:01:14.000]  所以我想和大家用圖表來讀這段聖經
[00:01:14.000 --> 00:01:16.000]  我讀給大家聽
[00:01:16.000 --> 00:01:21.000]  其實和大家看的聖經是一樣的內容
[00:01:21.000 --> 00:01:23.000]  不過先後次序可能有一點點不同
[00:01:23.000 --> 00:01:29.000]  將內容的起承轉接寫得更加清楚
[00:01:29.000 --> 00:01:31.000]  第一節開始是這樣的
[00:01:31.000 --> 00:01:35.000]  首先提到有五件團契的事情
[00:01:35.000 --> 00:01:38.000]  第一節說「所以」
[00:01:38.000 --> 00:01:40.000]  「所以」是怎樣呢
[00:01:40.000 --> 00:01:46.000]  如果在基督裡面的勸勉
[00:01:46.000 --> 00:01:48.000]  愛心的安慰
[00:01:48.000 --> 00:01:51.000]  在聖靈裡面的交通
[00:01:51.000 --> 00:01:53.000]  慈悲和憐憫
[00:01:53.000 --> 00:01:54.000]  五件事
[00:01:54.000 --> 00:01:59.000]  安慰 勸勉 交通 慈悲 憐憫
[00:01:59.000 --> 00:02:01.000]  這樣進入第二節
[00:02:01.000 --> 00:02:04.000]  有三個相同的
[00:02:04.000 --> 00:02:08.000]  如果你們想令我喜樂滿足的話
[00:02:08.000 --> 00:02:09.000]  保羅說
[00:02:09.000 --> 00:02:14.000]  這樣你們就需要意念相同
[00:02:14.000 --> 00:02:15.000]  愛心相同
[00:02:15.000 --> 00:02:17.000]  有一樣的心思
[00:02:17.000 --> 00:02:19.000]  有一樣的意念
[00:02:19.000 --> 00:02:21.000]  有些頂字會說 搞錯
[00:02:21.000 --> 00:02:22.000]  四樣
[00:02:22.000 --> 00:02:24.000]  這四句
[00:02:24.000 --> 00:02:27.000]  其實你看原來的英文
[00:02:27.000 --> 00:02:30.000]  或者原文希臘文更加清楚
[00:02:30.000 --> 00:02:33.000]  第一個意念相同
[00:02:33.000 --> 00:02:35.000]  第四個有一樣的意念
[00:02:35.000 --> 00:02:37.000]  這兩個就算在原來的文字
[00:02:37.000 --> 00:02:39.000]  同一個字
[00:02:39.000 --> 00:02:40.000]  同一個字
[00:02:40.000 --> 00:02:43.000]  所以保羅說三件事
[00:02:43.000 --> 00:02:44.000]  意念相同
[00:02:44.000 --> 00:02:45.000]  愛心相同
[00:02:45.000 --> 00:02:47.000]  有一樣的心思
[00:02:47.000 --> 00:02:49.000]  第三和第四節
[00:02:49.000 --> 00:02:53.000]  就說到教會裡面兩類的基督徒
[00:02:53.000 --> 00:02:55.000]  他們都是很好的
[00:02:55.000 --> 00:02:59.000]  但是都會產生他相應的危機
[00:02:59.000 --> 00:03:01.000]  第三和第四節
[00:03:01.000 --> 00:03:03.000]  第三節說
[00:03:03.000 --> 00:03:05.000]  凡是有些人不可結黨
[00:03:05.000 --> 00:03:08.000]  不可貪圖 虛浮的榮耀
[00:03:08.000 --> 00:03:09.000]  這是危險
[00:03:09.000 --> 00:03:10.000]  要怎樣呢
[00:03:10.000 --> 00:03:11.000]  相對來說
[00:03:11.000 --> 00:03:15.000]  其實應該只要全心謙卑
[00:03:15.000 --> 00:03:17.000]  各人看別人比自己強
[00:03:17.000 --> 00:03:19.000]  這是第一種
[00:03:19.000 --> 00:03:21.000]  第二類的人也有他的危險
[00:03:21.000 --> 00:03:23.000]  有些人就是
[00:03:23.000 --> 00:03:24.000]  保羅提醒他們
[00:03:24.000 --> 00:03:27.000]  各人不要單顧自己的事
[00:03:27.000 --> 00:03:28.000]  怎樣呢
[00:03:28.000 --> 00:03:29.000]  又是對比
[00:03:29.000 --> 00:03:30.000]  要怎樣呢
[00:03:30.000 --> 00:03:33.000]  要也要顧別人的事
[00:03:33.000 --> 00:03:35.000]  第五節
[00:03:35.000 --> 00:03:36.000]  是一個很重要的
[00:03:36.000 --> 00:03:39.000]  起承轉接的一句話
[00:03:39.000 --> 00:03:44.000]  你們當以基督耶穌的心為心
[00:03:44.000 --> 00:03:49.000]  第六節至第十一節
[00:03:49.000 --> 00:03:51.000]  就解釋了耶穌基督的心為心
[00:03:51.000 --> 00:03:53.000]  耶穌基督的心是怎樣的
[00:03:53.000 --> 00:03:55.000]  第六節至第十一節
[00:03:55.000 --> 00:03:57.000]  我們將它排下來
[00:03:57.000 --> 00:03:58.000]  很清楚的
[00:03:58.000 --> 00:03:59.000]  前面那一堆
[00:03:59.000 --> 00:04:01.000]  一路說耶穌基督的降卑
[00:04:01.000 --> 00:04:05.000]  然後就說到耶穌基督的升高
[00:04:05.000 --> 00:04:07.000]  由六節到第八節
[00:04:07.000 --> 00:04:09.000]  就一路降卑
[00:04:09.000 --> 00:04:11.000]  所以我們就一路指下來
[00:04:11.000 --> 00:04:12.000]  第一
[00:04:12.000 --> 00:04:15.000]  他本有神的形象
[00:04:15.000 --> 00:04:19.000]  不以自己與神同等為強奪的
