
[00:00:00.000 --> 00:00:02.000]  今晚我們來到
[00:00:02.000 --> 00:00:07.000]  薛徒保羅的祝福和他的懸念
[00:00:07.000 --> 00:00:11.000]  保羅的祝福是一個很強的字眼
[00:00:11.000 --> 00:00:13.000]  我們已經看過
[00:00:13.000 --> 00:00:16.000]  是一個軍事的字句
[00:00:16.000 --> 00:00:20.000]  表示他有很大的負擔
[00:00:20.000 --> 00:00:23.000]  是一種很強的感受裏面
[00:00:23.000 --> 00:00:27.000]  來提醒提摩體
[00:00:27.000 --> 00:00:34.000]  他的懸念都是從他的內心
[00:00:34.000 --> 00:00:37.000]  因為他看見教會的需要
[00:00:37.000 --> 00:00:41.000]  看見侍奉人的缺少
[00:00:41.000 --> 00:00:46.000]  所以他來到發出懸念的聲音
[00:00:46.000 --> 00:00:49.000]  我們都願意向
[00:00:49.000 --> 00:00:54.000]  已經當次面上的保羅來到學習
[00:00:54.000 --> 00:00:59.000]  這個時候保羅已經面對
[00:00:59.000 --> 00:01:03.000]  他侍奉道路的終點
[00:01:03.000 --> 00:01:07.000]  所以他四章六字
[00:01:07.000 --> 00:01:13.000]  他講他消電的時候已經到了
[00:01:13.000 --> 00:01:18.000]  是指著他的死講的
[00:01:18.000 --> 00:01:24.000]  為了聖見他所獻上的聖物
[00:01:24.000 --> 00:01:26.000]  就是將基督徒
[00:01:26.000 --> 00:01:30.000]  將他所帶到面前的基督徒
[00:01:30.000 --> 00:01:36.000]  將他所與他同宮的人
[00:01:36.000 --> 00:01:40.000]  一切放在炭上
[00:01:40.000 --> 00:01:43.000]  他願意自己為了聖見他們
[00:01:43.000 --> 00:01:47.000]  將自己消電在神的面前
[00:01:47.000 --> 00:01:49.000]  為了聖見神
[00:01:49.000 --> 00:01:52.000]  在這方向獻上的工作
[00:01:52.000 --> 00:01:59.000]  來獻上自己當作聖物給神
[00:01:59.000 --> 00:02:03.000]  我們看他的懸念
[00:02:03.000 --> 00:02:04.000]  第一
[00:02:04.000 --> 00:02:09.000]  他懸念提摩體提前一章三節
[00:02:09.000 --> 00:02:12.000]  我往馬其頓去的時候
