
[00:00:00.000 --> 00:00:02.000]  在前一代
[00:00:02.000 --> 00:00:05.500]  沈大用的夫人穆蒂
[00:00:05.500 --> 00:00:13.500]  有一次被邀請到美國紐約第五屆的長老會講到
[00:00:13.500 --> 00:00:18.500]  也許我們中間有人知道那間教會
[00:00:18.500 --> 00:00:22.500]  一直都是政府的高級的官員
[00:00:22.500 --> 00:00:27.500]  社會的閒要聚會的地方
[00:00:27.500 --> 00:00:32.500]  而穆蒂呢只是讀了小學
[00:00:32.500 --> 00:00:38.500]  她講英文還有文法上的錯誤
[00:00:38.500 --> 00:00:43.500]  那麼這樣一個人到那樣的一個禮拜堂講到
[00:00:43.500 --> 00:00:48.500]  在心理上會有很大的壓力
[00:00:48.500 --> 00:00:51.500]  那些會眾他們心裡想
[00:00:51.500 --> 00:00:55.500]  這個老粗向我們講什麼呢
[00:00:55.500 --> 00:00:58.500]  他們你看看我
[00:00:58.500 --> 00:01:00.500]  我看看你微笑一下
[00:01:00.500 --> 00:01:05.500]  等候老粗開槍
[00:01:05.500 --> 00:01:11.500]  但是那個牧師後來這樣說
[00:01:11.500 --> 00:01:14.500]  他回憶這樣說
[00:01:14.500 --> 00:01:20.500]  當穆蒂先生站起來傳講算話語的時候
[00:01:20.500 --> 00:01:24.500]  那些人越聽越注意
[00:01:24.500 --> 00:01:28.500]  他們就坐在椅子邊上
[00:01:28.500 --> 00:01:31.500]  那樣聚精會神的來聽
[00:01:31.500 --> 00:01:35.500]  散會以後那個牧師這樣說
[00:01:35.500 --> 00:01:39.500]  我們聽穆蒂先生講到的時候
[00:01:39.500 --> 00:01:42.500]  我們在他的聲音以外
[00:01:42.500 --> 00:01:47.500]  聽見另一個聲音向我們心裡講話
[00:01:47.500 --> 00:01:50.500]  那是聖靈的聲音
[00:01:50.500 --> 00:01:57.500]  每一次我們聽到需要聽見另一個聲音
[00:01:57.500 --> 00:02:01.500]  向我們心裡講話
[00:02:01.500 --> 00:02:03.500]  在人的聲音之外
[00:02:03.500 --> 00:02:07.500]  我們需要聽見天上的聲音
[00:02:07.500 --> 00:02:11.500]  從聖靈送進我們的心中
[00:02:11.500 --> 00:02:15.500]  我們聽見了感動了
[00:02:15.500 --> 00:02:17.500]  接受了
[00:02:17.500 --> 00:02:20.500]  得著了
[00:02:20.500 --> 00:02:23.500]  聖靈是真理的聖靈
[00:02:23.500 --> 00:02:26.500]  把基督的話就是真理
[00:02:26.500 --> 00:02:28.500]  送進我們的心中
[00:02:28.500 --> 00:02:30.500]  生命中
[00:02:30.500 --> 00:02:31.500]  生活中
