
[00:00:00.000 --> 00:00:20.000]  (國歌)
[00:00:28.000 --> 00:00:31.000]  各位先生、姐妹平安!
[00:00:31.000 --> 00:00:36.000]  感謝主今天又可以跟大家在聖經上一起來研究。
[00:00:36.000 --> 00:00:42.000]  剛才我們所念的聖經,就是今天我們特別要研究的地方。
[00:00:42.000 --> 00:00:48.000]  所以你看今天我們要研究的、要看的,
[00:00:48.000 --> 00:00:54.000]  是在聖經當中,新約聖經裡面一件不尋常的事。
[00:00:54.000 --> 00:00:58.000]  這不尋常的事是怎樣的不尋常,是什麼事情呢?
[00:00:58.000 --> 00:01:03.000]  我們就用聖經的述話一起來研究一下。
[00:01:03.000 --> 00:01:11.000]  剛才我們所念的是馬可福音,馬可福音的十四章。
[00:01:11.000 --> 00:01:17.000]  但是我們知道在聖經當中有幾個福音都記載耶穌的。
[00:01:17.000 --> 00:01:24.000]  所以在這個事情上有三個聖經的福音書都記載同樣的事情。
[00:01:24.000 --> 00:01:27.000]  所以今天我們不要慢慢把它全念出來了,
[00:01:27.000 --> 00:01:34.000]  我講的時候就把三個不同的角度、不同的記載把它合併在一起。
[00:01:34.000 --> 00:01:37.000]  在馬可福音的二十六章有記載這個事情,
[00:01:37.000 --> 00:01:41.000]  在約翰福音的十二章也記載這個事情。
[00:01:41.000 --> 00:01:47.000]  所以我們一起來綜合來看這個不尋常的事。
[00:01:47.000 --> 00:01:49.000]  為什麼說這個不尋常的事情?
[00:01:49.000 --> 00:01:55.000]  這個不尋常的事情我們先講這個事情發生在什麼時間、什麼地點。
[00:01:55.000 --> 00:01:59.000]  這個不尋常的事情當然跟耶穌有關了,
[00:01:59.000 --> 00:02:02.000]  剛才我們所念的聖經裡面大概大家有點印象了,
[00:02:02.000 --> 00:02:06.000]  就是耶穌在一個宴會裡面所發生的事情。
[00:02:06.000 --> 00:02:08.000]  那麼這個事情發生在什麼時間呢?
[00:02:08.000 --> 00:02:12.000]  按照我們的聖經裡面的記載跟歷史的研究,
[00:02:12.000 --> 00:02:16.000]  應該是發生在耶穌最後一個聖期,
[00:02:16.000 --> 00:02:20.000]  大家還記得,就進到耶路撒冷,然後就定時計假,
[00:02:20.000 --> 00:02:25.000]  就死亡復活,然後繼續在星天。
[00:02:25.000 --> 00:02:30.000]  那麼就是在最後一個禮拜進到耶路撒冷以前的前夕,
[00:02:30.000 --> 00:02:33.000]  就是在最後一個晚上,還沒有進到耶路撒冷,
[00:02:33.000 --> 00:02:35.000]  就第二天就進到耶路撒冷了,
[00:02:35.000 --> 00:02:38.000]  就是所發生的一個宴會裡面。
[00:02:38.000 --> 00:02:40.000]  這個宴會當然也不是在耶路撒冷,
[00:02:40.000 --> 00:02:45.000]  是在耶路撒冷東面的一個叫做伯大尼的城裡面。
