
[00:00:00.000 --> 00:00:06.000]  今天我們所要領授的信息是《師徒行傳》的真理
[00:00:06.000 --> 00:00:11.000]  今天是《師徒行傳》的信息的第二講
[00:00:11.000 --> 00:00:14.000]  我們今天特別要集中注意
[00:00:14.000 --> 00:00:21.000]  來看聖靈如何在師徒時代的教會里面運行、工作
[00:00:21.000 --> 00:00:25.000]  完成神的計劃和旨意
[00:00:25.000 --> 00:00:28.000]  聖靈過去在教會里工作
[00:00:28.000 --> 00:00:32.000]  今天仍然在教會里面工作
[00:00:32.000 --> 00:00:34.000]  在聖經裏面我們看見
[00:00:34.000 --> 00:00:40.000]  主耶穌基督自己是何等的注重聖靈的工作
[00:00:40.000 --> 00:00:44.000]  他要門徒也注重聖靈的工作
[00:00:44.000 --> 00:00:51.000]  今天所有屬基督的人也應該注重聖靈的工作
[00:00:51.000 --> 00:00:54.000]  我們自己是軟弱無能的
[00:00:54.000 --> 00:00:57.000]  我們自己做不成屬靈的聖公
[00:00:57.000 --> 00:01:02.000]  但是當聖靈在我們裏面運行、工作的時候
[00:01:02.000 --> 00:01:05.000]  他就能夠用軟弱的人
[00:01:05.000 --> 00:01:08.000]  使我們得到屬靈的能力
[00:01:08.000 --> 00:01:14.000]  完成天父在這個時代裏面的計劃和旨意
[00:01:14.000 --> 00:01:17.000]  我們要用幾次的時間
[00:01:17.000 --> 00:01:23.000]  來查考《師徒行傳》裏面聖靈的作爲
[00:01:23.000 --> 00:01:27.000]  聖靈的第一個作爲是記載在
[00:01:27.000 --> 00:01:33.000]  《師徒行傳》第二章第一節到第十一節裏面
[00:01:33.000 --> 00:01:35.000]  這一段告訴我們
[00:01:35.000 --> 00:01:41.000]  當門徒們在馬可樓上統心合一禱告的時候
[00:01:41.000 --> 00:01:47.000]  神就按照基督的應許將聖靈賜下
[00:01:47.000 --> 00:01:52.000]  這就是五選節聖靈降臨的大事
[00:01:52.000 --> 00:01:56.000]  這是教會歷史裏面最重要的事
[00:01:56.000 --> 00:02:00.000]  從五選節聖靈降臨的時候
[00:02:00.000 --> 00:02:03.000]  教會就開始成立
[00:02:03.000 --> 00:02:06.000]  這是教會歷史的第一頁
[00:02:06.000 --> 00:02:08.000]  在那一天
[00:02:08.000 --> 00:02:13.000]  真是鮮明瞭神奇妙的大作爲
[00:02:13.000 --> 00:02:20.000]  讓我們感覺驚奇、滿心、驚訝、歡喜、快樂、讚美足
[00:02:20.000 --> 00:02:24.000]  當聖靈在五選節降臨的時候
[00:02:24.000 --> 00:02:30.000]  有幾種的現象是值得我們特別的注意的
[00:02:30.000 --> 00:02:37.000]  第一種的現象就是從天上有響聲下來
[00:02:37.000 --> 00:02:44.000]  這讓我們想到舊約一系節書三十七章裏面告訴我們
[00:02:44.000 --> 00:02:50.000]  當先知一系節按照神的吩咐而說預言的時候
[00:02:50.000 --> 00:02:54.000]  就有大的響聲發生
[00:02:54.000 --> 00:02:58.000]  照樣,當聖靈在五選節降臨的時候
[00:02:58.000 --> 00:03:02.000]  也有大的聲音發出來
[00:03:02.000 --> 00:03:07.000]  這是代表神的能力的聲音
[00:03:07.000 --> 00:03:09.000]  感謝神
[00:03:09.000 --> 00:03:11.000]  神的能力一彰顯
[00:03:11.000 --> 00:03:14.000]  一切都要改變
[00:03:14.000 --> 00:03:18.000]  第二種的情況在五選節發生的
[00:03:18.000 --> 00:03:22.000]  就是有一陣大風吹過
[00:03:22.000 --> 00:03:27.000]  大風就是"搶風"
[00:03:27.000 --> 00:03:31.000]  這個"搶風"是代表什麼意思呢?
[00:03:31.000 --> 00:03:35.000]  我們還是要回到一系節書三十七章
[00:03:35.000 --> 00:03:40.000]  才能夠了解大風所代表的"書靈"的意義
[00:03:40.000 --> 00:03:42.000]  在那裏告訴我們
[00:03:42.000 --> 00:03:47.000]  當先知一系節按照神的命令發預言的時候
[00:03:47.000 --> 00:03:51.000]  聖靈就好像風一樣吹來了
[00:03:51.000 --> 00:03:58.000]  風和聖靈在西伯來文原文裏面是同一個字
[00:03:58.000 --> 00:04:00.000]  感謝神
[00:04:00.000 --> 00:04:05.000]  聖靈就是五選節吹的風
[00:04:05.000 --> 00:04:08.000]  這個風是大風,是搶風
[00:04:08.000 --> 00:04:14.000]  就代表聖靈的強大的遊歷的工作
[00:04:14.000 --> 00:04:17.000]  在一系節書三十七章給我們看見
[00:04:17.000 --> 00:04:20.000]  當臨風吹起的時候
[00:04:20.000 --> 00:04:25.000]  食人的骨頭就開始發生變化
[00:04:25.000 --> 00:04:28.000]  後來得了生命
[00:04:28.000 --> 00:04:31.000]  所以風就是生命的風
[00:04:31.000 --> 00:04:35.000]  聖靈把生命的風吹起
[00:04:35.000 --> 00:04:40.000]  這個時候人就得到了強的生命
[00:04:40.000 --> 00:04:42.000]  也就是豐盛的生命
[00:04:42.000 --> 00:04:44.000]  也就是有能力的生命
