
[00:00:00.000 --> 00:00:02.800]  在開始的時候我想先提一件事情
[00:00:02.800 --> 00:00:08.000]  亦是過去自己一個聽到一位目者分享的一件事情
[00:00:08.000 --> 00:00:10.500]  這位目者和我們分享到一件事
[00:00:10.500 --> 00:00:17.400]  他曾經有一次嘗試去幫助一位被靈界騷擾的一位朋友
[00:00:17.400 --> 00:00:20.800]  亦是我們所說的一個驅鬼的服事
[00:00:20.800 --> 00:00:24.000]  在過程裏面這位目者一直和弟兄姊妹
[00:00:24.000 --> 00:00:26.200]  為這位朋友祈禱
[00:00:26.200 --> 00:00:29.600]  但意想不到在過程當中突然間有一把聲音
[00:00:29.600 --> 00:00:32.200]  從這位朋友口中出來
[00:00:32.200 --> 00:00:34.800]  明顯不是這位朋友自己的聲音
[00:00:34.800 --> 00:00:38.800]  是惡者透過他講出的說話
[00:00:38.800 --> 00:00:41.600]  講的說話很特別
[00:00:41.600 --> 00:00:45.400]  就是不斷地來挑戰這位目師
[00:00:45.400 --> 00:00:48.800]  說他知不知道你犯罪
[00:00:48.800 --> 00:00:52.400]  甚至說一些具體的事情出來
[00:00:52.400 --> 00:00:55.400]  你毫無愛心
[00:00:55.400 --> 00:00:57.800]  一直在指責這位目師的時候
[00:00:57.800 --> 00:01:02.800]  然後就說你憑什麼叫我走
[00:01:02.800 --> 00:01:05.400]  一直挑戰這位目者
[00:01:05.400 --> 00:01:10.200]  這位目者說回他當時其實心裏面也有一種難過
[00:01:10.200 --> 00:01:13.000]  知道自己的確是軟弱的人
[00:01:13.000 --> 00:01:17.000]  但突然間聖靈給他一個很特別的鼓勵
[00:01:17.000 --> 00:01:22.200]  他就馬上回應這位靈對他所說的話
[00:01:22.200 --> 00:01:26.800]  他說沒錯我絕對不能憑自己叫你走
[00:01:26.800 --> 00:01:30.200]  但因為主耶穌赦免了我的罪
[00:01:30.200 --> 00:01:32.200]  祂賜我清潔的生命
[00:01:32.200 --> 00:01:35.000]  我憑著祂我趕逐你
[00:01:35.000 --> 00:01:37.000]  然後他就想起聖經
[00:01:37.000 --> 00:01:40.000]  羅莫書第八章三十三節經文
[00:01:40.000 --> 00:01:42.400]  大家可能會想起這節聖經
[00:01:42.400 --> 00:01:43.800]  羅莫書第八章三十三節
[00:01:43.800 --> 00:01:45.400]  然後他讀了出來
[00:01:45.400 --> 00:01:46.400]  他就這樣讀
[00:01:46.400 --> 00:01:50.400]  他說誰能控告神所揀選的人呢?
[00:01:50.400 --> 00:01:54.600]  有神已經稱他為異了
