
[00:00:00.000 --> 00:00:06.000]  我們今天的題目是排除萬難,雨神會面
[00:00:06.000 --> 00:00:09.000]  我相信大家都會體會到很多時候
[00:00:09.000 --> 00:00:13.000]  人的生活上有很多不同的需要
[00:00:13.000 --> 00:00:16.000]  其中最大的需要我們常常感覺到是
[00:00:16.000 --> 00:00:19.000]  我們需要營養,需要食物
[00:00:19.000 --> 00:00:23.000]  如果你有機會去到醫院探望朋友弟兄姊妹的時候
[00:00:23.000 --> 00:00:25.000]  你會發覺某些病人到了某個階段
[00:00:25.000 --> 00:00:27.000]  他是不能夠飲食的
[00:00:27.000 --> 00:00:30.000]  或者很腔胃肌肉出現問題
[00:00:30.000 --> 00:00:33.000]  所以他們很多時候只能夠吃一些流質
[00:00:33.000 --> 00:00:35.000]  但他們不會不吃
[00:00:35.000 --> 00:00:37.000]  因為一旦缺乏了營養
[00:00:37.000 --> 00:00:40.000]  身體就會虛弱,甚至會死亡
[00:00:40.000 --> 00:00:44.000]  但有些朋友甚至不能夠飲食一些流質的食物
[00:00:44.000 --> 00:00:46.000]  醫生只能夠用一個方法
[00:00:46.000 --> 00:00:50.000]  是什麼方法呢?插一條胃喉
[00:00:50.000 --> 00:00:53.000]  用胃喉灌一些食物給他
[00:00:53.000 --> 00:00:55.000]  讓他能夠得到維持
[00:00:55.000 --> 00:00:58.000]  就算身體有什麼問題也好
[00:00:58.000 --> 00:01:03.000]  醫生都會盡力量幫他得到所需要的食物
[00:01:03.000 --> 00:01:05.000]  各位弟兄姊妹,我曾經清楚說過
[00:01:05.000 --> 00:01:07.000]  人活著不是單靠食物
[00:01:07.000 --> 00:01:11.000]  而是靠神口裡所出一切的說話
[00:01:11.000 --> 00:01:15.000]  所以當你何時發覺自己不能夠領受神的話的時候
[00:01:15.000 --> 00:01:17.000]  你要很小心
[00:01:17.000 --> 00:01:20.000]  你要排除萬難,盡一切的方法
[00:01:20.000 --> 00:01:23.000]  幫助自己能夠領受神的話
[00:01:23.000 --> 00:01:27.000]  否則你會枯乾,你會死亡
[00:01:27.000 --> 00:01:29.000]  所以你要留心
[00:01:29.000 --> 00:01:31.000]  在你人生的路上
[00:01:31.000 --> 00:01:35.000]  不要做一個屬靈營養不良的教徒
[00:01:35.000 --> 00:01:39.000]  更加不要做一個屬靈不成長的教徒
[00:01:39.000 --> 00:01:43.000]  你幫助自己不斷去領受神的話
[00:01:43.000 --> 00:01:48.000]  正因為這樣,彼得前書就在當中提醒我們
[00:01:48.000 --> 00:01:50.000]  在聖經的二十三節首先提到的就是
[00:01:50.000 --> 00:01:54.000]  神用祂永恆的真道來叫我們重生
[00:01:54.000 --> 00:01:56.000]  因此你見到第二十三節
[00:01:56.000 --> 00:02:00.000]  「你們得了重生並不是由於能壞的種子
[00:02:00.000 --> 00:02:03.000]  卻是由於不能扭壞的
[00:02:03.000 --> 00:02:08.000]  就是藉著神永活長存的道」
[00:02:08.000 --> 00:02:10.000]  我們所蒙受的重生
[00:02:10.000 --> 00:02:14.000]  不是短時間給你有一點點復甦
[00:02:14.000 --> 00:02:17.000]  有些人當他身體器官出了問題
[00:02:17.000 --> 00:02:19.000]  要移植一些器官
[00:02:19.000 --> 00:02:22.000]  移植之後身體康復了
[00:02:22.000 --> 00:02:27.000]  但無論如何,這個器官有一天都會失去效用
[00:02:27.000 --> 00:02:31.000]  但神給我們的生命是重生的生命
[00:02:31.000 --> 00:02:33.000]  也就是聖經所說的
[00:02:33.000 --> 00:02:35.000]  是長久不變
[00:02:35.000 --> 00:02:39.000]  永遠是常生的生命
[00:02:39.000 --> 00:02:41.000]  那梅加是甚麼呢?
[00:02:41.000 --> 00:02:43.000]  梅加就是透過他自己的說話
[00:02:43.000 --> 00:02:48.000]  就是不能扭壞的永活長存的道
[00:02:48.000 --> 00:02:50.000]  而世間上一切的東西
[00:02:50.000 --> 00:02:52.000]  一切的光榮都會失去
[00:02:52.000 --> 00:02:54.000]  都會消散的
[00:02:54.000 --> 00:02:56.000]  在下第二十四節所說
[00:02:56.000 --> 00:02:58.000]  「所有的人盡都如草
[00:02:58.000 --> 00:03:01.000]  他們的榮美都像草上的花
[00:03:01.000 --> 00:03:03.000]  草必枯乾,花必凋謝
[00:03:03.000 --> 00:03:07.000]  唯有主的道是永遠長存的
[00:03:07.000 --> 00:03:11.000]  所傳給你們的福音就是這道」
[00:03:11.000 --> 00:03:13.000]  甚麼是福音?
[00:03:13.000 --> 00:03:15.000]  福音就是好消息
[00:03:15.000 --> 00:03:17.000]  好消息就是告訴我們
[00:03:17.000 --> 00:03:21.000]  我們不會因此滅亡、毀滅
[00:03:21.000 --> 00:03:25.000]  而是有神的道叫我們重生
[00:03:25.000 --> 00:03:28.000]  神的道是永活長存的
[00:03:28.000 --> 00:03:31.000]  意思是不斷不斷擁留著生命
[00:03:31.000 --> 00:03:33.000]  亦都不會改變
[00:03:33.000 --> 00:03:34.000]  所以聖經所說
[00:03:34.000 --> 00:03:36.000]  天地都要廢去
[00:03:36.000 --> 00:03:39.000]  但神的話如一點一滴
[00:03:39.000 --> 00:03:41.000]  都不能廢去
[00:03:41.000 --> 00:03:43.000]  所以你知道領受重生的人
[00:03:43.000 --> 00:03:46.000]  是一個蒙福的人
[00:03:46.000 --> 00:03:48.000]  而聖經就說當你領受重生之後
[00:03:48.000 --> 00:03:50.000]  有幾方面應該有的表現
[00:03:50.000 --> 00:03:51.000]  第一
[00:03:51.000 --> 00:03:54.000]  就是讓你重生的生命可以流露出來
[00:03:54.000 --> 00:03:55.000]  可以活出來
[00:03:55.000 --> 00:03:58.000]  你看回第二十二節
[00:03:58.000 --> 00:04:01.000]  聖話:你們既因順從真理
[00:04:01.000 --> 00:04:03.000]  潔淨了自己的心
[00:04:03.000 --> 00:04:06.000]  以致能夠可以真誠地愛弟兄
[00:04:06.000 --> 00:04:07.000]  不會虛假
[00:04:07.000 --> 00:04:10.000]  不需要去假情假意
[00:04:10.000 --> 00:04:13.000]  就應當從清潔的心裡
[00:04:13.000 --> 00:04:16.000]  彼此切實相愛
[00:04:16.000 --> 00:04:18.000]  你裡面已經重生了
[00:04:18.000 --> 00:04:20.000]  所以讓它可以流露出來
[00:04:20.000 --> 00:04:21.000]  可以活出來
[00:04:21.000 --> 00:04:25.000]  你的生命就更加燦爛活躍
[00:04:25.000 --> 00:04:27.000]  一條溪流
[00:04:27.000 --> 00:04:29.000]  當它過了一段時間
[00:04:29.000 --> 00:04:31.000]  是乾枯了
[00:04:31.000 --> 00:04:32.000]  不能夠再有水流
[00:04:32.000 --> 00:04:34.000]  但經過一段時間之後
[00:04:34.000 --> 00:04:37.000]  突然間重新有水湧流出來
[00:04:37.000 --> 00:04:39.000]  突然間經過一段日子
