
[00:00:00.000 --> 00:00:03.000]  大家翻開聖經創世紀第十二章
[00:00:03.000 --> 00:00:10.840]  所以你們要去叫別人得福
[00:00:10.840 --> 00:00:14.640]  我相信大家都一定記得在新約一節經文
[00:00:14.640 --> 00:00:16.640]  我們常常重讀的就是
[00:00:16.640 --> 00:00:18.640]  若有人在基督裡
[00:00:18.640 --> 00:00:21.640]  他就是新造的人
[00:00:21.640 --> 00:00:25.640]  舊是已過都變成新的了
[00:00:25.640 --> 00:00:27.140]  新造的人
[00:00:27.140 --> 00:00:29.640]  原來的意思就是新的創造
[00:00:29.640 --> 00:00:31.640]  a new creation
[00:00:31.640 --> 00:00:35.640]  誰在耶穌基督裡就成為了新的創造
[00:00:35.640 --> 00:00:39.640]  這個新的創造有兩方面的很明顯的特點
[00:00:39.640 --> 00:00:43.640]  第一就是舊的生命改變了
[00:00:43.640 --> 00:00:47.640]  有新的生命從新的生命開始了
[00:00:47.640 --> 00:00:51.640]  第二這個生命不再是自我中心
[00:00:51.640 --> 00:00:53.640]  是能夠懂得去愛
[00:00:53.640 --> 00:00:57.640]  因此他會懂得去將自己的
[00:00:57.640 --> 00:00:59.640]  和別人分享
[00:00:59.640 --> 00:01:02.640]  可以將恩惠帶給別人
[00:01:02.640 --> 00:01:03.640]  好像什麼呢?
[00:01:03.640 --> 00:01:06.640]  好像一些污染了的水
[00:01:06.640 --> 00:01:10.640]  經過一段時間的過濾清潔之後
[00:01:10.640 --> 00:01:13.640]  變為清澈的活水
[00:01:13.640 --> 00:01:15.640]  它本身改變了
[00:01:15.640 --> 00:01:18.640]  而活水可以流出去滋潤
[00:01:18.640 --> 00:01:20.640]  去硝灌大地
[00:01:20.640 --> 00:01:22.640]  成為其他的祝福
[00:01:22.640 --> 00:01:24.640]  當我們的主呼召我們的時候
[00:01:24.640 --> 00:01:27.640]  很明顯有兩個很重要的方向
[00:01:27.640 --> 00:01:28.640]  第一個方向
[00:01:28.640 --> 00:01:33.640]  他呼召我們來到主耶穌的面前得生命
[00:01:33.640 --> 00:01:35.640]  第二個方向
[00:01:35.640 --> 00:01:39.640]  差遣我們去叫別人得生命
[00:01:39.640 --> 00:01:43.640]  神的呼召上上下下兩方面彼此配合
[00:01:43.640 --> 00:01:47.640]  當我們來到耶穌的面前的時候
[00:01:47.640 --> 00:01:49.640]  就是得了部分的恩典
[00:01:49.640 --> 00:01:52.640]  而當我們領受神給我們的差遣
[00:01:52.640 --> 00:01:55.640]  去叫別人得生命的時候
[00:01:55.640 --> 00:01:58.640]  就領受神給我們全部的恩典
[00:01:58.640 --> 00:02:01.640]  所以當我們講到呼召的時候
[00:02:01.640 --> 00:02:04.640]  其實不是去做某一些的工作
[00:02:04.640 --> 00:02:09.640]  而是神要我們去完全領受恩典的途徑
[00:02:09.640 --> 00:02:11.640]  當我們這樣去了解的時候
[00:02:11.640 --> 00:02:12.640]  就會察覺
[00:02:12.640 --> 00:02:14.640]  聖經創世的一開始的時候
[00:02:14.640 --> 00:02:15.640]  整個大地
[00:02:15.640 --> 00:02:18.640]  聖經講到是空虛混沌
[00:02:18.640 --> 00:02:21.640]  然後講冤冤黑暗
[00:02:21.640 --> 00:02:23.640]  然後神講說話
[00:02:23.640 --> 00:02:26.640]  神說話的時候就創造大地
[00:02:26.640 --> 00:02:28.640]  一切都更新了
[00:02:28.640 --> 00:02:30.640]  來到十二章的時候
[00:02:30.640 --> 00:02:31.640]  我們發覺
[00:02:31.640 --> 00:02:34.640]  神第一次向亞伯蘭講說話
[00:02:34.640 --> 00:02:37.640]  一講說話的時候就帶來了呼召
[00:02:37.640 --> 00:02:40.640]  或者說是一種的賜福
[00:02:40.640 --> 00:02:41.640]  然後跟著
[00:02:41.640 --> 00:02:46.640]  應許將個人的恩惠賜給接受呼召的人
[00:02:46.640 --> 00:02:48.640]  然後從神說話開始
[00:02:48.640 --> 00:02:51.640]  人類歷史一個很大的轉變
[00:02:51.640 --> 00:02:54.640]  一個創造開始了
[00:02:54.640 --> 00:02:56.640]  從亞伯拉罕的生命當中
[00:02:56.640 --> 00:02:59.640]  影響無數無數後期的生命
[00:02:59.640 --> 00:03:02.640]  包括今天你和我
[00:03:02.640 --> 00:03:03.640]  當我們這樣去了解的時候
[00:03:03.640 --> 00:03:04.640]  就要小心聽
[00:03:04.640 --> 00:03:06.640]  究竟神的指示
[00:03:06.640 --> 00:03:08.640]  神的說話是什麼呢?
[00:03:08.640 --> 00:03:10.640]  祂的應許又是什麼呢?
[00:03:10.640 --> 00:03:11.640]  我們一起來思想
[00:03:11.640 --> 00:03:15.640]  聖經創世紀第十二章第一節
[00:03:16.640 --> 00:03:18.640]  耶和華對亞伯蘭說
[00:03:18.640 --> 00:03:20.640]  你要離開本地
[00:03:20.640 --> 00:03:21.640]  本族父家
[00:03:21.640 --> 00:03:24.640]  到我指示你的地方去
[00:03:24.640 --> 00:03:25.640]  離開本地
