
[00:00:00.000 --> 00:00:07.200]  早前在線上聽了高明謙牧師分享一本書
[00:00:07.200 --> 00:00:08.700]  也很有意思
[00:00:08.700 --> 00:00:12.200]  這本書的作者是Branches Straw
[00:00:12.200 --> 00:00:15.600]  他寫的題目是The Old Testament is Dying
[00:00:15.600 --> 00:00:18.200]  即是舊約正在死亡中
[00:00:18.200 --> 00:00:19.900]  他講什麼呢?
[00:00:19.900 --> 00:00:24.900]  這本書的作者講述他做一個調查
[00:00:24.900 --> 00:00:28.900]  走遍北美不同的教會
[00:00:28.900 --> 00:00:36.600]  去看主日講壇的訊息是用什麼經文
[00:00:36.600 --> 00:00:39.900]  究竟用新約還是舊約多
[00:00:39.900 --> 00:00:41.900]  大家知道整本聖經
[00:00:41.900 --> 00:00:45.200]  78%是舊約
[00:00:45.200 --> 00:00:46.900]  22%是新約
[00:00:46.900 --> 00:00:48.900]  大家蝙蝠也知道
[00:00:48.900 --> 00:00:50.900]  不過很明顯
[00:00:50.900 --> 00:00:53.400]  或者你心中也有答案
[00:00:53.400 --> 00:00:55.900]  多數的講壇都是講新約
[00:00:55.900 --> 00:00:59.400]  當然也講耶穌基督的故事
[00:00:59.400 --> 00:01:01.400]  保羅書信等等
[00:01:01.400 --> 00:01:05.900]  即使是講舊約也好
[00:01:05.900 --> 00:01:07.400]  講壇講舊約
[00:01:07.400 --> 00:01:10.400]  最主要的集中在三卷書
[00:01:10.400 --> 00:01:14.400]  包括詩篇、創世記和以賽亞書
[00:01:14.400 --> 00:01:16.900]  接近零
[00:01:16.900 --> 00:01:19.900]  很少說是零
[00:01:19.900 --> 00:01:25.400]  包括歷代志、利未記、約爾書和愛歌
[00:01:25.400 --> 00:01:27.400]  接近零
[00:01:27.400 --> 00:01:30.400]  他進一步研究為什麼會這樣
[00:01:30.400 --> 00:01:35.400]  原來北美有一個趨勢
[00:01:35.400 --> 00:01:39.400]  就是人們追求快樂主義
[00:01:39.400 --> 00:01:44.400]  即使是宣講完舊約的訊息
[00:01:44.400 --> 00:01:45.400]  他們也希望聽到
[00:01:45.400 --> 00:01:47.400]  會眾聽到什麼呢
[00:01:47.400 --> 00:01:52.400]  神的祝福、應許、保守等等
[00:01:52.400 --> 00:01:55.400]  在市場當中
[00:01:55.400 --> 00:02:00.400]  受苦、愛歌等
[00:02:00.400 --> 00:02:02.400]  不受歡迎
[00:02:02.400 --> 00:02:04.400]  也不具有市場價值
[00:02:04.400 --> 00:02:08.400]  作者繼續研究
[00:02:08.400 --> 00:02:10.400]  如果一間教會
[00:02:10.400 --> 00:02:14.400]  當不斷宣講正面訊息
[00:02:14.400 --> 00:02:16.400]  即是神會祝福你
[00:02:16.400 --> 00:02:18.400]  使你人生滿足、喜樂
[00:02:18.400 --> 00:02:22.400]  當遇上風浪
[00:02:22.400 --> 00:02:26.400]  通常很多信徒和教會都抵擋不住
[00:02:26.400 --> 00:02:29.400]  比較低的抗疫力
[00:02:29.400 --> 00:02:31.400]  因為我們聽不到
[00:02:31.400 --> 00:02:33.400]  原來聖經有很多篇幅
[00:02:33.400 --> 00:02:38.400]  都是說人生有苦難、悲哀、挑戰和艱難
[00:02:38.400 --> 00:02:43.400]  所以一如過往
[00:02:43.400 --> 00:02:45.400]  過去十年
[00:02:45.400 --> 00:02:47.400]  我設計每年的講壇
[00:02:47.400 --> 00:02:52.400]  通常都是年底左右
[00:02:52.400 --> 00:02:57.400]  我已經編輯了2025年四季的講壇訊息
[00:02:57.400 --> 00:03:00.400]  有新約當然有
[00:03:00.400 --> 00:03:02.400]  也有舊約
[00:03:02.400 --> 00:03:04.400]  希望幫助會眾去明白
[00:03:04.400 --> 00:03:08.400]  整本聖經、整傳上帝的心意
[00:03:08.400 --> 00:03:09.400]  在第一季
[00:03:09.400 --> 00:03:13.400]  我們用七堂時間去講約伯記
[00:03:13.400 --> 00:03:18.400]  盼望神透過這本書帶給我們一些反思
[00:03:18.400 --> 00:03:23.400]  特別是如何在靈命上進深、紮根
[00:03:23.400 --> 00:03:27.400]  明白到人生總有苦難
[00:03:27.400 --> 00:03:30.400]  但我們可以如何面對和跨越
[00:03:30.400 --> 00:03:33.400]  在今天作為第一講
[00:03:33.400 --> 00:03:36.400]  之後有Candle傳導
[00:03:36.400 --> 00:03:39.400]  有時我會再講其他
[00:03:39.400 --> 00:03:42.400]  在第一講我想給一個整傳圖畫
[00:03:42.400 --> 00:03:45.400]  約伯記是一個怎樣的故事
[00:03:45.400 --> 00:03:47.400]  所以會從一個很宏觀的
[00:03:47.400 --> 00:03:49.400]  講完42章給大家聽
[00:03:49.400 --> 00:03:51.400]  究竟約伯記是講什麼
[00:03:51.400 --> 00:03:54.400]  約伯記有些特點
[00:03:54.400 --> 00:04:00.400]  他很多時候用兩個來作為一個啟言
[00:04:00.400 --> 00:04:02.400]  引發讀者思想
[00:04:02.400 --> 00:04:04.400]  包括兩個什麼呢
[00:04:04.400 --> 00:04:07.400]  上帝和撒旦兩次的對話
[00:04:07.400 --> 00:04:10.400]  上帝和約伯兩次的對話
[00:04:10.400 --> 00:04:13.400]  耶和華神有兩次的宣告
[00:04:13.400 --> 00:04:15.400]  在38到41章
[00:04:15.400 --> 00:04:18.400]  撒旦有兩次去攻擊約伯
