
[00:00:00.000 --> 00:00:02.720]  上次第一章已經提到
[00:00:02.720 --> 00:00:08.180]  以色列子民做了兩件很重要的錯誤事情
[00:00:08.180 --> 00:00:12.220]  以致耶和華神去審判和懲罰他們
[00:00:12.220 --> 00:00:16.260]  包括他們特意離開了活水的泉源
[00:00:16.260 --> 00:00:18.260]  就是耶和華自己
[00:00:18.260 --> 00:00:22.320]  並且他們特意去敬拜偶像
[00:00:22.320 --> 00:00:28.340]  這件事情讓一個很公義的聖潔的神憤怒
[00:00:28.340 --> 00:00:30.340]  所以他們去審判
[00:00:30.340 --> 00:00:38.220]  在審判當中我們看到他們整個過程是很艱難的
[00:00:38.220 --> 00:00:43.020]  城牆被毀 聖殿被燒 子民被擄等等
[00:00:43.020 --> 00:00:46.860]  但是耶利米亞在第三章
[00:00:46.860 --> 00:00:50.860]  他深入地幫我們思考什麼叫做罪
[00:00:50.860 --> 00:00:52.860]  什麼叫做罪 犯罪
[00:00:52.860 --> 00:00:55.220]  以色列人離開了上帝
[00:00:55.220 --> 00:00:58.500]  但是這個罪的本質是什麼
[00:00:58.500 --> 00:01:01.000]  他今天在第八節說
[00:01:01.000 --> 00:01:03.000]  吸他休書
[00:01:03.000 --> 00:01:07.760]  耶利米亞用一個婚姻狀況來形容
[00:01:07.760 --> 00:01:11.280]  以色列子民和耶和華神的關係
[00:01:11.280 --> 00:01:17.400]  也可以說罪的本質就是
[00:01:17.400 --> 00:01:25.140]  將一個婚姻文約的關係破碎打破
[00:01:25.140 --> 00:01:31.520]  在上文第二章二十節
[00:01:31.520 --> 00:01:33.520]  或者是三章九節
[00:01:33.520 --> 00:01:36.280]  都提到淫亂的事情
[00:01:36.280 --> 00:01:39.940]  以色列子民如何向偶像敬拜
[00:01:39.940 --> 00:01:41.940]  是一個淫亂的事情
[00:01:41.940 --> 00:01:44.500]  也就是出軌 也就是不忠
[00:01:44.500 --> 00:01:48.900]  一段婚姻最破壞性就是
[00:01:48.900 --> 00:01:50.900]  某一方不忠
[00:01:50.900 --> 00:01:56.500]  讓雙方的關係感到很難過傷心
[00:01:56.500 --> 00:02:00.500]  在荷西亞先知也是這樣形容
[00:02:00.500 --> 00:02:05.140]  以色列子民如何離開耶和華神
[00:02:05.140 --> 00:02:08.340]  所以叫荷西亞娶了淫婦
[00:02:08.340 --> 00:02:11.860]  以色列子民這麼壞
[00:02:11.860 --> 00:02:14.860]  但是耶和華神卻用了一段
[00:02:14.860 --> 00:02:18.500]  跟淫婦婚姻的關係來展示了
[00:02:18.500 --> 00:02:22.500]  無邊無際的愛
