
[00:00:00.000 --> 00:00:03.320]  弟兄姊妹 今天我們要讀的經文是
[00:00:03.320 --> 00:00:07.600]  在提摩太前書五章一到十六節
[00:00:07.600 --> 00:00:12.280]  提摩太前書五章一到十六節
[00:00:12.280 --> 00:00:14.800]  不可言擇老年人
[00:00:14.800 --> 00:00:17.400]  要勸他如同父親
[00:00:17.400 --> 00:00:20.600]  要待年輕人如同弟兄
[00:00:20.600 --> 00:00:23.480]  年老婦人如同母親
[00:00:23.480 --> 00:00:28.080]  要清清潔潔地待年輕婦女如同姊妹
[00:00:28.080 --> 00:00:31.600]  要尊敬真正守寡的婦人
[00:00:31.600 --> 00:00:35.800]  寡婦若有兒女或有孫兒女
[00:00:35.800 --> 00:00:40.440]  要讓兒孫先在自己家中學習行孝
[00:00:40.440 --> 00:00:42.200]  報答親恩
[00:00:42.200 --> 00:00:46.440]  因為這在神面前是可蒙悅納的
[00:00:46.440 --> 00:00:51.160]  獨居無靠的真寡婦只仰賴神
[00:00:51.160 --> 00:00:54.200]  晝夜不住地祈求禱告
[00:00:54.200 --> 00:00:59.720]  但好豔樂的寡婦活著也算是死了
[00:00:59.720 --> 00:01:02.680]  這些事你要囑咐他們
[00:01:02.680 --> 00:01:05.480]  讓他們無可指責
[00:01:05.480 --> 00:01:07.920]  若有人不照顧親屬
[00:01:07.920 --> 00:01:10.720]  尤其是自己家裡的人
[00:01:10.720 --> 00:01:12.960]  就是背棄信仰
[00:01:12.960 --> 00:01:15.480]  還不如不信的人
[00:01:15.480 --> 00:01:19.720]  寡婦登記年齡必須在六十歲以上
[00:01:19.720 --> 00:01:22.680]  只做一個丈夫的妻子
[00:01:22.680 --> 00:01:25.040]  又有行善的名聲
[00:01:25.040 --> 00:01:27.000]  就如養育兒女
[00:01:27.000 --> 00:01:28.400]  收留外人
[00:01:28.400 --> 00:01:30.440]  洗聖徒的腳
[00:01:30.440 --> 00:01:32.480]  救濟遭難的人
[00:01:32.480 --> 00:01:35.480]  竭力行各樣的善事
[00:01:35.480 --> 00:01:37.560]  至於年輕的寡婦
[00:01:37.560 --> 00:01:39.600]  你要拒絕登記
[00:01:39.600 --> 00:01:42.040]  因為他們情慾衝動
[00:01:42.040 --> 00:01:46.080]  背棄基督的時候就想嫁人
[00:01:46.080 --> 00:01:51.560]  他們因廢棄了當初所許的願而被定罪
[00:01:51.560 --> 00:01:54.480]  同時他們又學了懶惰
[00:01:54.480 --> 00:01:56.920]  習慣於挨家閒逛
[00:01:56.920 --> 00:01:58.280]  不但懶惰
[00:01:58.280 --> 00:02:00.400]  而且說長道短
[00:02:00.400 --> 00:02:02.120]  好管閒事
[00:02:02.120 --> 00:02:04.560]  說些不該說的話
[00:02:04.560 --> 00:02:08.360]  所以我希望年輕的寡婦嫁人
[00:02:08.360 --> 00:02:09.920]  生養兒女
[00:02:09.920 --> 00:02:11.520]  治理家務
[00:02:11.520 --> 00:02:15.240]  不讓敵人有辱罵的權柄
[00:02:15.240 --> 00:02:20.080]  因為已經有一些人轉去隨從撒旦了
[00:02:20.080 --> 00:02:23.960]  信主的婦女若有親戚式寡婦
[00:02:23.960 --> 00:02:25.760]  要救濟她們
[00:02:25.760 --> 00:02:27.560]  不可拖累教會
[00:02:27.560 --> 00:02:31.640]  好使教會能救濟真正無助的寡婦
[00:02:31.640 --> 00:02:33.640]  經文讀畢
[00:02:33.640 --> 00:02:38.640]  各位同工 各位弟兄姊妹
[00:02:38.640 --> 00:02:39.640]  主內平安
[00:02:39.640 --> 00:02:43.280]  非常感恩有機會來到恩橋堂
[00:02:43.280 --> 00:02:45.280]  跟大家一起分享上帝的話語
[00:02:45.280 --> 00:02:49.160]  我也是第一次來到這邊
[00:02:49.160 --> 00:02:51.160]  剛才轉了一圈跑到隔壁
[00:02:51.160 --> 00:02:56.280]  今天怎麼會是普通話堂的同工弟兄姊妹都講廣東話
[00:02:56.280 --> 00:03:00.600]  還好問了一下
[00:03:00.600 --> 00:03:02.600]  不然坐在第一排等開始的時候
[00:03:02.600 --> 00:03:05.200]  就莫名其妙了
[00:03:05.200 --> 00:03:07.200]  感謝主
[00:03:07.200 --> 00:03:10.200]  大家可能剛才讀到這一段經文
[00:03:10.200 --> 00:03:11.800]  也覺得有點奇怪
[00:03:11.800 --> 00:03:13.800]  怎麼講到寡婦過去
[00:03:13.800 --> 00:03:16.600]  不是堂會剛剛開始嗎
[00:03:16.600 --> 00:03:20.600]  我想這段經文我是經過一段時間思考
[00:03:20.600 --> 00:03:23.600]  認為非常值得跟大家一同來分享
[00:03:23.600 --> 00:03:30.600]  這段經文實際上是保羅要寫給當時一個年輕的牧者
[00:03:30.600 --> 00:03:32.600]  這位牧者就是提摩泰
[00:03:32.600 --> 00:03:34.600]  當時他在哪裡牧會呢
[00:03:34.600 --> 00:03:36.600]  是在佛所教會
[00:03:36.600 --> 00:03:39.600]  這個教會也是他剛剛開始的
[00:03:39.600 --> 00:03:44.600]  所以保羅就很特別的講了一段話
[00:03:44.600 --> 00:03:48.600]  寫了一封書信給這位牧者
[00:03:48.600 --> 00:03:53.600]  這位牧者提摩泰接到這封信非常重要
[00:03:53.600 --> 00:03:57.600]  保羅在第一到第二節我們剛才讀的經文裡面
[00:03:57.600 --> 00:03:59.600]  我看不到我自己的
[00:03:59.600 --> 00:04:08.600]  所以我不知道應該是在哪個方位
[00:04:08.600 --> 00:04:22.600]  謝謝
[00:04:22.600 --> 00:04:25.600]  所以保羅在這一段經文裡面實際上
[00:04:25.600 --> 00:04:29.600]  他要談的焦點是藉著寡婦
[00:04:29.600 --> 00:04:32.600]  或者是這些我們日常所接觸到的人物
[00:04:32.600 --> 00:04:35.600]  父親 母親 兒女
[00:04:35.600 --> 00:04:39.600]  來表達上帝是一個恩庇者
[00:04:39.600 --> 00:04:41.600]  我們剛才看到這一段經文
[00:04:41.600 --> 00:04:43.600]  非常有意思的是
[00:04:43.600 --> 00:04:46.600]  第一到第二節裡面
[00:04:46.600 --> 00:04:48.600]  保羅提醒提摩泰說
[00:04:48.600 --> 00:04:53.600]  無論對年長的還是年輕的弟兄姊妹
[00:04:53.600 --> 00:04:57.600]  都要用純潔的心來對待他們
[00:04:57.600 --> 00:04:59.600]  什麼叫純潔的心呢
[00:04:59.600 --> 00:05:03.600]  就是非常的純粹 真實
