
[00:00:00.000 --> 00:00:02.000]  每一個人自己禱告
[00:00:02.000 --> 00:00:05.000]  求主預備你的心
[00:00:05.000 --> 00:00:08.000]  為你預備屬靈的容量
[00:00:08.000 --> 00:00:10.000]  來接受祂的話語
[00:00:10.000 --> 00:00:17.000]  求你成全
[00:00:17.000 --> 00:00:20.000]  從今天晚上與你面對面
[00:00:20.000 --> 00:00:22.000]  聽你的話清楚
[00:00:22.000 --> 00:00:27.000]  也由空處來擁納
[00:00:27.000 --> 00:00:29.000]  求主使你的話成為我們的生命
[00:00:29.000 --> 00:00:31.000]  力量
[00:00:31.000 --> 00:00:33.000]  喜樂歌唱
[00:00:33.000 --> 00:00:35.000]  我們這樣的禱告
[00:00:35.000 --> 00:00:37.000]  奉主耶穌基督的名
[00:00:37.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:41.000]  主耶穌說
[00:00:41.000 --> 00:00:43.000]  祂就是道路
[00:00:43.000 --> 00:00:45.000]  真理
[00:00:45.000 --> 00:00:47.000]  生命
[00:00:47.000 --> 00:00:51.000]  主給我們開了一條道路
[00:00:51.000 --> 00:00:53.000]  同時呢
[00:00:53.000 --> 00:00:56.000]  祂把關於這條道路的真理
[00:00:56.000 --> 00:00:57.000]  告訴我們
[00:00:57.000 --> 00:00:59.000]  讓我們曉得
[00:00:59.000 --> 00:01:01.000]  祂的這條路
[00:01:01.000 --> 00:01:03.000]  是怎麼樣走法的
[00:01:03.000 --> 00:01:07.000]  是怎麼樣來經過各樣的處境
[00:01:07.000 --> 00:01:13.000]  最後到達榮耀的彼岸
[00:01:13.000 --> 00:01:14.000]  不但如此
[00:01:14.000 --> 00:01:17.000]  祂也給我們內在的生命
[00:01:17.000 --> 00:01:20.000]  能夠走上這條路
[00:01:20.000 --> 00:01:22.000]  三樣主都是
[00:01:22.000 --> 00:01:25.000]  都由都給我們
[00:01:25.000 --> 00:01:26.000]  道路
[00:01:26.000 --> 00:01:27.000]  真理
[00:01:27.000 --> 00:01:28.000]  生命
[00:01:28.000 --> 00:01:30.000]  這三樣單單有其中的一樣
[00:01:30.000 --> 00:01:32.000]  或者兩樣都不夠
