
[00:00:00.000 --> 00:00:03.320]  我們打開唐用聖經
[00:00:03.320 --> 00:00:06.000]  1514頁
[00:00:06.000 --> 00:00:08.480]  1514
[00:00:08.480 --> 00:00:11.000]  馬可福音第五章
[00:00:11.000 --> 00:00:13.400]  我們剛才所讀的聖經
[00:00:13.400 --> 00:00:15.400]  聖經比較重一點
[00:00:15.400 --> 00:00:18.000]  不過我覺得自己是很
[00:00:18.000 --> 00:00:19.560]  終於等到今天
[00:00:19.560 --> 00:00:21.000]  可以和大家一起
[00:00:21.000 --> 00:00:23.680]  有對照的聖經一起看
[00:00:23.680 --> 00:00:26.000]  雖然我們主要是用和合本
[00:00:26.000 --> 00:00:28.000]  但是有很多引用的新易本
[00:00:28.000 --> 00:00:30.000]  我不用兩邊這樣說
[00:00:30.000 --> 00:00:32.000]  看旁邊就行了
[00:00:32.000 --> 00:00:34.000]  今天我們思想兩個人物
[00:00:34.000 --> 00:00:36.000]  兩個個案
[00:00:36.000 --> 00:00:38.000]  一個是十二年病了血流的女人
[00:00:38.000 --> 00:00:40.000]  耶穌醫好她
[00:00:40.000 --> 00:00:42.000]  另外一個就是一個
[00:00:42.000 --> 00:00:45.000]  猶太會堂的主管
[00:00:45.000 --> 00:00:47.000]  新易本那裡清楚一點
[00:00:47.000 --> 00:00:48.000]  他的女兒
[00:00:48.000 --> 00:00:51.000]  十二歲的女兒死而復活
[00:00:51.000 --> 00:00:53.000]  我們今天思想一下
[00:00:53.000 --> 00:00:56.000]  嘗試去追蹤他們的心路歷程
[00:00:56.000 --> 00:00:59.000]  看當天主耶穌基督教了他們
[00:00:59.000 --> 00:01:02.000]  或者教我們今天一些什麼
[00:01:02.000 --> 00:01:03.000]  時間不多
[00:01:03.000 --> 00:01:07.000]  我們直接看看這兩個個案
[00:01:07.000 --> 00:01:10.000]  聖經說耶穌去到那個地方
[00:01:10.000 --> 00:01:12.000]  很多人擠擁他
[00:01:12.000 --> 00:01:15.000]  然後先說了這個危老
[00:01:15.000 --> 00:01:16.000]  來到耶穌面前
[00:01:16.000 --> 00:01:17.000]  很心急的
[00:01:17.000 --> 00:01:19.000]  聖經記載得很清楚
[00:01:19.000 --> 00:01:21.000]  馬上來到就俯伏在他面前
[00:01:21.000 --> 00:01:22.000]  說你快點來
[00:01:22.000 --> 00:01:24.000]  因為我女兒病得很嚴重
[00:01:24.000 --> 00:01:25.000]  只要你按在他身上
[00:01:25.000 --> 00:01:27.000]  他就可以康復
[00:01:27.000 --> 00:01:29.000]  然後聖經的鏡頭一轉
[00:01:29.000 --> 00:01:31.000]  就轉了另外一個個案
[00:01:31.000 --> 00:01:34.000]  就是這個病了十二年的女人
[00:01:34.000 --> 00:01:36.000]  我們先說這個女人
[00:01:36.000 --> 00:01:38.000]  今天我們看看這個危老也好
[00:01:38.000 --> 00:01:40.000]  或者這個女人
[00:01:40.000 --> 00:01:42.000]  其實她不是大富大貴
[00:01:42.000 --> 00:01:44.000]  但是她都是算有實力
[00:01:44.000 --> 00:01:46.000]  有辦法的人
[00:01:46.000 --> 00:01:48.000]  耶穌不只是醫那些生來黑眼
[00:01:48.000 --> 00:01:49.000]  窮啊
[00:01:49.000 --> 00:01:52.000]  甚至是一些只是邊緣的人
[00:01:52.000 --> 00:01:53.000]  耶穌任何人
[00:01:53.000 --> 00:01:55.000]  他都關心都依著她
[00:01:55.000 --> 00:01:56.000]  今天這兩個人
