
[00:00:00.000 --> 00:00:03.000]  提摩太前書第四章很有意思
[00:00:03.000 --> 00:00:08.000]  因為可以說是整個提摩太前書的縮影
[00:00:08.000 --> 00:00:10.000]  所以今早來是很划算的
[00:00:10.000 --> 00:00:15.000]  一次過看完提摩太前書最重要的訊息
[00:00:15.000 --> 00:00:18.000]  當然聖經每一句說話都是重要的
[00:00:18.000 --> 00:00:22.000]  但提摩太前書真的可以將提摩太前書
[00:00:22.000 --> 00:00:23.000]  是做什麼的呢?
[00:00:23.000 --> 00:00:25.000]  是老年的寶羅
[00:00:25.000 --> 00:00:31.000]  目者寶羅要將自己的經驗和體會
[00:00:31.000 --> 00:00:37.000]  去教導傳給新晉教會的領袖提摩太
[00:00:37.000 --> 00:00:39.000]  究竟他傳了什麼呢?
[00:00:39.000 --> 00:00:42.000]  提摩太前書主要是兩件事
[00:00:42.000 --> 00:00:45.000]  第一教導提摩太是如何分清楚
[00:00:45.000 --> 00:00:48.000]  看清楚教會裏面的軟弱
[00:00:48.000 --> 00:00:51.000]  尤其是隱藏了疑端
[00:00:51.000 --> 00:00:58.000]  不要讓這些疑端影響和破壞教會
[00:00:58.000 --> 00:01:02.000]  第二提摩太前書多次提醒
[00:01:02.000 --> 00:01:05.000]  提摩太這個年青的教會領導
[00:01:05.000 --> 00:01:10.000]  如何好好地教導和牧羊群羊
[00:01:10.000 --> 00:01:15.000]  所以疑端的提醒和教導
[00:01:15.000 --> 00:01:20.000]  提摩太一個人如何好好地在教會裏面侍奉
[00:01:20.000 --> 00:01:24.000]  這兩個就是提摩太前書最寶貴和核心的教導
[00:01:24.000 --> 00:01:26.000]  第四章我們剛才說
[00:01:26.000 --> 00:01:28.000]  可以說是一個剪影
[00:01:28.000 --> 00:01:30.000]  也可以說是一個濃縮版
[00:01:30.000 --> 00:01:32.000]  就是講這兩件事
[00:01:32.000 --> 00:01:35.000]  剛才讀的時候好像不太察覺
[00:01:35.000 --> 00:01:38.000]  當然第一次讀可能沒什麼特別印象
[00:01:38.000 --> 00:01:40.000]  所以要打開這十六節
[00:01:40.000 --> 00:01:42.000]  十六節裏面差不多
[00:01:42.000 --> 00:01:44.000]  如果將它分為這三個部分
[00:01:44.000 --> 00:01:45.000]  就是這樣
[00:01:45.000 --> 00:01:47.000]  前面五節
[00:01:47.000 --> 00:01:48.000]  五節
[00:01:48.000 --> 00:01:49.000]  然後六節
[00:01:49.000 --> 00:01:50.000]  差不多完全一樣
[00:01:50.000 --> 00:01:52.000]  三個長短的部分
[00:01:52.000 --> 00:01:54.000]  就是講這三件事
[00:01:54.000 --> 00:01:56.000]  一會兒我們會看見
[00:01:56.000 --> 00:01:58.000]  第一節到第五節第一節
[00:01:58.000 --> 00:02:01.000]  就講到假的信仰
[00:02:01.000 --> 00:02:02.000]  在教會裏面
[00:02:02.000 --> 00:02:05.000]  是那些疑端或者假的信仰
[00:02:05.000 --> 00:02:08.000]  究竟錯的信仰錯在哪裏
[00:02:08.000 --> 00:02:09.000]  第二
[00:02:09.000 --> 00:02:11.000]  接著第六節到第十節
[00:02:11.000 --> 00:02:12.000]  前面五節
[00:02:12.000 --> 00:02:14.000]  接著再五節
[00:02:14.000 --> 00:02:15.000]  第六節到第十節
[00:02:15.000 --> 00:02:18.000]  就講到真正的虔誠應該是怎樣
[00:02:18.000 --> 00:02:20.000]  即是對應這些假的和真正的
[00:02:20.000 --> 00:02:21.000]  很清楚
[00:02:21.000 --> 00:02:24.000]  所以這個信仰上
[00:02:24.000 --> 00:02:26.000]  是做一個判斷
[00:02:26.000 --> 00:02:28.000]  由第十一節到第十六節
[00:02:28.000 --> 00:02:29.000]  最後的六節聖經
[00:02:29.000 --> 00:02:31.000]  就提醒提摩太
[00:02:31.000 --> 00:02:32.000]  你要教導
[00:02:32.000 --> 00:02:34.000]  你要去侍奉的時候
[00:02:34.000 --> 00:02:35.000]  要特別
[00:02:35.000 --> 00:02:37.000]  要在什麼的角度
[00:02:37.000 --> 00:02:39.000]  什麼的提醒
[00:02:39.000 --> 00:02:41.000]  是要去
[00:02:41.000 --> 00:02:43.000]  侍奉神
[00:02:43.000 --> 00:02:44.000]  侍奉教會呢
[00:02:44.000 --> 00:02:47.000]  所以提摩太前書裏面
[00:02:47.000 --> 00:02:49.000]  兩個最重要的內容
[00:02:49.000 --> 00:02:51.000]  第四章就講完了
[00:02:51.000 --> 00:02:52.000]  好
[00:02:52.000 --> 00:02:53.000]  我們時間不多
[00:02:53.000 --> 00:02:55.000]  我們就馬上去看看
[00:02:55.000 --> 00:02:56.000]  這個
[00:02:56.000 --> 00:02:58.000]  整個提摩太前書的
[00:02:58.000 --> 00:03:00.000]  核心的教導
[00:03:00.000 --> 00:03:02.000]  剛才我們讀的時候
[00:03:02.000 --> 00:03:04.000]  你會見到很多
[00:03:04.000 --> 00:03:05.000]  很有意思的經文
[00:03:05.000 --> 00:03:08.000]  今天我們就全面來看
[00:03:08.000 --> 00:03:09.000]  好不好
[00:03:09.000 --> 00:03:10.000]  神的說話
[00:03:10.000 --> 00:03:12.000]  我們早上來到神的面前
[00:03:12.000 --> 00:03:14.000]  我們看完神自己的說話
[00:03:14.000 --> 00:03:15.000]  我們先看
[00:03:15.000 --> 00:03:17.000]  剛才講的三個部分
[00:03:17.000 --> 00:03:18.000]  第一個部分
[00:03:18.000 --> 00:03:19.000]  錯誤的信仰
[00:03:19.000 --> 00:03:21.000]  所以你看見第一節
[00:03:21.000 --> 00:03:22.000]  提摩太就說
[00:03:22.000 --> 00:03:27.000]  日後要有很多人離棄信仰
[00:03:27.000 --> 00:03:31.000]  跟從了那些錯誤的魔鬼的邪靈的教訓
[00:03:31.000 --> 00:03:33.000]  這裏就講到
[00:03:33.000 --> 00:03:35.000]  不是講外面的世界
[00:03:35.000 --> 00:03:37.000]  外面的世界當然是跟魔鬼的教訓
[00:03:37.000 --> 00:03:38.000]  很多時候
[00:03:38.000 --> 00:03:40.000]  但教會裏面都有
[00:03:40.000 --> 00:03:41.000]  教會裏面有
[00:03:41.000 --> 00:03:43.000]  你說我不會有
[00:03:43.000 --> 00:03:44.000]  當然了
[00:03:44.000 --> 00:03:45.000]  就是這樣
[00:03:45.000 --> 00:03:46.000]  不過我們首先看
[00:03:46.000 --> 00:03:49.000]  那些人為甚麼會變成這麼壞
[00:03:49.000 --> 00:03:50.000]  來到教會
[00:03:50.000 --> 00:03:52.000]  他們跟我們一樣
[00:03:52.000 --> 00:03:53.000]  他們來到教會的時候
[00:03:53.000 --> 00:03:54.000]  最初都不是想進來
