
[00:00:00.000 --> 00:00:02.480]  我們今天一起思想的是聖經提到的
[00:00:02.480 --> 00:00:03.880]  瑪利亞的經歷
[00:00:03.880 --> 00:00:06.480]  透過她的經歷也幫助我們思想
[00:00:06.480 --> 00:00:10.280]  神同樣如何賜福於我們
[00:00:10.280 --> 00:00:12.840]  今天所讀到的「專主頌」
[00:00:12.840 --> 00:00:14.280]  瑪利亞的「專主頌」
[00:00:14.280 --> 00:00:18.800]  是歷代聖徒上上去頌說的一段說話
[00:00:18.800 --> 00:00:21.320]  其中一段大家一定會記得就是
[00:00:21.320 --> 00:00:27.080]  「我心專主為大,我靈以神,我的救主為樂」
[00:00:27.480 --> 00:00:30.160]  很多樂曲都配上了這個歌詞
[00:00:30.160 --> 00:00:32.160]  不斷地唱頌、唱頌
[00:00:32.160 --> 00:00:34.320]  各位聽眾或者你會記得
[00:00:34.320 --> 00:00:35.880]  在今年當教會提出
[00:00:35.880 --> 00:00:39.320]  「得著基督」的一個研習方向的時候
[00:00:39.320 --> 00:00:42.400]  他們最後的主題是「高舉基督」
[00:00:42.400 --> 00:00:44.160]  我們常常都會說
[00:00:44.160 --> 00:00:48.160]  當我們何時真正全心全意高舉耶穌基督
[00:00:48.160 --> 00:00:49.880]  去尊崇祂的時候
[00:00:49.880 --> 00:00:51.880]  聖靈就會工作了
[00:00:51.880 --> 00:00:53.920]  你不一定懂得說方言
[00:00:53.920 --> 00:00:56.360]  不一定懂得有很多其他特殊的經歷
[00:00:56.760 --> 00:01:00.600]  但是何時你尊崇基督、順從基督
[00:01:00.600 --> 00:01:03.840]  聖靈就能夠在你生命當中工作
[00:01:03.840 --> 00:01:05.720]  帶給你更新
[00:01:05.720 --> 00:01:08.200]  帶給你能力去勝過罪
[00:01:08.200 --> 00:01:11.960]  因為聖靈是要高舉耶穌基督的
[00:01:11.960 --> 00:01:15.120]  所以何時當我們尊崇主的時候
[00:01:15.120 --> 00:01:17.800]  你會經歷生命那種不斷的改變
[00:01:17.800 --> 00:01:20.440]  不單止一天、兩天
[00:01:20.440 --> 00:01:22.800]  而是一生不斷地來更新
[00:01:22.800 --> 00:01:24.520]  所以今天我們思想
[00:01:24.520 --> 00:01:28.600]  瑪利亞對我們的勉勵尊主為大
[00:01:28.600 --> 00:01:30.520]  也願意成為了我們每一天
[00:01:30.520 --> 00:01:32.160]  我們生命的實在
[00:01:32.160 --> 00:01:34.840]  我請大家看聖經路加福音第一章
[00:01:34.840 --> 00:01:36.880]  我們先看第二十六節
[00:01:36.880 --> 00:01:40.680]  首先我們思想的就是
[00:01:40.680 --> 00:01:43.360]  瑪利亞是一個蒙大恩的人
[00:01:43.360 --> 00:01:44.800]  我們也不要忘記
[00:01:44.800 --> 00:01:46.800]  我們是蒙大恩的人
[00:01:46.800 --> 00:01:48.200]  二十六節說
[00:01:48.200 --> 00:01:49.200]  「到第六個月
[00:01:49.200 --> 00:01:51.680]  天使加伯列奉神的差遣
[00:01:51.680 --> 00:01:53.520]  王加利尼這一座城去
[00:01:53.960 --> 00:01:55.520]  這城名叫那撒勒
[00:01:55.520 --> 00:01:57.080]  那是一個同女鬧女
[00:01:57.080 --> 00:01:59.480]  始經許配大衛家的一個人
[00:01:59.480 --> 00:02:00.680]  名叫約瑟
[00:02:00.680 --> 00:02:03.480]  同女的名字叫瑪利亞
[00:02:03.480 --> 00:02:05.240]  天使進去對她說
[00:02:05.240 --> 00:02:07.200]  蒙大恩的女子
[00:02:07.200 --> 00:02:08.640]  我問你安
[00:02:08.640 --> 00:02:11.240]  主和你同在了」
[00:02:11.240 --> 00:02:16.640]  當時神差派天使向瑪利亞來問安
[00:02:16.640 --> 00:02:18.880]  當他問安的時候
[00:02:18.880 --> 00:02:21.160]  他就提及一件事情
[00:02:21.400 --> 00:02:24.680]  就是蒙大恩的女子
[00:02:24.680 --> 00:02:26.920]  這位女子叫瑪利亞
[00:02:26.920 --> 00:02:28.040]  大家一定知道
[00:02:28.040 --> 00:02:29.720]  她住在哪裏呢?
[00:02:29.720 --> 00:02:31.280]  她在那撒勒城
[00:02:31.280 --> 00:02:33.160]  大家會知道那撒勒
[00:02:33.160 --> 00:02:36.240]  是當時加利利省的南端
[00:02:36.240 --> 00:02:38.040]  一個很小的城鎮
[00:02:38.040 --> 00:02:40.360]  這個城鎮是寂寂無名
[00:02:40.360 --> 00:02:41.960]  沒有人認識這個城鎮
[00:02:41.960 --> 00:02:46.800]  甚至有些人愧為那撒勒城的人
[00:02:46.800 --> 00:02:50.040]  因為當時如果你是那撒勒人
[00:02:50.200 --> 00:02:53.320]  就等於一個羞辱的名號
[00:02:53.320 --> 00:02:56.440]  很多人不歡喜住在那撒勒
[00:02:56.440 --> 00:02:59.080]  因為那是被人輕視的城市
[00:02:59.080 --> 00:03:01.960]  當中的人被取笑
[00:03:01.960 --> 00:03:04.960]  對於瑪利亞來說
[00:03:04.960 --> 00:03:07.880]  她知道自己在那撒勒長大
[00:03:07.880 --> 00:03:10.160]  就像我們現在所說的
[00:03:10.160 --> 00:03:11.520]  是一個鄉村姑娘
[00:03:11.520 --> 00:03:12.680]  沒有人認識她
[00:03:12.680 --> 00:03:15.360]  很卑微很平凡的一個人
[00:03:15.360 --> 00:03:19.000]  但聖經就提及天使去到那撒勒
[00:03:19.160 --> 00:03:21.840]  向瑪利亞講述這件事情
[00:03:21.840 --> 00:03:24.080]  蒙大恩的女子
[00:03:24.080 --> 00:03:26.640]  主與你同在
[00:03:26.640 --> 00:03:29.320]  當瑪利亞聽到這句話的時候
[00:03:29.320 --> 00:03:30.600]  她很驚慌
[00:03:30.600 --> 00:03:31.840]  為什麼這麼害怕
[00:03:31.840 --> 00:03:34.800]  因為她難以明白一個這麼平凡的人
