
[00:00:00.000 --> 00:00:03.000]  大家記得我們上星期就提到
[00:00:03.000 --> 00:00:07.720]  在第二章提及的神設立婚姻制度
[00:00:07.720 --> 00:00:10.600]  當時夫妻兩人赤身無體
[00:00:10.600 --> 00:00:12.600]  但不覺得羞恥
[00:00:12.600 --> 00:00:15.600]  描述一種很坦然的相處
[00:00:15.600 --> 00:00:17.600]  很親密的關係
[00:00:17.600 --> 00:00:20.880]  而且見到他們之間是一種完全的接納
[00:00:20.880 --> 00:00:22.880]  完全的尊重
[00:00:22.880 --> 00:00:27.200]  這是神所設立的一種美好的婚姻關係
[00:00:27.200 --> 00:00:29.600]  但來到第三章的時候就見到
[00:00:29.600 --> 00:00:32.200]  罪進入了家庭裏面
[00:00:32.200 --> 00:00:34.200]  破壞了之間的關係
[00:00:34.200 --> 00:00:37.600]  我們都見到其實在我們今天所身處的社會
[00:00:37.600 --> 00:00:39.600]  很多時候我們想不到
[00:00:39.600 --> 00:00:42.600]  家庭本來應該是人得到溫暖
[00:00:42.600 --> 00:00:45.200]  得到安慰、得到支持的地方
[00:00:45.200 --> 00:00:49.200]  確是有很多的朋友在當中受傷害
[00:00:49.200 --> 00:00:51.400]  不知道大家有沒有觀察到其實香港
[00:00:51.400 --> 00:00:56.000]  這十年、二十年其實家庭的變化很大
[00:00:56.000 --> 00:00:58.400]  香港的社聯曾經做研究
[00:00:58.400 --> 00:01:01.600]  研究香港很多不同方面的發展
[00:01:01.600 --> 00:01:05.600]  包括了無論交通、教育或者經濟等等
[00:01:05.600 --> 00:01:09.200]  這些發展一般都是向上的指數
[00:01:09.200 --> 00:01:11.000]  正面的指數
[00:01:11.000 --> 00:01:14.800]  但調查香港的家庭的團結指數
[00:01:14.800 --> 00:01:17.000]  或者說凝聚力的指數
[00:01:17.000 --> 00:01:21.000]  確是每一次的調查都是負數
[00:01:21.000 --> 00:01:24.400]  1998年到2006年
[00:01:24.400 --> 00:01:26.800]  中間有五次這樣的調查
[00:01:26.800 --> 00:01:33.400]  1998年家庭的團結指數是負73
[00:01:33.400 --> 00:01:34.600]  已經是負數
[00:01:34.600 --> 00:01:37.600]  其他的指數全部是正的指數
[00:01:37.600 --> 00:01:45.800]  然後逐年下降到2006年是負535
[00:01:45.800 --> 00:01:48.200]  今年我沒有新的數字
[00:01:48.200 --> 00:01:50.800]  我相信是比這個數字更加低
[00:01:50.800 --> 00:01:56.000]  這個數字是特別就著家庭裏面的暴力情況加暴
[00:01:56.000 --> 00:01:59.000]  以及就著很多的離婚個案等等的因素
[00:01:59.000 --> 00:02:02.400]  來研究出來的一個指數
[00:02:02.400 --> 00:02:04.000]  這些事情讓我們察覺
[00:02:04.000 --> 00:02:08.400]  其實真的在家庭當中有很多很多的衝擊
[00:02:08.400 --> 00:02:12.400]  很多的惡的事、罪的事情在家庭出現
[00:02:12.400 --> 00:02:15.400]  而你和我在我們的家庭當中
[00:02:15.400 --> 00:02:18.400]  我們真的求神保護我們的家庭
[00:02:18.400 --> 00:02:20.000]  亦都靠著神的恩典
[00:02:20.000 --> 00:02:23.800]  我們可以建立神給我們的家庭關係
[00:02:23.800 --> 00:02:26.000]  是一個美善的關係
[00:02:26.000 --> 00:02:29.000]  所以不單單是一個新年度的主題
[00:02:29.000 --> 00:02:31.200]  而是真是我們的需要
[00:02:31.200 --> 00:02:33.600]  我們求神保守我們的家
[00:02:33.600 --> 00:02:35.200]  無論我們原生的家庭
[00:02:35.200 --> 00:02:38.400]  或者我們自己可能在結婚之後的家庭
[00:02:38.400 --> 00:02:41.800]  求神讓我們的家庭在神面前蒙恩
