
[00:00:00.000 --> 00:00:06.000]  路加福音第十五章二十四和三十二節
[00:00:06.000 --> 00:00:11.400]  因為我這個兒子是死而復活 失而復得的
[00:00:11.400 --> 00:00:14.000]  他們就開始慶祝
[00:00:14.000 --> 00:00:19.200]  可是你這個弟弟是死而復活 失而復得的
[00:00:19.200 --> 00:00:23.900]  所以我們理當歡喜慶祝
[00:00:23.900 --> 00:00:27.900]  這是神的話語 感謝
[00:00:27.900 --> 00:00:30.200]  弟兄姊妹平安
[00:00:30.200 --> 00:00:33.200]  我們一同來低頭禱告
[00:00:33.200 --> 00:00:36.700]  願我們口中的言意 心中的意念
[00:00:36.700 --> 00:00:39.900]  常常都能夠得蒙上主的眷顧
[00:00:39.900 --> 00:00:42.700]  願我們聆聽並且能夠遵守
[00:00:42.700 --> 00:00:45.000]  並且能夠得你的願納
[00:00:45.000 --> 00:00:49.200]  繼續引導我們禱告 奉耶穌基督的聖名
[00:00:49.200 --> 00:00:50.800]  Amen
[00:00:50.800 --> 00:00:54.500]  好 首先要來問候大家一下
[00:00:54.500 --> 00:00:55.400]  問候大家
[00:00:55.400 --> 00:00:58.900]  問候完之後我們就彼此的問候
[00:00:58.900 --> 00:01:03.700]  來 無憂 無慮 無煩惱
[00:01:03.700 --> 00:01:05.100]  來 跟我一起講
[00:01:05.100 --> 00:01:09.000]  無憂 無慮 無煩惱
[00:01:09.000 --> 00:01:16.600]  有捨 有得 有福氣
[00:01:16.600 --> 00:01:19.500]  好 請你對你旁邊的人來祝福他
[00:01:19.500 --> 00:01:24.200]  無憂 無慮 無煩惱
[00:01:24.200 --> 00:01:31.200]  有捨 有得 有福氣
[00:01:31.200 --> 00:01:34.600]  其實今天是父親節對不對
[00:01:34.600 --> 00:01:37.300]  對 那很特別的一個日子
[00:01:37.300 --> 00:01:41.300]  其實在整個的生命當中
[00:01:41.300 --> 00:01:44.100]  我們要認識這位天父
[00:01:44.100 --> 00:01:48.600]  同時也要感謝我們肉身的父親
[00:01:48.600 --> 00:01:50.300]  Amen
[00:01:50.300 --> 00:01:53.500]  好 我今天願意和大家一同來分享
[00:01:53.500 --> 00:01:55.100]  其實這段經文
[00:01:55.100 --> 00:01:57.700]  大家都非常熟悉的
[00:01:57.700 --> 00:02:02.900]  因為記載在《路加福音》裡面第15章
[00:02:02.900 --> 00:02:07.200]  其實當路加在記載這個經文的過程當中
[00:02:07.200 --> 00:02:09.900]  用了很多的比喻
[00:02:09.900 --> 00:02:11.500]  這個比喻的當中
[00:02:11.500 --> 00:02:13.500]  其實他是要闡明
[00:02:13.500 --> 00:02:16.700]  我們所信靠的這位天父
