
[00:00:00.000 --> 00:00:02.680]  我剛剛看到一篇報導
[00:00:02.680 --> 00:00:06.080]  都是關於烏克蘭戰爭的事情
[00:00:06.080 --> 00:00:09.920]  這篇報導裡面提到其中一位烏克蘭的母親
[00:00:09.920 --> 00:00:12.360]  她帶著她八歲的兒子
[00:00:12.360 --> 00:00:17.240]  一路逃難逃到羅馬尼亞的一個臨時難民營
[00:00:17.240 --> 00:00:21.280]  在營裡面一個很特別的地方就是
[00:00:21.280 --> 00:00:22.880]  一方面她很傷痛
[00:00:22.880 --> 00:00:27.840]  因為自己的丈夫爸爸仍然在烏克蘭的地方
[00:00:27.840 --> 00:00:29.280]  生死未卜
[00:00:29.760 --> 00:00:31.560]  但是很奇妙的就是
[00:00:31.560 --> 00:00:36.000]  她仍然很留意去關心在難民營裡面其他的同胞
[00:00:36.000 --> 00:00:39.960]  有一次有一位義工去訪問她
[00:00:39.960 --> 00:00:44.600]  問她為什麼你還可以這麼關心其他人呢
[00:00:44.600 --> 00:00:47.920]  這位母親就說
[00:00:47.920 --> 00:00:50.080]  她說在八年之前
[00:00:50.080 --> 00:00:52.480]  我兒子當時十歲
[00:00:52.480 --> 00:00:56.760]  當時他住在頓烈慈克的地方
[00:00:56.760 --> 00:00:58.720]  也都面對著轟炸
[00:00:59.600 --> 00:01:03.320]  在一個很驚慌恐懼的情況之下
[00:01:03.320 --> 00:01:06.120]  她就和她兒子逃難出來
[00:01:06.120 --> 00:01:08.680]  前路茫茫不知道去哪裡
[00:01:08.680 --> 00:01:14.120]  但最終他們成功地去到另一個國內的省市
[00:01:14.120 --> 00:01:17.360]  然後後來家庭團聚重新開始
[00:01:17.360 --> 00:01:20.240]  她就說這次是第二次了
[00:01:20.240 --> 00:01:23.760]  第一次雖然艱難
[00:01:23.760 --> 00:01:26.160]  但是我可以得到幸存
[00:01:26.160 --> 00:01:29.560]  我相信這次都會有機會的
[00:01:30.560 --> 00:01:32.560]  然後她就再說
[00:01:32.560 --> 00:01:35.560]  她說我們必須要有希望
[00:01:35.560 --> 00:01:40.280]  我們不能夠失去我們的良善
[00:01:40.280 --> 00:01:43.800]  我們必須幫助其他人
[00:01:43.800 --> 00:01:47.600]  不要讓這些經歷令到我們的心變得麻木
[00:01:47.600 --> 00:01:54.200]  因此她繼續來關心在營裡面其他自己的同胞
[00:01:54.200 --> 00:01:56.560]  我看到這個報導的時候
[00:01:56.560 --> 00:01:57.960]  突然間看到一件事情
[00:01:57.960 --> 00:02:01.960]  就是一個人當內心有盼望的時候
[00:02:01.960 --> 00:02:03.960]  他可以變得很剛強
[00:02:03.960 --> 00:02:07.800]  就算遭遇很多困難的事情
[00:02:07.800 --> 00:02:09.760]  但內心那種生命的力量
[00:02:09.760 --> 00:02:12.760]  仍然可以一直地活現出來
[00:02:12.760 --> 00:02:16.760]  因為他裡面對前面有盼望
[00:02:16.760 --> 00:02:18.960]  當我們讀詩篇的時候
[00:02:18.960 --> 00:02:21.960]  都會常常講到有關盼望的訊息
[00:02:21.960 --> 00:02:23.960]  但是這個盼望特別講明
[00:02:23.960 --> 00:02:25.960]  是在講對神有盼望
[00:02:25.960 --> 00:02:27.960]  Hope in God
[00:02:27.960 --> 00:02:30.960]  在這些經文裡面講述到
[00:02:30.960 --> 00:02:32.960]  我們的盼望不是盼望自己
[00:02:32.960 --> 00:02:34.960]  不是盼望環境
[00:02:34.960 --> 00:02:36.960]  而是盼望神自己
[00:02:36.960 --> 00:02:39.960]  在其中一兩節的詩篇這樣講
[00:02:39.960 --> 00:02:42.960]  詩篇33篇第18、19節這樣講
[00:02:42.960 --> 00:02:46.960]  「耶和華的眼目看顧敬畏他的人
[00:02:46.960 --> 00:02:47.960]  和仰望」
[00:02:47.960 --> 00:02:50.960]  這個仰望是盼望的意思
[00:02:50.960 --> 00:02:52.960]  「仰望他慈愛的人
[00:02:52.960 --> 00:02:55.960]  要救他們的性命脫離死亡
[00:02:55.960 --> 00:02:58.960]  使他們在饑荒中存活」
[00:02:58.960 --> 00:03:02.960]  在盼望的裡面
[00:03:02.960 --> 00:03:04.960]  領受神的應許
