
[00:00:00.000 --> 00:00:02.200]  很快2017年就過去了
[00:00:02.200 --> 00:00:05.200]  都很感受時間的飛逝
[00:00:05.200 --> 00:00:07.600]  人生短短數十年的裏面
[00:00:07.600 --> 00:00:10.400]  我們很快真的如飛而去一樣
[00:00:10.400 --> 00:00:12.600]  我們如何在短短的人生裏面
[00:00:12.600 --> 00:00:15.200]  去將上帝的榮耀
[00:00:15.200 --> 00:00:18.600]  可以藉著我們的生命去彰顯出來呢
[00:00:18.600 --> 00:00:22.200]  希望在2018年我們更加去思想
[00:00:22.200 --> 00:00:25.600]  我們如何好像外教會的主題一樣
[00:00:25.600 --> 00:00:29.400]  「直根連主外 結果耀神音」
[00:00:29.800 --> 00:00:31.600]  希望這不是一個口號
[00:00:31.600 --> 00:00:35.200]  而是具體在我們的生命當中實踐出來
[00:00:35.200 --> 00:00:38.200]  今天都希望藉著這一段經文
[00:00:38.200 --> 00:00:40.200]  在《約翰福音》十五章一節八節
[00:00:40.200 --> 00:00:42.800]  再跟大家比較深入的思想
[00:00:42.800 --> 00:00:47.600]  究竟「直根連主外 結果耀神音」
[00:00:47.600 --> 00:00:48.800]  是甚麼意思呢
[00:00:48.800 --> 00:00:51.000]  在《約翰福音》裏面
[00:00:51.000 --> 00:00:52.800]  耶穌說了七個「我是」
[00:00:52.800 --> 00:00:55.600]  「我是好木人 我是羊的門」
[00:00:55.600 --> 00:00:56.800]  在這裏是說了
[00:00:56.800 --> 00:00:58.800]  耶穌說最後一個的「我是」
[00:00:58.800 --> 00:01:01.400]  就是「我乎是栽培的人」
[00:01:01.400 --> 00:01:04.600]  在這裏可以說
[00:01:04.600 --> 00:01:08.400]  耶穌和上帝的角色都是相當重要
[00:01:08.400 --> 00:01:11.000]  上帝的角色在這裏
[00:01:11.000 --> 00:01:15.200]  是說到祂是收剪的樹枝
[00:01:15.200 --> 00:01:16.400]  那些枝子
[00:01:16.400 --> 00:01:19.400]  是相當重要的一個作用在當中
[00:01:19.400 --> 00:01:21.800]  葡萄樹整個象徵
[00:01:21.800 --> 00:01:24.800]  其實在舊約聖經裏都經常出現
