
[00:00:00.000 --> 00:00:05.000]  慈悲的父神,我們感謝祢將信仰賜給我們
[00:00:05.000 --> 00:00:08.500]  而且是活的信仰,生命的信仰
[00:00:08.500 --> 00:00:13.000]  使我們能夠和基督合而為一,達成一片
[00:00:13.000 --> 00:00:16.000]  願基督的生命在我們裡面
[00:00:16.000 --> 00:00:20.000]  每天活潑地帶領我們的道路
[00:00:20.000 --> 00:00:23.000]  使我們經歷主的真實
[00:00:23.000 --> 00:00:26.000]  使我們經歷真理的寶貴
[00:00:26.000 --> 00:00:29.500]  使我們經歷生命的感動、傳契
[00:00:29.500 --> 00:00:33.000]  使我們經歷主的話語
[00:00:33.000 --> 00:00:37.000]  帶領我們的腳步一步一步地與主同行
[00:00:37.000 --> 00:00:40.000]  提升我們的人生
[00:00:40.000 --> 00:00:45.000]  主啊,我們有許多時候是軟弱的、愚蠢的
[00:00:45.000 --> 00:00:50.000]  我們需要祢的真道來光照我們
[00:00:50.000 --> 00:00:52.000]  願著活的信仰
[00:00:52.000 --> 00:00:57.000]  在我們人生的每一個場合裡面有活潑的功效
[00:00:57.000 --> 00:01:02.500]  帶領我們更深地進入基督的真理和恩典之中
[00:01:02.500 --> 00:01:07.000]  今天早上求主用祢的兩個孩子
[00:01:07.000 --> 00:01:10.000]  把祢的信息傳達得清楚
[00:01:10.000 --> 00:01:13.500]  讓我們一同領受奉主的名禱告
[00:01:13.500 --> 00:01:14.500]  阿門
[00:01:14.500 --> 00:01:19.500]  各位弟兄姊妹
[00:01:19.500 --> 00:01:21.500]  各位弟兄姊妹
[00:01:21.500 --> 00:01:25.500]  這個月的主題是「復活的人生」
[00:01:25.500 --> 00:01:28.500]  這個月的主題是「復活的人生」
[00:01:28.500 --> 00:01:32.500]  我們今天的分題是「活的信仰」
[00:01:32.500 --> 00:01:35.500]  我們今天的分題是「活的信仰」
[00:01:35.500 --> 00:01:37.500]  我記得好多年前
[00:01:37.500 --> 00:01:39.000]  我記得好多年前
[00:01:39.000 --> 00:01:41.000]  大概是七八年前
[00:01:41.000 --> 00:01:44.500]  我講過「活的信仰」這個題目
[00:01:44.500 --> 00:01:46.000]  大概是七八年前
[00:01:46.000 --> 00:01:48.500]  我都講過「活的信仰」這個題目
[00:01:48.500 --> 00:01:52.000]  那次是從彼得前書來講的
[00:01:52.000 --> 00:01:54.500]  那一次是由彼得前書講的
[00:01:54.500 --> 00:01:57.500]  今天我再講同一個題目
[00:01:57.500 --> 00:01:59.500]  今天我再講同一個題目
[00:01:59.500 --> 00:02:04.500]  和大家從希伯來書裡一同領受
[00:02:04.500 --> 00:02:08.000]  和大家從希伯來書裡一同領受
[00:02:08.000 --> 00:02:09.500]  在希伯來書裡
[00:02:09.500 --> 00:02:11.000]  在希伯來書裡
[00:02:11.000 --> 00:02:14.000]  「活」這個字出現了好多次
[00:02:14.000 --> 00:02:16.500]  「活」這個字出現了好多次
[00:02:16.500 --> 00:02:21.500]  真是使我們看見一幅「活的信仰」的圖畫
[00:02:21.500 --> 00:02:25.000]  真是使我們看見一幅「活的信仰」的圖畫
[00:02:25.000 --> 00:02:27.500]  「活的信仰」有什麼內容呢?
[00:02:27.500 --> 00:02:30.000]  「活的信仰」有什麼內容呢?
[00:02:30.000 --> 00:02:34.500]  我們從希伯來書裡簡單的領受
[00:02:34.500 --> 00:02:37.500]  我們從希伯來書裡簡單的領受
[00:02:37.500 --> 00:02:39.500]  我們「活的信仰」裡
[00:02:39.500 --> 00:02:41.500]  我們「活的信仰」裡
[00:02:41.500 --> 00:02:44.000]  第一有「活的救主」
[00:02:44.000 --> 00:02:47.500]  第一有「活的救主」
[00:02:47.500 --> 00:02:50.000]  第二有「活的道」
[00:02:50.000 --> 00:02:53.500]  第三有「活的信心」
[00:02:53.500 --> 00:02:59.500]  第四有「活的人生的道路」
[00:02:59.500 --> 00:03:04.500]  第五有「活的侍奉」
[00:03:04.500 --> 00:03:06.500]  第五有「活的侍奉」
[00:03:06.500 --> 00:03:08.500]  我們一一的來領受
[00:03:08.500 --> 00:03:10.500]  我們一一的來領受
[00:03:10.500 --> 00:03:13.500]  首先我們想到「活的救主」
[00:03:13.500 --> 00:03:16.500]  首先我們想到的是「活的救主」
[00:03:16.500 --> 00:03:22.000]  請翻到希伯來書第十三章第二十節
[00:03:22.000 --> 00:03:31.000]  請翻到希伯來書第十三章第二十節
[00:03:31.000 --> 00:03:33.000]  但願賜平安的神
[00:03:33.000 --> 00:03:35.500]  就是那憑永約之血
[00:03:35.500 --> 00:03:39.000]  使群陽的大木人我主耶穌
[00:03:39.000 --> 00:03:41.000]  從死裡復活的神
[00:03:41.000 --> 00:03:45.000]  這裡提到神使耶穌基督從死裡復活
[00:03:45.000 --> 00:03:49.000]  這裡提到神使耶穌基督從死裡復活
[00:03:49.000 --> 00:03:52.000]  我們在復活節的主日
[00:03:52.000 --> 00:03:54.500]  我們在復活節的主日
[00:03:54.500 --> 00:03:58.500]  看見為什麼我們明確地
[00:03:58.500 --> 00:04:01.500]  堅定地相信主復活了
[00:04:01.500 --> 00:04:03.500]  看見為什麼我們明確地
[00:04:03.500 --> 00:04:07.000]  堅決地相信我們的主已經復活了
[00:04:07.000 --> 00:04:11.500]  這位復活的主在我們的人生中做什麼呢?
[00:04:11.500 --> 00:04:15.500]  這位復活的主在我們的人生中做什麼呢?
[00:04:15.500 --> 00:04:20.000]  如果主復活了卻與我們的人生沒有關係
[00:04:20.000 --> 00:04:23.000]  那祂的復活是祂的復活
[00:04:23.000 --> 00:04:25.000]  我的人生是我的人生
[00:04:25.000 --> 00:04:26.000]  沒有關係
[00:04:26.000 --> 00:04:29.000]  如果復活的主是已經復活
[00:04:29.000 --> 00:04:32.000]  但如果祂與我的人生沒有關係的話
[00:04:32.000 --> 00:04:33.500]  活的主就是活的主
[00:04:33.500 --> 00:04:36.000]  我都仍然是我
[00:04:36.000 --> 00:04:38.500]  但是在這裡告訴我們
