
[00:00:00.000 --> 00:00:04.000]  我們這段時間都講到關於安息信靠
[00:00:04.000 --> 00:00:05.680]  當我們講到安息的時候
[00:00:05.680 --> 00:00:06.800]  我們知道
[00:00:06.800 --> 00:00:09.600]  我們的神歡喜我們憑著信心
[00:00:09.600 --> 00:00:12.200]  將一些工作放下
[00:00:12.200 --> 00:00:16.280]  以致我們可以安息 可以休息
[00:00:16.280 --> 00:00:17.800]  當然我們一直在講
[00:00:17.800 --> 00:00:19.680]  當我們講休息的時候
[00:00:19.680 --> 00:00:21.800]  不單是給我們多一些時間
[00:00:21.800 --> 00:00:24.000]  足夠的時間去睡眠
[00:00:24.000 --> 00:00:26.800]  或者有個人的自己的空間
[00:00:26.800 --> 00:00:29.680]  而是提醒我們當我們安息的時候
[00:00:29.680 --> 00:00:34.000]  我們更加認清楚神是上帝
[00:00:34.000 --> 00:00:36.400]  祂是掌管萬事的
[00:00:36.400 --> 00:00:38.600]  更加知道去敬畏祂
[00:00:38.600 --> 00:00:41.480]  更加去明白祂的心意
[00:00:41.480 --> 00:00:43.000]  以致我們可以生活行為
[00:00:43.000 --> 00:00:44.880]  遵從祂的引導
[00:00:44.880 --> 00:00:47.080]  因此安息最重要的目的
[00:00:47.080 --> 00:00:49.800]  是讓我們去認識神的掌權
[00:00:49.800 --> 00:00:52.480]  而去遵從神的心意
[00:00:52.480 --> 00:00:54.080]  當然在安息的過程當中
[00:00:54.080 --> 00:00:57.480]  包含了一個重要的地方就是休息
[00:00:57.480 --> 00:01:01.480]  是真的讓新心靈可以得到休息
[00:01:01.480 --> 00:01:02.680]  我們常常講
[00:01:02.680 --> 00:01:05.880]  我們的身體有一種特別的節奏
[00:01:05.880 --> 00:01:08.680]  有人問我們可不可以連續七天工作
[00:01:08.680 --> 00:01:11.480]  然後再睡七天
[00:01:11.480 --> 00:01:13.480]  當然我們知道不可能
[00:01:13.480 --> 00:01:16.080]  但是身體的設計就是
[00:01:16.080 --> 00:01:18.880]  工作休息 工作休息
[00:01:18.880 --> 00:01:21.880]  這是神給我們的設計
[00:01:21.880 --> 00:01:26.280]  這個設計也提醒我們要尊重神對我們的設計
[00:01:26.280 --> 00:01:29.880]  而去留心我們應該有的休息
[00:01:29.880 --> 00:01:30.880]  在休息裏面
[00:01:30.880 --> 00:01:32.680]  聖經裏面有兩個重要的含義
[00:01:32.680 --> 00:01:33.880]  和大家分享
[00:01:33.880 --> 00:01:38.680]  在聖經第十節
[00:01:38.680 --> 00:01:40.480]  二十三章第十節
[00:01:40.480 --> 00:01:43.680]  六年你要耕種田地收藏土產
[00:01:43.680 --> 00:01:46.880]  只是第七年要叫地歇息不耕不種
[00:01:46.880 --> 00:01:49.280]  使你民中的窮人有吃的
[00:01:49.280 --> 00:01:52.280]  他們所剩下的野獸可以吃
[00:01:52.280 --> 00:01:55.080]  然後第十二節也有講
[00:01:55.080 --> 00:01:57.480]  六日你要做工 第七日要安息
[00:01:57.480 --> 00:01:59.880]  使牛奴可以歇息
[00:01:59.880 --> 00:02:04.680]  聖經兩次重覆提到關於歇息的重點
[00:02:04.680 --> 00:02:07.080]  沒錯 我們知道地要歇息
[00:02:07.080 --> 00:02:09.880]  當聖經提到第七年不要耕種的時候
[00:02:09.880 --> 00:02:11.480]  現代人就明白
[00:02:11.480 --> 00:02:15.080]  因為當土地長年地耕種
[00:02:15.080 --> 00:02:18.280]  很多土地裏面的一些養分
[00:02:18.280 --> 00:02:20.680]  就會慢慢地消失
[00:02:20.680 --> 00:02:21.880]  因此停一年
[00:02:21.880 --> 00:02:23.680]  很多研究就發現
[00:02:23.680 --> 00:02:29.080]  地下可以慢慢自己重新生出一些新的養分
[00:02:29.080 --> 00:02:32.480]  以至再耕種的時候就有更好的收成
[00:02:32.480 --> 00:02:33.880]  特別是在那些年代
[00:02:33.880 --> 00:02:36.280]  不會有甚麼肥田妖
[00:02:36.280 --> 00:02:40.280]  是要靠整個自然界的互相配合
[00:02:40.280 --> 00:02:43.480]  產生新的一種耕生的作用
[00:02:43.480 --> 00:02:45.080]  因此第七年的時候
[00:02:45.080 --> 00:02:46.880]  地可以得到歇息
[00:02:46.880 --> 00:02:49.680]  得到一個新生的機會
[00:02:49.680 --> 00:02:52.080]  而當年聖經所講的不單是土地
[00:02:52.080 --> 00:02:55.480]  也在講讓人都可以得到安息
[00:02:55.480 --> 00:02:59.080]  所以第十二節就講到安息日的時候
[00:02:59.080 --> 00:03:01.280]  牛奴可以歇息
[00:03:01.280 --> 00:03:04.080]  而我們的朋友
[00:03:04.080 --> 00:03:06.680]  包括當時人的奴僕
[00:03:06.680 --> 00:03:08.680]  和他們的兒女
[00:03:08.680 --> 00:03:13.080]  都可以得到一種歇息的機會
[00:03:13.080 --> 00:03:17.080]  我相信這裡所講的同時也是對人所講
[00:03:17.080 --> 00:03:19.480]  有一些弟兄姊妹他們都學習
[00:03:19.480 --> 00:03:22.880]  在自己工作了一段長日子之後
[00:03:22.880 --> 00:03:24.880]  或者未必能夠放下工作
[00:03:24.880 --> 00:03:28.680]  但起碼是調慢了自己的工作
[00:03:28.680 --> 00:03:30.280]  我們中間一位弟兄
[00:03:30.280 --> 00:03:33.680]  他曾經在政府裡面工作
[00:03:33.680 --> 00:03:36.480]  處了大概半年的假期
[00:03:36.480 --> 00:03:40.280]  然後跟著他申請半年的無薪假期
[00:03:40.280 --> 00:03:42.080]  用一整年的時間
[00:03:42.080 --> 00:03:45.080]  他自己就有機會去進修一些神學
[00:03:45.080 --> 00:03:50.080]  或者是在當中多一些空間陪伴自己的家人
[00:03:50.080 --> 00:03:52.480]  或者你未必能夠拿到這樣的假期
[00:03:52.480 --> 00:03:54.880]  但經過一段長日子之後
[00:03:54.880 --> 00:03:58.080]  讓你自己的工作稍微調慢一些
[00:03:58.080 --> 00:04:01.080]  是有當中很多的好處
[00:04:01.080 --> 00:04:02.680]  很多人經歷到在過程裡面
[00:04:02.680 --> 00:04:04.080]  就好像自己的心靈
[00:04:04.080 --> 00:04:08.880]  好像有機會重新有更多的養分出現
[00:04:08.880 --> 00:04:11.280]  有一個機會讓自己歇息的時候
[00:04:11.280 --> 00:04:14.680]  可以重新得力來上路
[00:04:14.680 --> 00:04:16.280]  這是一個很重要的
