
[00:00:00.000 --> 00:00:02.000]  我們在聖餐禮上
[00:00:02.000 --> 00:00:04.000]  我們要做的事
[00:00:04.000 --> 00:00:06.000]  就是要保護自己
[00:00:06.000 --> 00:00:08.000]  耶路撒冷和聖殿
[00:00:08.000 --> 00:00:10.000]  分不開
[00:00:10.000 --> 00:00:12.000]  剛才施班的
[00:00:12.000 --> 00:00:14.000]  最後一句
[00:00:14.000 --> 00:00:16.000]  有因我主聖所之故
[00:00:16.000 --> 00:00:18.000]  為你不斷祈求
[00:00:18.000 --> 00:00:20.000]  弟兄姊妹今天聖殿在哪裏?
[00:00:20.000 --> 00:00:24.000]  聖殿就是基督的身體
[00:00:24.000 --> 00:00:26.000]  就是我們
[00:00:26.000 --> 00:00:28.000]  我們是活石靈宮
[00:00:28.000 --> 00:00:30.000]  在這個群體裏
[00:00:30.000 --> 00:00:32.000]  我們會為耶路撒冷祈禱
[00:00:32.000 --> 00:00:34.000]  也會為一切屬於神的人
[00:00:34.000 --> 00:00:36.000]  去禱告
[00:00:36.000 --> 00:00:38.000]  今天我們看以斯拉記
[00:00:38.000 --> 00:00:40.000]  一章的地方
[00:00:40.000 --> 00:00:42.000]  彷彿
[00:00:42.000 --> 00:00:44.000]  好像一個電影的
[00:00:44.000 --> 00:00:46.000]  預告片
[00:00:46.000 --> 00:00:48.000]  什麼預告片?
[00:00:48.000 --> 00:00:50.000]  一些片頭將電影
[00:00:50.000 --> 00:00:52.000]  很重要的情節濃縮了
[00:00:52.000 --> 00:00:54.000]  在幾幅畫面裏
[00:00:54.000 --> 00:00:56.000]  交代了時間地點
[00:00:56.000 --> 00:00:58.000]  人物任務
[00:00:58.000 --> 00:01:00.000]  發生的事情
[00:01:00.000 --> 00:01:02.000]  又或是像一套劇集的片頭
[00:01:02.000 --> 00:01:04.000]  不知道你以前有沒有看過
[00:01:04.000 --> 00:01:06.000]  一些歷史劇
[00:01:06.000 --> 00:01:08.000]  譬如三國志
[00:01:08.000 --> 00:01:10.000]  內地拍的
[00:01:10.000 --> 00:01:12.000]  通常一開始的片頭就說
[00:01:12.000 --> 00:01:14.000]  東漢末年
[00:01:14.000 --> 00:01:16.000]  黃巾作亂
[00:01:16.000 --> 00:01:18.000]  群雄四起
[00:01:18.000 --> 00:01:20.000]  每一集都是重複這件事
[00:01:20.000 --> 00:01:22.000]  交代了時間地點人物
[00:01:22.000 --> 00:01:24.000]  任務
[00:01:24.000 --> 00:01:28.000]  我們進入故事後的鋪排和次序
[00:01:28.000 --> 00:01:30.000]  所以待會我們看的時候
[00:01:30.000 --> 00:01:32.000]  我們要從一個比較闊的層面
[00:01:32.000 --> 00:01:34.000]  去看今天的經文
[00:01:34.000 --> 00:01:36.000]  我們先將時間交給神
[00:01:36.000 --> 00:01:38.000]  我們祈禱
[00:01:38.000 --> 00:01:40.000]  求聖靈引導
[00:01:40.000 --> 00:01:46.000]  天父我們將我們的心交給你
[00:01:46.000 --> 00:01:48.000]  求聖靈在當中
[00:01:48.000 --> 00:01:50.000]  讓我們去明白你的話語
[00:01:50.000 --> 00:01:52.000]  無論這段說話
[00:01:52.000 --> 00:01:54.000]  這段經文我們熟不熟也好
[00:01:54.000 --> 00:01:56.000]  讓我們在當中得到你的提醒
[00:01:56.000 --> 00:01:58.000]  祈禱奉主明求
[00:01:58.000 --> 00:02:00.000]  阿們
[00:02:00.000 --> 00:02:04.000]  剛才讀的時候
[00:02:04.000 --> 00:02:06.000]  不知道你有沒有發現
[00:02:06.000 --> 00:02:08.000]  在這段經文最關鍵的字是哪兩個字
[00:02:08.000 --> 00:02:10.000]  激動
[00:02:10.000 --> 00:02:12.000]  激動
[00:02:12.000 --> 00:02:14.000]  是第一節來的
[00:02:14.000 --> 00:02:16.000]  請大家幫我讀一次第一章一節
[00:02:16.000 --> 00:02:18.000]  預備起
[00:02:18.000 --> 00:02:32.000]  (中文)
[00:02:32.000 --> 00:02:34.000]  激動這個字除了在一章一節之外
[00:02:34.000 --> 00:02:36.000]  在一章五節也有的
[00:02:36.000 --> 00:02:38.000]  兩次的重複
[00:02:38.000 --> 00:02:40.000]  表示這個字很重要
[00:02:40.000 --> 00:02:42.000]  很有份量
[00:02:42.000 --> 00:02:44.000]  我們不可以錯過
