
[00:00:00.000 --> 00:00:05.000]  馬太福音第十二章一到十四節
[00:00:05.000 --> 00:00:09.600]  那時耶穌在安息日從麥田經過
[00:00:09.600 --> 00:00:13.400]  他的門徒餓了就摘麥穗來吃
[00:00:13.400 --> 00:00:16.800]  法利塞人看見就對耶穌說
[00:00:16.800 --> 00:00:21.600]  看啊,你們的門徒在安息日做不合法的事了
[00:00:21.600 --> 00:00:23.800]  耶穌對他們說
[00:00:23.800 --> 00:00:28.400]  大衛和跟從他的人飢餓時所做的事
[00:00:28.400 --> 00:00:31.000]  你們沒有念過嗎?
[00:00:31.000 --> 00:00:37.000]  他怎麼進了上帝的居所吃了貢餅呢?
[00:00:37.000 --> 00:00:42.000]  這餅是他和跟從他的人不可以吃的
[00:00:42.000 --> 00:00:45.000]  唯獨祭司才可以吃
[00:00:45.000 --> 00:00:50.000]  再者,律法上所記得在安息日
[00:00:50.000 --> 00:00:55.400]  祭司在聖殿里犯了安息日也不算有罪
[00:00:55.400 --> 00:00:57.400]  你們沒有念過嗎?
[00:00:57.400 --> 00:01:02.200]  但我告訴你們,比聖殿更大的在這裡
[00:01:02.200 --> 00:01:06.200]  我喜愛憐憫,不喜愛祭祭
[00:01:06.200 --> 00:01:08.400]  你們若明白這話的意思
[00:01:08.400 --> 00:01:12.000]  就不將無罪的當作有罪了
[00:01:12.000 --> 00:01:15.800]  因為仁子是安息日的主
[00:01:15.800 --> 00:01:18.800]  耶穌離開了那地方
[00:01:18.800 --> 00:01:21.600]  進了猶太人的會堂
[00:01:21.600 --> 00:01:25.800]  那裡有個一隻手萎縮了的人
[00:01:25.800 --> 00:01:29.600]  有人為了要控告耶穌就問他
[00:01:29.600 --> 00:01:32.800]  安息日治病合不合法?
[00:01:32.800 --> 00:01:34.800]  耶穌對他們說
[00:01:34.800 --> 00:01:39.400]  你們中間誰有一隻羊在安息日掉在坑里
[00:01:39.400 --> 00:01:42.000]  不抓住它,把它拉上來呢?
[00:01:42.000 --> 00:01:45.200]  人比羊貴重得多了
[00:01:45.200 --> 00:01:49.200]  所以在安息日做善事是合法的
[00:01:49.200 --> 00:01:51.200]  於是對那人說
[00:01:51.200 --> 00:01:53.000]  伸出手來
[00:01:53.000 --> 00:01:54.600]  他把手一伸
[00:01:54.600 --> 00:01:56.400]  手就復原了
[00:01:56.400 --> 00:01:59.000]  和另一隻一樣
[00:01:59.000 --> 00:02:03.400]  法利塞人出去商議怎樣除掉耶穌
[00:02:03.400 --> 00:02:05.400]  這是上主的話語
[00:02:05.400 --> 00:02:10.800]  剛剛那個孫子們讀的還是很有故事性的
[00:02:10.800 --> 00:02:14.400]  這個聲音語調都非常的有這個變化
[00:02:14.400 --> 00:02:16.000]  所以也很感染人
[00:02:16.000 --> 00:02:17.400]  好,在此之前的話
[00:02:17.400 --> 00:02:20.200]  我們開始一個開始禱告
[00:02:20.200 --> 00:02:22.200]  切戀父感謝你
[00:02:22.200 --> 00:02:26.800]  把你的愛子和你的話語都賜給我們
[00:02:26.800 --> 00:02:29.000]  讓我們可以
[00:02:29.000 --> 00:02:32.400]  應著你的愛子可以稱義
[00:02:32.400 --> 00:02:34.200]  應著你的話語
