
[00:00:00.000 --> 00:00:08.640]  十字架 十字架 永是我的榮耀
[00:00:08.640 --> 00:00:17.360]  主啊 我們願意和保羅一同誇你的十字架
[00:00:17.360 --> 00:00:23.800]  我們以你的十字架為永遠的福分
[00:00:23.800 --> 00:00:30.880]  你的十字架的道路也成為了我們的道路
[00:00:30.880 --> 00:00:37.040]  主啊 我們常常不願意走這條路
[00:00:37.040 --> 00:00:42.600]  因為需要和你同付代價
[00:00:42.600 --> 00:00:50.280]  但是感謝主有一天你的愛激勵了我們
[00:00:50.280 --> 00:00:58.240]  我們竟然願意對主說 主啊 我將自己奉獻給你
[00:00:58.240 --> 00:01:02.240]  我們自己都感覺驚奇
[00:01:02.240 --> 00:01:07.400]  主啊 感謝你 你的大愛沒有落空
[00:01:07.400 --> 00:01:12.840]  在千萬人的身上 已經有了回應
[00:01:12.840 --> 00:01:19.360]  今天晚上 我們這些蒙恩蒙愛的人
[00:01:19.360 --> 00:01:25.840]  我們再一次在安靜的當中回應你的愛
[00:01:25.840 --> 00:01:31.840]  我們這樣祈禱奉主耶穌基督的名
[00:01:31.840 --> 00:01:35.640]  阿門
[00:01:35.640 --> 00:01:42.400]  在我們的主的身上 有許多的愛的標誌
[00:01:42.400 --> 00:01:49.560]  我們也願意在我們的身上 有愛主的標誌
[00:01:49.560 --> 00:01:54.760]  大家記得我們的主復活以後
[00:01:54.760 --> 00:01:58.920]  向門徒顯現的時候
[00:01:58.920 --> 00:02:05.160]  祂是以復活的身體向他們顯現
[00:02:05.160 --> 00:02:10.800]  祂把我們的愛 祂的愛 祂的愛
[00:02:10.800 --> 00:02:12.800]  向他們顯現
[00:02:12.800 --> 00:02:15.800]  祂把祂有釘痕的手給他們看
[00:02:15.800 --> 00:02:18.800]  祂將祂有釘痕的手給他們看
[00:02:18.800 --> 00:02:20.800]  請注意
[00:02:20.800 --> 00:02:29.800]  復活的主的身體上還有釘痕
[00:02:29.800 --> 00:02:37.800]  祂是帶著這個釘痕進入榮耀
[00:02:37.800 --> 00:02:40.800]  當主升天的時候
[00:02:40.800 --> 00:02:44.800]  有神的使者宣告
[00:02:44.800 --> 00:02:50.800]  祂怎樣去 還要怎樣來
[00:02:50.800 --> 00:02:58.800]  這個怎樣怎樣 也包括祂手中的釘痕
[00:02:58.800 --> 00:03:04.800]  祂升天復活的身體有釘痕
[00:03:04.800 --> 00:03:11.800]  祂再來的時候 祂的手中還是有釘痕
[00:03:11.800 --> 00:03:22.800]  所以這個釘痕是復活的主永遠的標誌
[00:03:22.800 --> 00:03:26.800]  《詩書行傳》第一章記載
[00:03:26.800 --> 00:03:29.800]  主升天
[00:03:29.800 --> 00:03:36.800]  祂為門徒舉手祝福的時候
[00:03:36.800 --> 00:03:38.800]  請想一想
[00:03:38.800 --> 00:03:48.800]  主升天的時候 舉起的那個祝福的手中有釘痕
[00:03:48.800 --> 00:03:53.800]  這個祝福是最大的祝福
[00:03:53.800 --> 00:03:58.800]  祂的祝福的手上有釘痕
[00:03:58.800 --> 00:04:09.800]  我再說 祂的祝福和祂的十字架的釘痕連在一起
[00:04:09.800 --> 00:04:14.800]  這是奇妙中的奇妙
[00:04:14.800 --> 00:04:17.800]  這是最大的祝福
[00:04:17.800 --> 00:04:20.800]  最寶貴的祝福
[00:04:20.800 --> 00:04:25.800]  只有為我們釘十字架的主才能給我們
[00:04:25.800 --> 00:04:30.800]  只有為我們釘十字架的主才能給我們
[00:04:30.800 --> 00:04:35.800]  如果我會畫圖畫
[00:04:35.800 --> 00:04:49.800]  我想畫一隻有釘痕的手在宇宙的上面來治理這個宇宙
[00:04:49.800 --> 00:04:58.800]  在宇宙的至高處 今天還有一個有釘痕的手在那裡管治一切
[00:04:58.800 --> 00:05:04.800]  在宇宙的至高處 今天仍然有一個有釘痕的手在治理宇宙
[00:05:04.800 --> 00:05:11.800]  將來在新天新地裡面 那個統治的手是有釘痕的手
[00:05:11.800 --> 00:05:16.800]  將來在新天新地裡面 那個統治的手也是有釘痕的手
[00:05:16.800 --> 00:05:24.800]  在永恆的國度裡面 是愛在統治一切
[00:05:24.800 --> 00:05:28.800]  那就是最美滿的統治
[00:05:28.800 --> 00:05:31.800]  最榮耀的統治
[00:05:31.800 --> 00:05:37.800]  充滿幸福的統治
[00:05:37.800 --> 00:05:42.800]  今天世上的統治 常稱是強權的統治
[00:05:42.800 --> 00:05:46.800]  今天世上的統治 常稱是強權的統治
[00:05:46.800 --> 00:05:49.800]  但是在基督的國度裡面
[00:05:49.800 --> 00:05:53.800]  只有愛被高舉
[00:05:53.800 --> 00:05:58.800]  愛的十字架永遠高舉
[00:05:58.800 --> 00:06:06.800]  十字架的這個標誌永不會消失
[00:06:06.800 --> 00:06:17.800]  主手中的釘痕 愛的釘痕 也永遠不會消失
[00:06:17.800 --> 00:06:27.800]  門徒一看見這個釘痕 就認出是主
[00:06:27.800 --> 00:06:30.800]  我們認得主嗎?
[00:06:30.800 --> 00:06:35.800]  我們能夠分辨誰是主嗎?
[00:06:35.800 --> 00:06:37.800]  能!
[00:06:37.800 --> 00:06:43.800]  主就是手中有釘痕的那一位
[00:06:43.800 --> 00:06:49.800]  沒有釘痕的耶穌不是救主
[00:06:49.800 --> 00:06:55.800]  你的主我的主是有釘痕的主
[00:06:55.800 --> 00:07:03.800]  祂所以是你的主 是我的主 因為祂有釘痕
[00:07:03.800 --> 00:07:12.800]  釘痕之所以寶貴 因為是愛的釘痕
[00:07:12.800 --> 00:07:20.800]  我再一次說 愛的釘痕永遠在主的身上
[00:07:20.800 --> 00:07:23.800]  那是一個永恆的紀念
[00:07:23.800 --> 00:07:28.800]  那是宇宙的愛的故事
[00:07:28.800 --> 00:07:39.800]  這個愛的故事一直在天上述說 重述說 重述說
[00:07:39.800 --> 00:07:44.800]  天上的屍斑只有一個主體
[00:07:44.800 --> 00:07:50.800]  是愛的主體 是十字架的主體
[00:07:50.800 --> 00:07:55.800]  感謝主
[00:07:55.800 --> 00:08:00.800]  在主的身上有愛的標誌
[00:08:00.800 --> 00:08:03.800]  那在我們的身上呢?
[00:08:03.800 --> 00:08:09.800]  有沒有愛的回應的標誌呢?
[00:08:09.800 --> 00:08:13.800]  讓我們在聖經裏看一看
[00:08:13.800 --> 00:08:19.800]  我們如何看見主的愛的標誌
[00:08:19.800 --> 00:08:24.800]  如何看見我們身上愛的回應的標誌
[00:08:24.800 --> 00:08:26.800]  我們要在聖經裏面看一看
[00:08:26.800 --> 00:08:28.800]  如何主有愛的表現
[00:08:28.800 --> 00:08:33.800]  由我們在我們的身上來找尋愛的回應
[00:08:33.800 --> 00:08:36.800]  我們先看主的第一個愛的標誌
[00:08:36.800 --> 00:08:40.800]  我們首先看主第一個愛的標誌
[00:08:40.800 --> 00:08:47.800]  請看以賽亞書53章
[00:08:47.800 --> 00:08:53.800]  第五節
[00:08:53.800 --> 00:08:56.800]  下最後一句
[00:08:56.800 --> 00:09:03.800]  因他受的鞭傷我們得醫治
[00:09:03.800 --> 00:09:08.800]  在主的身上有鞭傷
