
[00:00:00.000 --> 00:00:03.720]  我們今天會看聖經接受來加的前書
[00:00:03.720 --> 00:00:08.400]  在讀之前我也很想再提一些關於我們教會
[00:00:08.400 --> 00:00:10.200]  直堂的事情
[00:00:10.200 --> 00:00:14.080]  大家知道我們其實不是每年都有直堂主日的
[00:00:14.080 --> 00:00:18.800]  但我們希望久不久我們有機會重新提一件事情
[00:00:18.800 --> 00:00:24.280]  亦都提醒我們不要只關心自己堂會的事
[00:00:24.280 --> 00:00:27.120]  真的懂得學習聖經所教導我們的
[00:00:27.120 --> 00:00:31.360]  是真的施予給領袖更大的祝福
[00:00:31.360 --> 00:00:35.440]  教會今年已經進入了第幾週年?
[00:00:35.440 --> 00:00:39.160]  大家是否留意到?65週年
[00:00:39.160 --> 00:00:43.320]  所以我們今年年底的時候會有特別的慶祝
[00:00:43.320 --> 00:00:47.680]  65年來神一直將這種感動給教會
[00:00:47.680 --> 00:00:52.800]  是要留心在不同的社區建立福音的基址
[00:00:52.800 --> 00:00:59.080]  所以過去65年來教會曾經在不同地方建立了25間的分堂
[00:00:59.080 --> 00:01:01.760]  一切都是恩典我們很感謝神
[00:01:01.760 --> 00:01:03.440]  當然在其中都有困難
[00:01:03.440 --> 00:01:07.640]  其中有5間因為不同的緣故而結束了
[00:01:07.640 --> 00:01:11.720]  因此有些時候會有些灰心的感覺
[00:01:11.720 --> 00:01:14.880]  但這麼多年上帝都一直感動我們不要放棄
[00:01:14.880 --> 00:01:16.960]  繼續在這方面努力
[00:01:16.960 --> 00:01:21.960]  這20間仍然一直堅定地來到成長的教會
[00:01:21.960 --> 00:01:26.800]  他們同樣都領受了在不同地區的直堂的異象
[00:01:26.800 --> 00:01:31.320]  所以看到他們都繼續在不同地方同樣是直堂
[00:01:31.320 --> 00:01:33.040]  所以可能你們未必知道
[00:01:33.040 --> 00:01:36.360]  北宣家的分堂有他們的分堂
[00:01:36.360 --> 00:01:40.160]  到今天已經有第四代的分堂
[00:01:40.160 --> 00:01:44.800]  大家可能都知道香港有個凱兒半島
[00:01:44.800 --> 00:01:48.360]  在凱兒半島裏面有一間宣道會凱兒堂
[00:01:48.360 --> 00:01:51.280]  其實是我們第四代的分堂
[00:01:51.280 --> 00:01:55.240]  北宣早年前建立了宣道會華基堂
[00:01:55.240 --> 00:01:58.480]  他們再建立了利福堂
[00:01:58.480 --> 00:02:02.040]  利福堂又開設了凱兒堂
[00:02:02.040 --> 00:02:05.840]  所以你不會想到在最初開始華基堂的時候
[00:02:05.840 --> 00:02:07.560]  是有多少的艱難
[00:02:07.560 --> 00:02:13.080]  但今天他們一步一步建立了他們的第三代分堂
[00:02:13.080 --> 00:02:14.760]  而在這個凱兒的地方
[00:02:14.760 --> 00:02:18.960]  有很多很重要的科目工作來開展
[00:02:18.960 --> 00:02:23.720]  而今天你會看到這個情況不斷不斷正在進行
[00:02:23.720 --> 00:02:28.640]  最新的一間分堂的開始是在調景嶺
[00:02:28.640 --> 00:02:31.160]  大家會知道我們曾經有的分堂
[00:02:31.160 --> 00:02:32.720]  現在已經自立了
[00:02:32.720 --> 00:02:35.000]  就是宣愛堂
[00:02:35.000 --> 00:02:38.680]  宣愛堂最近開始了宣領堂
