
[00:00:00.000 --> 00:00:05.760]  今天的《正道經文》 馬可福音14章3-9節
[00:00:05.760 --> 00:00:10.860]  耶穌在伯大尼麻風病人西門家裡作息的時候
[00:00:10.860 --> 00:00:15.600]  有一個女人拿著一玉瓶極貴的純拿達香膏來
[00:00:15.600 --> 00:00:19.700]  打破玉瓶 把膏澆在耶穌的頭上
[00:00:19.700 --> 00:00:22.500]  有幾個人心中很不高興
[00:00:22.500 --> 00:00:25.400]  說:何必這樣浪費香膏呢?
[00:00:25.400 --> 00:00:29.560]  這香膏可以賣三百多個銀幣 周計窮人
[00:00:29.560 --> 00:00:32.300]  他們就對那女人生氣
[00:00:32.300 --> 00:00:34.300]  耶穌說:由她吧
[00:00:34.300 --> 00:00:36.200]  為什麼難為她呢?
[00:00:36.200 --> 00:00:39.400]  她在我身上做的是一件美事
[00:00:39.400 --> 00:00:42.600]  因為常有窮人和你們在一起
[00:00:42.600 --> 00:00:45.900]  要向他們行善隨時都可以
[00:00:45.900 --> 00:00:48.100]  但是你們不常有我
[00:00:48.100 --> 00:00:51.200]  她所做的事盡她所能的
[00:00:51.200 --> 00:00:53.100]  她是為了我的安葬
[00:00:53.100 --> 00:00:56.200]  把香膏預先澆在我身上
[00:00:56.200 --> 00:00:58.000]  我實在告訴你們
[00:00:58.000 --> 00:01:02.200]  普天之下 無論在什麼地方傳這福音
[00:01:02.200 --> 00:01:05.000]  都要述說這女人所做的
[00:01:05.000 --> 00:01:06.800]  來紀念她
[00:01:06.800 --> 00:01:08.000]  經文讀畢
[00:01:08.800 --> 00:01:10.000]  各位弟兄姊妹平安
[00:01:10.000 --> 00:01:11.500]  各位弟兄姊妹平安
[00:01:11.500 --> 00:01:14.300]  很感謝神能夠再次來到大家當中
[00:01:14.300 --> 00:01:15.900]  去分享神自己的話
[00:01:15.900 --> 00:01:18.200]  感謝神讓我再次來到大家當中
[00:01:18.200 --> 00:01:19.700]  來分享神的話語
[00:01:19.700 --> 00:01:22.700]  今天我正題的題目是一件美事
[00:01:22.700 --> 00:01:25.100]  我今天正題的題目是一件美事
[00:01:25.100 --> 00:01:26.100]  弟兄姊妹
[00:01:26.100 --> 00:01:29.700]  你有沒有想過這是一件什麼樣的美事?
[00:01:29.700 --> 00:01:32.400]  大家有沒有想過這是一件什麼樣的美事呢?
[00:01:32.400 --> 00:01:34.100]  聖經說到是一個婦人
[00:01:34.100 --> 00:01:38.400]  在神耶穌的身上為她安葬而做的一件事
[00:01:38.400 --> 00:01:40.200]  聖經說的是一個婦人
[00:01:40.200 --> 00:01:41.600]  因為耶穌的安葬
[00:01:41.600 --> 00:01:43.300]  做在耶穌身上的事情
[00:01:43.300 --> 00:01:45.400]  既然做得這麼對
[00:01:45.400 --> 00:01:47.000]  為什麼不是稱為對的事
[00:01:47.000 --> 00:01:48.800]  反而是稱為美的事?
[00:01:48.800 --> 00:01:50.200]  既然做得這麼對的話
[00:01:50.200 --> 00:01:51.400]  為什麼不稱為對的事
[00:01:51.400 --> 00:01:53.000]  而稱為美的事呢?
[00:01:53.000 --> 00:01:55.000]  美的事和對的事
[00:01:55.000 --> 00:01:57.400]  兩者怎樣做一個界定?
[00:01:57.400 --> 00:02:00.900]  美的事和對的事有什麼樣的界定呢?
[00:02:00.900 --> 00:02:02.500]  過去日子我相信大家
[00:02:02.500 --> 00:02:06.100]  在你人生裡面一定做了一些很對的事
[00:02:06.100 --> 00:02:07.800]  過去在人生日子裡面
[00:02:07.800 --> 00:02:09.900]  我相信大家都做了許多對的事情
[00:02:09.900 --> 00:02:12.000]  但對的事不代表一定美的
[00:02:12.000 --> 00:02:13.600]  但對的不一定是美的
[00:02:13.600 --> 00:02:16.400]  同樣美的事不代表一定對的
[00:02:16.400 --> 00:02:18.700]  美的事也不一定是對的
[00:02:18.700 --> 00:02:21.200]  我自己在教會裡面作為一個牧者
[00:02:21.200 --> 00:02:22.900]  我在我的教會作為一個牧者
[00:02:22.900 --> 00:02:25.600]  有時候也見到弟兄姊妹有犯錯的時候
[00:02:25.600 --> 00:02:28.000]  有時候也見到弟兄姊妹有犯錯的時候
[00:02:28.000 --> 00:02:29.400]  特別是在道德上
[00:02:29.400 --> 00:02:31.000]  在性的方面跌倒
[00:02:31.000 --> 00:02:34.000]  或者在道德上面在性的方面跌倒
[00:02:34.000 --> 00:02:36.600]  我們作為牧者我們一定要糾正他
[00:02:36.600 --> 00:02:38.800]  我們作為牧者一定要糾正他
[00:02:38.800 --> 00:02:41.800]  對我們來說我們糾正他是對的事
[00:02:41.800 --> 00:02:44.300]  對我們來講的話糾正他是對的事情
[00:02:44.300 --> 00:02:47.700]  但是做了這個動作不代表一定是美的事
