
[00:00:00.000 --> 00:00:07.800]  故事發生在馬達福音第九章和路加福音第五章都有講述
[00:00:07.800 --> 00:00:12.800]  耶穌在加里里講道
[00:00:12.800 --> 00:00:15.800]  講道的時候去了加伯隆
[00:00:15.800 --> 00:00:19.800]  因為一章二十一節已經開始講道
[00:00:19.800 --> 00:00:21.800]  很多人聚集
[00:00:21.800 --> 00:00:23.800]  多到什麼情況呢
[00:00:23.800 --> 00:00:25.800]  多到很多人想聽神的話語
[00:00:25.800 --> 00:00:27.800]  整間屋都擠滿了
[00:00:27.800 --> 00:00:29.800]  進不了門口
[00:00:29.800 --> 00:00:31.800]  在這個情況下
[00:00:31.800 --> 00:00:33.800]  有四個人出現了
[00:00:33.800 --> 00:00:37.800]  這四個人抬著一個坦
[00:00:37.800 --> 00:00:39.800]  可能是布
[00:00:39.800 --> 00:00:41.800]  抬到門口
[00:00:41.800 --> 00:00:43.800]  進不去
[00:00:43.800 --> 00:00:46.800]  當然他們有一個目的
[00:00:46.800 --> 00:00:48.800]  就是要把坦放在耶穌面前
[00:00:48.800 --> 00:00:50.800]  希望得醫治
[00:00:50.800 --> 00:00:52.800]  為什麼他們會這樣做
[00:00:52.800 --> 00:00:54.800]  因為上文一章講到
[00:00:54.800 --> 00:00:56.800]  很多人各樣疾病
[00:00:56.800 --> 00:00:58.800]  甚至連污鬼都被講出
[00:00:58.800 --> 00:01:00.800]  這四個人聽到
[00:01:00.800 --> 00:01:03.800]  耶穌都可以醫好這麼多病患
[00:01:03.800 --> 00:01:05.800]  甚至靈界
[00:01:05.800 --> 00:01:08.800]  把坦的朋友帶到耶穌面前
[00:01:08.800 --> 00:01:10.800]  怎麼帶呢
[00:01:10.800 --> 00:01:12.800]  那時候巴勒斯坦的房屋
[00:01:12.800 --> 00:01:14.800]  四邊都是用石堆砌成的
[00:01:14.800 --> 00:01:16.800]  唯獨在房頂
[00:01:16.800 --> 00:01:20.800]  用和廣草和泥混在一起
[00:01:20.800 --> 00:01:22.800]  鋪在那裡
[00:01:22.800 --> 00:01:24.800]  旁邊有一條樓梯上去
[00:01:24.800 --> 00:01:26.800]  上到樓梯
[00:01:26.800 --> 00:01:28.800]  拆了房頂
[00:01:28.800 --> 00:01:30.800]  不知道怎麼拆
[00:01:30.800 --> 00:01:32.800]  慢慢四個人
[00:01:32.800 --> 00:01:34.800]  有條繩子
[00:01:34.800 --> 00:01:36.800]  不會打過去
[00:01:36.800 --> 00:01:38.800]  就垂下去
[00:01:38.800 --> 00:01:40.800]  剛好耶穌講到的時候
[00:01:40.800 --> 00:01:45.800]  有個坦出現在耶穌的跟前
[00:01:45.800 --> 00:01:48.800]  故事的結尾就是
[00:01:48.800 --> 00:01:51.800]  坦居然康復了
[00:01:51.800 --> 00:01:53.800]  走得回來
[00:01:53.800 --> 00:01:55.800]  眾人很驚訝
[00:01:55.800 --> 00:01:58.800]  從來都沒見過這樣的事發生
[00:01:58.800 --> 00:02:01.800]  這個故事大家應該聽過很多次
[00:02:01.800 --> 00:02:03.800]  有幾條問題
[00:02:03.800 --> 00:02:06.800]  其實都浮現在腦海當中
[00:02:06.800 --> 00:02:08.800]  因為剛才經文讀完的時候
[00:02:08.800 --> 00:02:11.800]  包括耶穌見到他們的信心
[00:02:11.800 --> 00:02:14.800]  究竟是他們多於一個
[00:02:14.800 --> 00:02:16.800]  究竟是四個人的信心
[00:02:16.800 --> 00:02:18.800]  還是坦子的信心
[00:02:18.800 --> 00:02:20.800]  四加一 五個
[00:02:20.800 --> 00:02:22.800]  耶穌見到坦的信心
[00:02:22.800 --> 00:02:25.800]  第一句不是說你得全愈
[00:02:25.800 --> 00:02:27.800]  而是說你的罪赦免
[00:02:27.800 --> 00:02:29.800]  真的很怪
[00:02:29.800 --> 00:02:31.800]  為什麼會這樣
[00:02:31.800 --> 00:02:33.800]  更加耶穌問了一條問題
[00:02:33.800 --> 00:02:34.800]  對民事說
[00:02:34.800 --> 00:02:36.800]  究竟你覺得哪條答案容易些
[00:02:36.800 --> 00:02:38.800]  坦的起身容易些
[00:02:38.800 --> 00:02:40.800]  還是罪得赦免容易些
[00:02:40.800 --> 00:02:43.800]  我不知道你的心中有沒有什麼答案
[00:02:43.800 --> 00:02:46.800]  要研究這段經文
[00:02:46.800 --> 00:02:48.800]  有很多進路
[00:02:48.800 --> 00:02:51.800]  我們先看經文的結構
[00:02:51.800 --> 00:02:54.800]  從經文結構中讓我們知道
[00:02:54.800 --> 00:02:57.800]  作者希望帶出一個中心的思想
[00:02:57.800 --> 00:03:01.800]  經文結構有一個很典型的線型結構
[00:03:01.800 --> 00:03:03.800]  包括第一第二節
[00:03:03.800 --> 00:03:06.800]  有很多人聚集聽耶穌講道
[00:03:06.800 --> 00:03:09.800]  到最後耶穌行完神蹟之後
[00:03:09.800 --> 00:03:11.800]  有些人很驚訝
[00:03:11.800 --> 00:03:13.800]  因為耶穌講了一些東西
[00:03:13.800 --> 00:03:14.800]  叫人起身
[00:03:14.800 --> 00:03:16.800]  很驚訝耶穌講的說話
[00:03:16.800 --> 00:03:18.800]  作為
[00:03:18.800 --> 00:03:20.800]  第三第四節講到
[00:03:20.800 --> 00:03:23.800]  有四個人抬著一個毯子來見耶穌
[00:03:23.800 --> 00:03:26.800]  在第十二節也說
[00:03:26.800 --> 00:03:28.800]  這個毯子的人起身了
[00:03:28.800 --> 00:03:31.800]  在眾人面前出去了
[00:03:31.800 --> 00:03:35.800]  第五節耶穌說你的罪赦免
[00:03:35.800 --> 00:03:37.800]  第九到第十一節
[00:03:37.800 --> 00:03:40.800]  耶穌說要叫所有人都知道
[00:03:40.800 --> 00:03:45.800]  人子我有赦罪的權柄
[00:03:45.800 --> 00:03:49.800]  第六節有幾位文士心裡的議論
[00:03:49.800 --> 00:03:54.800]  第八節耶穌知道他們心裡在想什麼
[00:03:54.800 --> 00:03:59.800]  所以今天的中心思想就是第七節
[00:03:59.800 --> 00:04:03.800]  文士和法利賽人問了一條問題
[00:04:03.800 --> 00:04:05.800]  除了神之外
[00:04:05.800 --> 00:04:08.800]  誰能夠赦罪呢
[00:04:08.800 --> 00:04:11.800]  除了神之外誰能夠赦罪呢
[00:04:11.800 --> 00:04:18.800]  文士不單是解釋傳遞舊約律法
[00:04:18.800 --> 00:04:22.800]  並且是抄寫的
[00:04:22.800 --> 00:04:24.800]  把舊約經卷抄寫
[00:04:24.800 --> 00:04:26.800]  所以他們對舊約是很熟悉的
[00:04:26.800 --> 00:04:27.800]  他們知道一件事
[00:04:27.800 --> 00:04:30.800]  包括從耳塞亞書43章25節
[00:04:30.800 --> 00:04:34.800]  沒有人能夠赦免世人的罪
[00:04:34.800 --> 00:04:36.800]  除了耶和華之外
[00:04:36.800 --> 00:04:38.800]  一個很經典的故事
[00:04:38.800 --> 00:04:40.800]  他們一定會知道
[00:04:40.800 --> 00:04:43.800]  例如在金牛獨事件當中
[00:04:43.800 --> 00:04:48.800]  當摩西在山上領受了法板後
[00:04:48.800 --> 00:04:53.800]  下來見到以色列人背叛耶和華神
[00:04:53.800 --> 00:04:56.800]  因為亞倫做了金牛獨
[00:04:56.800 --> 00:05:00.800]  摩西就在那裡說了
[00:05:00.800 --> 00:05:03.800]  很掛心很憂慮
[00:05:03.800 --> 00:05:05.800]  因為摩西就說
[00:05:05.800 --> 00:05:08.800]  你看看這些人
[00:05:08.800 --> 00:05:10.800]  我上去沒多久
[00:05:10.800 --> 00:05:13.800]  其實之前經過了紅海
[00:05:13.800 --> 00:05:16.800]  又有馬拿 鵪鶉 又有水飲
[00:05:16.800 --> 00:05:18.800]  耶和華做了這麼多神蹟
[00:05:18.800 --> 00:05:20.800]  在以色列人眼前
[00:05:20.800 --> 00:05:22.800]  他們都能夠背叛耶和華
[00:05:22.800 --> 00:05:24.800]  這些人真是無藥可救
[00:05:24.800 --> 00:05:25.800]  耶和華神也這麼說
[00:05:25.800 --> 00:05:27.800]  你看看這批人
[00:05:27.800 --> 00:05:29.800]  百姓真是硬著脖子的百姓
[00:05:29.800 --> 00:05:30.800]  你由得我嗎
[00:05:30.800 --> 00:05:32.800]  我現在向他們發怒
[00:05:32.800 --> 00:05:33.800]  將他們滅絕
[00:05:33.800 --> 00:05:37.800]  讓摩西成為大國
