
[00:00:00.000 --> 00:00:03.200]  我們今天會接續思想伊斯拉基的經文
[00:00:03.200 --> 00:00:08.000]  我們提到「恩典隨著信從神而來」
[00:00:08.000 --> 00:00:09.400]  很多時候聖經都這樣強調
[00:00:09.400 --> 00:00:11.200]  告訴我們知道
[00:00:11.200 --> 00:00:13.400]  恩典從哪裡來呢?
[00:00:13.400 --> 00:00:16.400]  何時我們去信從神
[00:00:16.400 --> 00:00:20.200]  恩典就臨到我們的身上
[00:00:20.200 --> 00:00:21.600]  大家會記得我們上次提及
[00:00:21.600 --> 00:00:24.200]  《詩篇》81篇裏面說
[00:00:24.200 --> 00:00:27.800]  聖經提醒我們要向神大大的張口
[00:00:27.800 --> 00:00:31.200]  祂就給我們充滿
[00:00:31.200 --> 00:00:33.600]  這支經文很重要提醒我們
[00:00:33.600 --> 00:00:35.800]  開廠向著神
[00:00:35.800 --> 00:00:38.600]  也意味著去聽從祂
[00:00:38.600 --> 00:00:40.600]  神就將一切的恩惠
[00:00:40.600 --> 00:00:42.400]  充滿我們的生命
[00:00:42.400 --> 00:00:44.800]  在經文上面更加提及到
[00:00:44.800 --> 00:00:48.000]  「你們要知道我是耶和華你的神」
[00:00:48.000 --> 00:00:51.600]  「曾把你從埃及地領上來」
[00:00:51.600 --> 00:00:54.800]  「你們要大大張口 我就給你充滿」
[00:00:54.800 --> 00:00:56.400]  聖經提到當時的以色列人
[00:00:56.400 --> 00:00:59.400]  他們很多時候敬拜偶像
[00:00:59.400 --> 00:01:02.600]  又提到他們不願意聽神的話
[00:01:02.600 --> 00:01:05.800]  所以神就將他們的心表達出來
[00:01:05.800 --> 00:01:07.600]  「我是你們的神」
[00:01:07.600 --> 00:01:09.800]  「和你們有特別關係」
[00:01:09.800 --> 00:01:11.400]  然後又呼籲我們
[00:01:11.400 --> 00:01:16.000]  「我曾經將你們從埃及地釋放出來」
[00:01:16.000 --> 00:01:18.200]  「將來要繼續賜福給你」
[00:01:18.200 --> 00:01:20.600]  但一個重要的因素就是
[00:01:20.600 --> 00:01:23.200]  「向我大大的張口」
[00:01:23.200 --> 00:01:23.800]  好像甚麼呢?
[00:01:23.800 --> 00:01:26.000]  好像一個房屋
[00:01:26.000 --> 00:01:29.400]  所有窗門密封著、關閉著
[00:01:29.400 --> 00:01:33.000]  因此室內的空氣很悶焗
[00:01:33.000 --> 00:01:36.000]  但打開窗之後空氣流通
[00:01:36.000 --> 00:01:39.600]  很多清新的空氣流進這個房屋裏面
[00:01:39.600 --> 00:01:43.000]  因此裏面的情況完全不同
[00:01:43.000 --> 00:01:45.600]  人的心向神開闖
[00:01:45.600 --> 00:01:48.800]  透過聽從祂的說話向神開闖
[00:01:48.800 --> 00:01:52.400]  恩惠就流進他的生命當中
[00:01:52.400 --> 00:01:55.800]  很多時候基督徒所經歷到的事實
[00:01:55.800 --> 00:01:58.600]  猶太人當他們學習信服神
[00:01:58.600 --> 00:02:00.600]  放膽在困難當中
[00:02:00.600 --> 00:02:02.600]  去信從神對他們提醒
[00:02:02.600 --> 00:02:04.400]  去重建聖殿
[00:02:04.400 --> 00:02:06.600]  因此當他們一直重建的時候
[00:02:06.600 --> 00:02:09.400]  恩典就流進他們當中
[00:02:09.400 --> 00:02:10.800]  因此我們今天思想的
[00:02:10.800 --> 00:02:13.400]  就是從聖經這段歷史裏面再次看回
[00:02:13.400 --> 00:02:15.600]  神是很願意施恩的上帝
[00:02:15.600 --> 00:02:17.600]  而關鍵就是
[00:02:17.600 --> 00:02:20.000]  我們怎樣能夠向神開闖
[00:02:20.000 --> 00:02:21.600]  來去信從祂
[00:02:21.600 --> 00:02:23.600]  大家一起看回剛才的聖經
[00:02:23.600 --> 00:02:27.600]  我們看看以色列記第六章
[00:02:27.600 --> 00:02:29.200]  首先我們思想的就是
[00:02:29.200 --> 00:02:31.800]  不要難阻神的工程
[00:02:31.800 --> 00:02:34.800]  神的工程是不會被難阻的
[00:02:34.800 --> 00:02:37.200]  我們會記得我們上一兩次提及到
[00:02:37.200 --> 00:02:40.200]  當時河西這個地區的總督
[00:02:40.200 --> 00:02:42.600]  他見到猶太人在重建聖殿
[00:02:42.600 --> 00:02:44.800]  因此他們想難阻
[00:02:44.800 --> 00:02:46.400]  但是他們沒有這樣做
[00:02:46.400 --> 00:02:47.800]  他們用的方法就是
[00:02:47.800 --> 00:02:51.400]  上書去請問當時的大劉氏王
[00:02:51.400 --> 00:02:54.200]  問他有沒有一些以前的波斯王
[00:02:54.200 --> 00:02:58.400]  曾經允許這班猶太人重建聖殿
[00:02:58.400 --> 00:02:59.800]  因此在等候的時候
[00:02:59.800 --> 00:03:04.200]  他就容許這些猶太人繼續建造聖殿
[00:03:04.200 --> 00:03:06.800]  翻查這些典籍的結果是怎樣呢?
[00:03:06.800 --> 00:03:10.400]  在第六章第一節
[00:03:10.400 --> 00:03:14.600]  「於是大劉氏王降旨要尋查典籍庫內
[00:03:14.600 --> 00:03:17.600]  就是在巴布倫藏寶物之處
[00:03:17.600 --> 00:03:22.000]  在米底亞省阿瑪他城的宮內尋得一卷
[00:03:22.000 --> 00:03:24.400]  其中記著傳」
[00:03:24.400 --> 00:03:26.400]  在當時他們嘗試尋找的時候
[00:03:26.400 --> 00:03:28.800]  在巴布倫藏寶物之處
[00:03:28.800 --> 00:03:32.200]  以為有 但發覺原來沒有
[00:03:32.200 --> 00:03:33.800]  一直翻查的時候
[00:03:33.800 --> 00:03:36.600]  他們想起很多時候很多的君王
[00:03:36.600 --> 00:03:39.800]  在夏天的時候會去到一個地方
[00:03:39.800 --> 00:03:42.800]  就是這個叫做阿瑪他城裏面的宮
[00:03:42.800 --> 00:03:44.400]  亦都是當時很多的君王
[00:03:44.400 --> 00:03:46.800]  他們夏天的行宮
[00:03:46.800 --> 00:03:49.400]  這個地方是當時一些比較高原的地方
[00:03:49.400 --> 00:03:51.200]  是山領的四方
[00:03:51.200 --> 00:03:53.200]  在夏天比較清涼
[00:03:53.200 --> 00:03:56.400]  所以他們記得當時的初老氏王
[00:03:56.400 --> 00:04:01.000]  在那個地方曾經有一些有關的決定
[00:04:01.000 --> 00:04:03.600]  因此就在那個宮殿裏面再翻查的時候
