
[00:00:00.000 --> 00:00:05.000]  我們繼續的默想獅子架的道路
[00:00:05.000 --> 00:00:12.000]  我們求主用他的獅子架來對付我們整個人
[00:00:12.000 --> 00:00:15.000]  對付我們的肉體
[00:00:15.000 --> 00:00:18.000]  對付我們的自我
[00:00:18.000 --> 00:00:22.000]  對付世界在我們裡面的地位
[00:00:22.000 --> 00:00:26.000]  對付我們的生活和侍奉
[00:00:27.000 --> 00:00:30.000]  求主把獅子架的印記
[00:00:30.000 --> 00:00:36.000]  真是打在我們每個人的生命中、生活中
[00:00:36.000 --> 00:00:41.000]  如果主在您、在我的身上
[00:00:41.000 --> 00:00:44.000]  尋找獅子架的印記
[00:00:44.000 --> 00:00:46.000]  他能夠找到嗎?
[00:00:46.000 --> 00:00:52.000]  我們是否真的經歷了獅子架的對付呢?
[00:00:52.000 --> 00:00:56.000]  求主把這個意念
[00:00:56.000 --> 00:01:01.000]  這個觀念深刻地印在我們的心中
[00:01:01.000 --> 00:01:05.000]  我們需要獅子架的對付
[00:01:05.000 --> 00:01:11.000]  受過獅子架對付的人和沒有受過獅子架對付的人
[00:01:11.000 --> 00:01:14.000]  有很大很大的分別
[00:01:14.000 --> 00:01:19.000]  今天教會裡面有許多的問題
[00:01:20.000 --> 00:01:22.000]  因為有太多的基督徒
[00:01:22.000 --> 00:01:26.000]  未曾受過獅子架的對付
[00:01:26.000 --> 00:01:34.000]  所以用舊生命、舊生活來參與教會的生活和侍奉
[00:01:34.000 --> 00:01:38.000]  結果教會裡充滿了血氣
[00:01:38.000 --> 00:01:40.000]  充滿了肉體
[00:01:40.000 --> 00:01:42.000]  充滿了世界的作風
[00:01:42.000 --> 00:01:47.000]  充滿了我們自己的喜好
[00:01:48.000 --> 00:01:51.000]  把自己高舉起來過於基督
[00:01:51.000 --> 00:01:55.000]  把人高舉起來過於真理
[00:01:55.000 --> 00:01:57.000]  人坐在寶座上
[00:01:57.000 --> 00:02:00.000]  而不是主坐在寶座上
[00:02:00.000 --> 00:02:06.000]  這一切都是因為缺少了獅子架的對付
[00:02:06.000 --> 00:02:10.000]  所以我們看教會的問題的時候
[00:02:10.000 --> 00:02:14.000]  我們發現在那一個根的地方
[00:02:14.000 --> 00:02:17.000]  它的癥結所在
[00:02:17.000 --> 00:02:21.000]  就是缺少了獅子架的對付
[00:02:21.000 --> 00:02:25.000]  獅子架有真有假
[00:02:25.000 --> 00:02:28.000]  假的獅子架是什麼呢?
[00:02:28.000 --> 00:02:32.000]  就是單單在儀式中的獅子架
[00:02:32.000 --> 00:02:35.000]  假的獅子架是什麼呢?
[00:02:35.000 --> 00:02:39.000]  就是單單裝飾的獅子架
[00:02:39.000 --> 00:02:43.000]  許多的人和基督的生命完全沒有關係
