
[00:00:00.000 --> 00:00:01.280]  我們打開聖經
[00:00:01.280 --> 00:00:02.240]  我們一起看聖經
[00:00:02.240 --> 00:00:04.680]  我國書第二章的經文
[00:00:04.680 --> 00:00:08.600]  在看經文之前
[00:00:08.600 --> 00:00:10.680]  我想先分享一件事情
[00:00:10.680 --> 00:00:13.960]  也是最近一位弟兄跟我分享到
[00:00:13.960 --> 00:00:16.520]  他聽到一位弟兄
[00:00:16.520 --> 00:00:18.080]  另一位弟兄的見證
[00:00:18.080 --> 00:00:21.720]  這位弟兄他本身是在一段時間
[00:00:21.720 --> 00:00:24.800]  很多經歷神在他生命裡面的工作
[00:00:24.800 --> 00:00:26.200]  很多特別的經歷
[00:00:27.040 --> 00:00:29.920]  而他在那次他去到機場
[00:00:29.920 --> 00:00:31.840]  預備坐飛機去某個地方
[00:00:31.840 --> 00:00:34.320]  因為他早了去機場
[00:00:34.320 --> 00:00:37.160]  那個地方也不是他熟悉的環境
[00:00:37.160 --> 00:00:42.040]  他就想不如坐在機場接駁車
[00:00:42.040 --> 00:00:44.040]  到處看看機場是怎樣的
[00:00:44.040 --> 00:00:47.320]  我上到接駁車的時候
[00:00:47.320 --> 00:00:49.120]  就留意到沒有其他乘客
[00:00:49.120 --> 00:00:52.000]  因此就坐在司機旁邊
[00:00:52.000 --> 00:00:53.960]  大家聊聊天
[00:00:54.920 --> 00:00:57.440]  慢慢就講到自己在這段時間
[00:00:57.440 --> 00:00:59.440]  自己怎樣經歷神的事情
[00:00:59.440 --> 00:01:01.760]  一邊講一邊講的時候
[00:01:01.760 --> 00:01:03.320]  突然間司機跟他說
[00:01:03.320 --> 00:01:05.120]  「就是你了」
[00:01:05.120 --> 00:01:07.880]  「你就是神給我的證據了」
[00:01:07.880 --> 00:01:10.800]  突然間聽見很驚訝
[00:01:10.800 --> 00:01:11.800]  為甚麼他會這樣說
[00:01:11.800 --> 00:01:13.400]  然後司機就說
[00:01:13.400 --> 00:01:15.680]  「最近我老闆信耶穌」
[00:01:15.680 --> 00:01:18.040]  「經常都叫我信耶穌」
[00:01:18.040 --> 00:01:20.760]  「我都覺得是否要信呢」
[00:01:20.760 --> 00:01:22.880]  本來很猶豫
[00:01:23.360 --> 00:01:25.360]  但是看到那個老闆
[00:01:25.360 --> 00:01:26.920]  真的有很大改變
[00:01:26.920 --> 00:01:31.560]  以前看到他對同事很差
[00:01:31.560 --> 00:01:34.760]  而且很多時候看到跟這位老闆
[00:01:34.760 --> 00:01:36.080]  無理取鬧
[00:01:36.080 --> 00:01:37.760]  令到大家都很困擾
[00:01:37.760 --> 00:01:40.920]  但是現在看到他真的有很大改變
[00:01:40.920 --> 00:01:42.320]  對我們關心我們
[00:01:42.320 --> 00:01:44.560]  而且在很多事情上
[00:01:44.560 --> 00:01:46.760]  是真的很合理地處理
[00:01:46.760 --> 00:01:47.880]  跟以前很不同
[00:01:47.880 --> 00:01:50.880]  所以我心裡也在想會不會信耶穌
[00:01:51.520 --> 00:01:53.880]  不過還是覺得好像要等一等
[00:01:53.880 --> 00:01:57.120]  就曾經向這位上帝祈禱
[00:01:57.120 --> 00:01:59.320]  就是「如果你真的是上帝」
[00:01:59.320 --> 00:02:01.520]  「你給我一些證據看看」
[00:02:01.520 --> 00:02:05.920]  「我想不到今天你出現」
[00:02:05.920 --> 00:02:09.520]  「我想不到我開車這麼多年」
[00:02:09.520 --> 00:02:11.080]  「沒有試過沒有乘客」
[00:02:11.080 --> 00:02:11.880]  「只有一個」
[00:02:11.880 --> 00:02:14.240]  「而你又跟我說很多」
[00:02:14.240 --> 00:02:15.800]  「你經歷神帝的事情」
[00:02:15.800 --> 00:02:18.640]  「我想是神透過你給我一些證據」
[00:02:18.640 --> 00:02:20.360]  「這位上帝是真神」
[00:02:21.360 --> 00:02:23.160]  這位上帝聽見的時候
