
[00:00:00.000 --> 00:00:02.320]  大家都會留意到我們這幾個星期
[00:00:02.320 --> 00:00:06.320]  一直思想聖經裏面關於猜拳的訊息
[00:00:06.320 --> 00:00:07.920]  我們在猜拳月裏面
[00:00:07.920 --> 00:00:12.400]  我們都不斷再提神給我們的大使命
[00:00:12.400 --> 00:00:17.840]  神吩咐我們去使萬民作我的門徒
[00:00:17.840 --> 00:00:21.360]  有些時候我們再聽一句話的時候
[00:00:21.360 --> 00:00:24.000]  會覺得好像有點遙遠
[00:00:24.000 --> 00:00:28.480]  萬民好像不是我們能夠去接觸得到的
[00:00:28.480 --> 00:00:30.480]  但主就是這樣吩咐我們
[00:00:30.480 --> 00:00:34.240]  你去向萬民傳福音
[00:00:34.240 --> 00:00:35.920]  不單止是你一個人
[00:00:35.920 --> 00:00:42.000]  是整個教會都一起關心到其他萬民的需要
[00:00:42.000 --> 00:00:44.560]  你會讀到教會的猜拳特刊
[00:00:44.560 --> 00:00:49.280]  你會留意到全世界有21億的未得之民
[00:00:49.280 --> 00:00:52.960]  21億裏面超過一千萬人的
[00:00:52.960 --> 00:00:56.240]  最少有50個族群
[00:00:56.240 --> 00:00:59.040]  你說一千萬人有多少
[00:00:59.040 --> 00:01:03.920]  香港我們常常都會體會到人多的困擾
[00:01:03.920 --> 00:01:07.600]  我們很想避開很多人潮人群的地方
[00:01:07.600 --> 00:01:10.160]  但香港有多少人口呢?
[00:01:10.160 --> 00:01:11.840]  七百多萬
[00:01:11.840 --> 00:01:16.960]  但這些族群有一千多萬最少
[00:01:16.960 --> 00:01:20.720]  當聖經講到向萬族傳福音的時候
[00:01:20.720 --> 00:01:22.960]  是不斷來勉勵我們
[00:01:22.960 --> 00:01:25.760]  不單留心到你身邊的人的需要
[00:01:25.760 --> 00:01:30.880]  還有留心到很多世界不同地方的族群的需要
[00:01:30.880 --> 00:01:34.080]  你又記得我們上次在試探傳裡面提到
[00:01:34.080 --> 00:01:38.400]  聖經就說你們要向在耶路撒冷
[00:01:38.400 --> 00:01:41.200]  由大全地撒瑪利亞直到地區
[00:01:41.200 --> 00:01:43.360]  作主的見證
[00:01:43.360 --> 00:01:45.200]  你說很容易的
[00:01:45.200 --> 00:01:47.680]  我們先在自己所身處的地方
[00:01:47.680 --> 00:01:49.520]  就是耶路撒冷這個含義
[00:01:49.520 --> 00:01:52.640]  你要先作全福音見證的服事
[00:01:52.640 --> 00:01:56.800]  然後我們就可以去由大全地撒瑪利亞
[00:01:56.800 --> 00:01:59.760]  將來有機會去到地極
[00:01:59.760 --> 00:02:02.240]  但你留意到聖經很清楚地說
[00:02:02.240 --> 00:02:06.640]  這幾個地方不是一個接著一個
[00:02:06.640 --> 00:02:11.360]  而是同時關注的地方
[00:02:11.360 --> 00:02:12.640]  所以你特別留意英文
[00:02:12.640 --> 00:02:14.240]  你就會更加清楚
[00:02:14.240 --> 00:02:17.440]  去到耶路撒冷
[00:02:17.440 --> 00:02:22.720]  and to 猶太全地撒瑪利亞等等
[00:02:22.720 --> 00:02:28.320]  那你說我怎樣能夠同時關注到這些事情呢?
[00:02:28.320 --> 00:02:30.320]  當然不是你和我
[00:02:30.320 --> 00:02:32.720]  而是聖經一開始說到
[00:02:32.720 --> 00:02:36.160]  你們等候從上而來的能力
[00:02:36.160 --> 00:02:37.920]  聖靈降臨在你們身上
[00:02:37.920 --> 00:02:40.480]  你們就必得著能力
[00:02:40.480 --> 00:02:41.440]  在耶路撒冷
[00:02:41.440 --> 00:02:43.440]  猶太全地撒瑪利亞直到地極
[00:02:43.440 --> 00:02:44.960]  作主的見證
[00:02:44.960 --> 00:02:45.680]  它會說:弟兄姊妹
