
[00:00:00.000 --> 00:00:02.600]  我們思想以利亞的靈
[00:00:02.600 --> 00:00:05.320]  或者說心智和他的能力
[00:00:05.320 --> 00:00:07.600]  在開始時我想提及的是
[00:00:07.600 --> 00:00:10.600]  我們常常都會提及到因典
[00:00:10.600 --> 00:00:12.360]  神的因典很大
[00:00:12.360 --> 00:00:16.600]  因此有些朋友會用因典這個字改名
[00:00:16.600 --> 00:00:18.320]  有些叫做Grace
[00:00:18.320 --> 00:00:20.800]  有些叫做因什麼
[00:00:20.800 --> 00:00:22.800]  當時提及到因典的時候
[00:00:22.800 --> 00:00:25.400]  其實因典就是一種能力
[00:00:25.400 --> 00:00:27.200]  因典能到的時候
[00:00:27.200 --> 00:00:29.800]  你能夠做到自己做不到的事情
[00:00:29.800 --> 00:00:31.800]  你不能夠拯救自己
[00:00:31.800 --> 00:00:34.800]  因典能到叫你得到救贖
[00:00:34.800 --> 00:00:37.800]  因典是能力
[00:00:37.800 --> 00:00:41.000]  而聖經裡提及到聖靈的能力的時候
[00:00:41.000 --> 00:00:43.600]  常常連繫於因典
[00:00:43.600 --> 00:00:46.600]  兩方面的意思是常常連在一起
[00:00:46.600 --> 00:00:49.600]  聖靈的能力帶給我們因典
[00:00:49.600 --> 00:00:53.200]  而聖經裡的靈因這個字Charismatic
[00:00:53.200 --> 00:00:56.800]  它的字首就是因典的意思
[00:00:56.800 --> 00:01:00.800]  因典帶進了神的能力
[00:01:00.800 --> 00:01:03.800]  二者之間有密切的關係
[00:01:03.800 --> 00:01:05.800]  但每次當我們想起神的能力
[00:01:05.800 --> 00:01:07.800]  如何能臨到我們身上的時候
[00:01:07.800 --> 00:01:10.200]  發覺一個很重要的障礙
[00:01:10.200 --> 00:01:11.800]  是什麼障礙呢?
[00:01:11.800 --> 00:01:14.200]  就是罪的障礙
[00:01:14.200 --> 00:01:16.200]  就好像一面牆一樣
[00:01:16.200 --> 00:01:18.200]  這面牆令到神的因典
[00:01:18.200 --> 00:01:21.200]  不能夠進入我們的生命裡面
[00:01:21.200 --> 00:01:24.600]  所以歷代的教會都不斷講述一件事情
[00:01:24.600 --> 00:01:27.400]  要能夠領受聖靈的能力
[00:01:27.400 --> 00:01:30.400]  必須先悔罪
[00:01:30.400 --> 00:01:33.000]  歷代很多的大復興運動
[00:01:33.000 --> 00:01:37.800]  必然是有人心很深切的悔罪
[00:01:37.800 --> 00:01:39.000]  因此悔罪當中
[00:01:39.000 --> 00:01:40.800]  將這面牆打塌了
[00:01:40.800 --> 00:01:44.800]  因此聖靈能夠進入我們的生命當中
[00:01:44.800 --> 00:01:46.400]  更新我們的生命
[00:01:46.400 --> 00:01:49.400]  讓我們經歷復興
[00:01:49.400 --> 00:01:51.800]  這種復興不單單在信主那一刻
[00:01:51.800 --> 00:01:54.600]  而是信主之後人生很多不同的階段
[00:01:54.600 --> 00:01:57.200]  去經歷這種生命的復甦
[00:01:57.200 --> 00:02:00.200]  不斷地進一步進一步的更新
[00:02:00.200 --> 00:02:03.200]  而過程當中亦都是在悔罪中
[00:02:03.200 --> 00:02:05.000]  領受聖靈的能力
[00:02:05.000 --> 00:02:06.200]  領受因典
[00:02:06.200 --> 00:02:08.400]  領受更新
[00:02:08.400 --> 00:02:11.000]  而今天在我們的第一節節目當中
[00:02:11.000 --> 00:02:13.800]  亦都可以常常地留心
[00:02:13.800 --> 00:02:16.200]  神啊,求祢賜我復興
[00:02:16.200 --> 00:02:18.400]  有什麼是我自己不察覺的罪
[00:02:18.400 --> 00:02:20.000]  求祢光照
[00:02:20.000 --> 00:02:23.600]  以至我們能夠不斷領受因典
[00:02:23.600 --> 00:02:25.600]  因此今天我們上到以利亞之前
[00:02:25.600 --> 00:02:27.000]  我們首先思想的
[00:02:27.000 --> 00:02:29.000]  就是聖經裡面所說的復興
[00:02:29.000 --> 00:02:31.000]  我們稍微看看這方面
[00:02:31.000 --> 00:02:33.600]  我請你緊要的時候先揭開聖經的
[00:02:33.600 --> 00:02:37.000]  在《馬太福音》之前的一卷
[00:02:37.000 --> 00:02:40.000]  就是《馬拉基書》
[00:02:40.000 --> 00:02:43.000]  舊約的最後一卷書
[00:02:43.000 --> 00:02:48.600]  在《馬拉基書》第四章
[00:02:48.600 --> 00:02:52.000]  亦都是全本舊約最後一章的書
[00:02:52.000 --> 00:03:02.200]  《馬拉基書》第四章
[00:03:02.200 --> 00:03:04.200]  一開始的時候就說到
[00:03:04.200 --> 00:03:06.200]  神的審判
[00:03:06.200 --> 00:03:08.400]  神有祂自己公義的審判
[00:03:08.400 --> 00:03:10.600]  所以第四章第一節就這樣說
[00:03:10.600 --> 00:03:14.600]  「萬君之耶和華說
[00:03:14.600 --> 00:03:16.000]  那日臨近
[00:03:16.000 --> 00:03:17.800]  勢如燒著的火爐
[00:03:17.800 --> 00:03:20.400]  犯狂惡的和行惡的
[00:03:20.400 --> 00:03:22.400]  必如碎階
[00:03:22.400 --> 00:03:24.400]  在那日必被燒盡
[00:03:24.400 --> 00:03:27.400]  根本之條一無全留」
[00:03:27.400 --> 00:03:29.400]  是說到神將祢的審判
[00:03:29.400 --> 00:03:31.400]  是一個很徹底的審判
[00:03:31.400 --> 00:03:33.400]  是一無全留的
[00:03:33.400 --> 00:03:37.400]  作惡的在神面前沒有地位可以站立的
[00:03:37.400 --> 00:03:39.400]  是完全被除滅的
[00:03:39.400 --> 00:03:40.800]  是燒盡的
[00:03:40.800 --> 00:03:42.800]  好像碎階
[00:03:42.800 --> 00:03:44.800]  是和階
[00:03:44.800 --> 00:03:46.400]  是撤碎的
[00:03:46.400 --> 00:03:50.400]  完全沒有機會逃避
[00:03:50.400 --> 00:03:52.800]  神的審判竟然是這麼徹底的
[00:03:52.800 --> 00:03:55.800]  因此人就問神的慈愛在哪裡呢?
[00:03:55.800 --> 00:03:56.800]  聖經就提及
[00:03:56.800 --> 00:03:59.800]  神的慈愛將公義賜給我們
[00:03:59.800 --> 00:04:01.800]  所以第四章第二節說
[00:04:01.800 --> 00:04:05.400]  「但向你們敬畏我名的人
[00:04:05.400 --> 00:04:07.400]  這些信從神的人
[00:04:07.400 --> 00:04:10.200]  必有公義的日頭出現」
[00:04:10.200 --> 00:04:11.800]  他們的公義的生命
[00:04:11.800 --> 00:04:14.800]  好像日頭照亮遍地
[00:04:14.800 --> 00:04:17.800]  而且他們的光線有醫治的能力
[00:04:17.800 --> 00:04:20.200]  我們的身心靈得著醫治
[00:04:20.200 --> 00:04:24.200]  「你們必出來跳躍如圈裡的蜚蜚
[00:04:24.200 --> 00:04:26.200]  一種很喜樂
[00:04:26.200 --> 00:04:28.200]  得到釋放的一種描寫
[00:04:28.200 --> 00:04:30.200]  很快樂,好像牛仔走出來
[00:04:30.200 --> 00:04:34.200]  在跳躍,很歡欣,很快樂的一種情景」
[00:04:34.200 --> 00:04:36.200]  這正是描寫近人得救
[00:04:36.200 --> 00:04:39.200]  蒙釋放之後的處境
