
[00:00:00.000 --> 00:00:07.000]  今天我們繼續查考和領受《聖經》《新約》七十六裡面寶貴的信息
[00:00:07.000 --> 00:00:11.000]  今天我們要領受的信息的題目
[00:00:11.000 --> 00:00:14.000]  就是在七十六裡面提到的
[00:00:14.000 --> 00:00:19.000]  有七種的聲音從寶座上發出來
[00:00:19.000 --> 00:00:24.000]  上一次我們看見有七種的聲音從天上發出來
[00:00:24.000 --> 00:00:26.000]  這一次我們進一步來看
[00:00:26.000 --> 00:00:32.000]  在七十六當中有七次的聲音從寶座上發出來
[00:00:32.000 --> 00:00:34.000]  這是何等的寶貴
[00:00:34.000 --> 00:00:39.000]  我們現在看第一種從寶座上發出來的聲音
[00:00:39.000 --> 00:00:43.000]  記載在七十六第十六章十七節
[00:00:43.000 --> 00:00:47.000]  十六章十七節我讀給大家聽
[00:00:47.000 --> 00:00:51.000]  第七位天使把碗倒在空中
[00:00:51.000 --> 00:00:57.000]  就有大聲音從殿中的寶座上出來說成了
[00:00:57.000 --> 00:01:02.000]  在這個聲音裡面有兩點值得我們特別的注意
[00:01:02.000 --> 00:01:05.000]  第一點就是寶座
[00:01:05.000 --> 00:01:10.000]  是殿中的寶座就是神的寶座
[00:01:10.000 --> 00:01:15.000]  第二點值得我們注意的就是成了這個呼聲
[00:01:15.000 --> 00:01:18.000]  我們先注意寶座
[00:01:18.000 --> 00:01:23.000]  在七十六裡面神的寶座經過了三個階段
[00:01:23.000 --> 00:01:27.000]  第一個階段是完全隱藏的階段
[00:01:27.000 --> 00:01:32.000]  第二個階段是半隱半現的階段
[00:01:32.000 --> 00:01:36.000]  第三個階段是完全顯露的階段
[00:01:36.000 --> 00:01:40.000]  第一個階段在完全隱藏的階段
[00:01:40.000 --> 00:01:43.000]  是在第一章第四節給我們看見
[00:01:43.000 --> 00:01:51.000]  那裡提到神的寶座但是那個寶座像一般人是隱藏的
[00:01:51.000 --> 00:01:55.000]  當時人所看見的只有一個寶座
[00:01:55.000 --> 00:01:57.000]  就是羅馬帝國的寶座
[00:01:57.000 --> 00:02:00.000]  人伏在那個寶座之下
[00:02:00.000 --> 00:02:07.000]  而神的寶座完全被隱藏在羅馬帝國的寶座的後面
[00:02:07.000 --> 00:02:10.000]  只有約翰在這個騎士中間
[00:02:10.000 --> 00:02:14.000]  才看見了那一個隱藏的寶座
[00:02:14.000 --> 00:02:21.000]  第二個階段就是聖殿一半隱藏一半顯露
[00:02:21.000 --> 00:02:25.000]  就是剛才我們讀的這一節聖經所告訴我們的
[00:02:25.000 --> 00:02:27.000]  十六章十七節
[00:02:27.000 --> 00:02:31.000]  這裡告訴我們寶座是在神的殿中
[00:02:31.000 --> 00:02:35.000]  只有在殿中的人看見神的寶座
[00:02:35.000 --> 00:02:39.000]  聖殿外面的一般人看不見神的寶座
[00:02:39.000 --> 00:02:42.000]  基督徒在聖殿中
[00:02:42.000 --> 00:02:44.000]  他們看見了神的寶座
[00:02:44.000 --> 00:02:46.000]  他們接受神的寶座
[00:02:46.000 --> 00:02:49.000]  他們伏伏在寶座前
[00:02:49.000 --> 00:02:53.000]  他們接受從寶座上發出來的命令
[00:02:53.000 --> 00:02:57.000]  他們擁戴那位坐在寶座上的神
[00:02:57.000 --> 00:03:05.000]  第三個階段就是第二十一章第三節和第五節給我們看見的
[00:03:05.000 --> 00:03:09.000]  那裡提到神的寶座完全顯明出來
[00:03:09.000 --> 00:03:12.000]  成為宇宙的中心
[00:03:12.000 --> 00:03:15.000]  神在寶座上宣告
[00:03:15.000 --> 00:03:19.000]  祂的一切的計劃和作為都已經完全了
[00:03:19.000 --> 00:03:22.000]  百分之百的完成了
[00:03:22.000 --> 00:03:26.000]  神的寶座經過這三個階段
[00:03:26.000 --> 00:03:30.000]  我們今天是在第二個階段
[00:03:30.000 --> 00:03:33.000]  我們在教會裡面看見神的寶座
[00:03:33.000 --> 00:03:35.000]  祂坐王掌權
[00:03:35.000 --> 00:03:37.000]  但是在世上一般人中間
[00:03:37.000 --> 00:03:40.000]  我們還看不見神的寶座
[00:03:40.000 --> 00:03:44.000]  但是我們憑信心向前面看
[00:03:44.000 --> 00:03:47.000]  看見二十一章第三節第五節
[00:03:47.000 --> 00:03:51.000]  神的寶座完完全全的顯露出來
[00:03:51.000 --> 00:03:57.000]  今天我們是用信心等候第三個階段的來臨
[00:03:57.000 --> 00:03:58.000]  我們感謝神
