
[00:00:00.000 --> 00:00:05.000]  頂智滿你第一次覺得你整個人生很辛苦
[00:00:05.000 --> 00:00:08.000]  很艱難是何時?
[00:00:08.000 --> 00:00:10.000]  特別是在你信主之後
[00:00:10.000 --> 00:00:15.000]  可能你仍然會遇到艱難困苦
[00:00:15.000 --> 00:00:16.000]  對於我來說
[00:00:16.000 --> 00:00:20.000]  我想起早在我十歲的時候
[00:00:20.000 --> 00:00:21.000]  在我一歲半的時候
[00:00:21.000 --> 00:00:24.000]  爸爸媽媽就帶我去台灣
[00:00:24.000 --> 00:00:25.000]  一去就九年
[00:00:25.000 --> 00:00:30.000]  很自然我的童年大部分時間都在台灣度過
[00:00:30.000 --> 00:00:32.000]  讀台灣小朋友讀的書
[00:00:32.000 --> 00:00:34.000]  國語
[00:00:34.000 --> 00:00:37.000]  回台灣小朋友的學校
[00:00:37.000 --> 00:00:39.000]  十歲那年爸爸媽媽回香港
[00:00:39.000 --> 00:00:41.000]  我就要回來香港插班
[00:00:41.000 --> 00:00:44.000]  入讀香港小學的五年班
[00:00:44.000 --> 00:00:46.000]  那一年是我人生第一次
[00:00:46.000 --> 00:00:48.000]  在台灣讀書的時間
[00:00:48.000 --> 00:00:50.000]  我一開始就在台灣讀書
[00:00:50.000 --> 00:00:54.000]  入讀香港小學的五年班
[00:00:54.000 --> 00:00:56.000]  那一年是我人生第一次
[00:00:56.000 --> 00:01:00.000]  我覺得是很長時間經歷挫敗的一年
[00:01:00.000 --> 00:01:02.000]  很艱難很辛苦
[00:01:02.000 --> 00:01:05.000]  好像整個世界都不同了
[00:01:05.000 --> 00:01:09.000]  因為當年台灣小學是沒有英文讀的
[00:01:09.000 --> 00:01:12.000]  他們中學才開始學英文
[00:01:12.000 --> 00:01:15.000]  我連二十六個英文字母都未背齊
[00:01:15.000 --> 00:01:18.000]  第一天回到班房學英文
[00:01:18.000 --> 00:01:22.000]  Hence, go went gone
[00:01:22.000 --> 00:01:23.000]  未懂得二十六個英文字母
[00:01:23.000 --> 00:01:25.000]  怎樣可以讀到呢?
[00:01:25.000 --> 00:01:26.000]  慘了
[00:01:26.000 --> 00:01:27.000]  除了一般的功課外
[00:01:27.000 --> 00:01:30.000]  我要額外的從幼稚園的英文讀起
[00:01:30.000 --> 00:01:32.000]  覺得很辛苦
[00:01:32.000 --> 00:01:34.000]  第一次墨書
[00:01:34.000 --> 00:01:35.000]  零分
[00:01:35.000 --> 00:01:37.000]  第二次墨書
[00:01:37.000 --> 00:01:38.000]  又是零分
[00:01:38.000 --> 00:01:41.000]  第三次墨書
[00:01:41.000 --> 00:01:43.000]  老師都覺得
[00:01:43.000 --> 00:01:44.000]  你真的不行了
[00:01:44.000 --> 00:01:47.000]  給了你一份Unseen Dictation的紙
[00:01:47.000 --> 00:01:48.000]  你去讀吧
[00:01:48.000 --> 00:01:53.000]  我也是拿到二十三分
[00:01:53.000 --> 00:01:56.000]  一直這樣捱下去
[00:01:56.000 --> 00:01:59.000]  其實作為小朋友都已經擔心
[00:01:59.000 --> 00:02:00.000]  讀不好書會怎樣
[00:02:00.000 --> 00:02:03.000]  以後人生的路可以怎樣走呢?
[00:02:03.000 --> 00:02:04.000]  很困難
[00:02:04.000 --> 00:02:06.000]  可以怎樣呢?
[00:02:06.000 --> 00:02:07.000]  畢竟都是小朋友
[00:02:07.000 --> 00:02:08.000]  不太懂
[00:02:08.000 --> 00:02:11.000]  爸爸媽媽就跟我祈禱
[00:02:11.000 --> 00:02:13.000]  每天祈禱
[00:02:13.000 --> 00:02:15.000]  上學出門又祈禱
[00:02:15.000 --> 00:02:17.000]  吃飯又祈禱
[00:02:17.000 --> 00:02:21.000]  墨書更加要多祈禱
[00:02:21.000 --> 00:02:22.000]  弟兄姊妹前路茫茫
[00:02:22.000 --> 00:02:25.000]  我們肯定都會祈禱的
[00:02:25.000 --> 00:02:28.000]  遇到困境我們一定會向神禱告的
[00:02:28.000 --> 00:02:30.000]  我們會求神給出路
[00:02:30.000 --> 00:02:32.000]  我們求神開路
[00:02:32.000 --> 00:02:35.000]  甚至我們說我們等神你做事
[00:02:35.000 --> 00:02:38.000]  我們等候神
[00:02:38.000 --> 00:02:40.000]  但可能有時候我們太心急了
[00:02:40.000 --> 00:02:42.000]  不知道是不是我們的手錶
[00:02:42.000 --> 00:02:43.000]  跟神的手錶不同
[00:02:43.000 --> 00:02:44.000]  我們的手錶快一點
[00:02:44.000 --> 00:02:45.000]  經常都覺得神啊
[00:02:45.000 --> 00:02:47.000]  為什麼你還不做事呢?
