
[00:00:00.000 --> 00:00:02.240]  我們每一年的結尾
[00:00:02.240 --> 00:00:04.160]  通常在不同的電視台
[00:00:04.160 --> 00:00:07.960]  就會有這一年的十大新聞
[00:00:07.960 --> 00:00:10.440]  十大財經新聞、十大事件
[00:00:10.440 --> 00:00:12.320]  就是這一年發生最重要的事
[00:00:12.320 --> 00:00:14.840]  這些事是什麼呢?
[00:00:14.840 --> 00:00:16.840]  如果再從闊一點的角度去說
[00:00:16.840 --> 00:00:18.360]  在人類的歷史裡面
[00:00:18.360 --> 00:00:19.520]  最重要的事是什麼呢?
[00:00:19.520 --> 00:00:21.680]  大家如果想起
[00:00:21.680 --> 00:00:22.920]  人類發生了很多事
[00:00:22.920 --> 00:00:25.000]  自有歷史記載以來
[00:00:25.000 --> 00:00:26.800]  如果從聖經的角度
[00:00:26.800 --> 00:00:29.960]  在人類最重要的事件是什麼呢?
[00:00:29.960 --> 00:00:31.680]  就是耶穌的降生
[00:00:31.680 --> 00:00:34.920]  當人犯罪之後離開了上帝
[00:00:34.920 --> 00:00:38.120]  人就在罪惡當中離開上帝
[00:00:38.120 --> 00:00:39.920]  世間就種種的罪惡
[00:00:39.920 --> 00:00:41.920]  上帝讓耶穌來到地上
[00:00:41.920 --> 00:00:43.840]  讓黑暗中的人
[00:00:43.840 --> 00:00:45.200]  包括我們每一個人
[00:00:45.200 --> 00:00:46.600]  都能夠見到光明
[00:00:46.600 --> 00:00:49.400]  知道怎樣走一條光明的路
[00:00:49.400 --> 00:00:52.040]  所以可以說耶穌的降生
[00:00:52.040 --> 00:00:56.080]  在人類歷史裡面是最重要的事件
[00:00:56.080 --> 00:00:57.720]  在一個馬太科目裡面
[00:00:57.720 --> 00:01:01.800]  記載了耶穌降生的事蹟
[00:01:01.800 --> 00:01:03.400]  或發生了什麼事
[00:01:03.400 --> 00:01:07.800]  在上個星期我們看過耶穌的家譜
[00:01:07.800 --> 00:01:10.880]  這裡就說了耶穌的來歷
[00:01:10.880 --> 00:01:14.800]  耶穌離開的開端是怎樣的呢?
[00:01:14.800 --> 00:01:17.120]  上帝作為差弼的救主
[00:01:17.120 --> 00:01:19.360]  開始的時候發生了什麼事呢?
[00:01:19.360 --> 00:01:24.960]  這裡說約瑟和瑪利亞訂婚了
[00:01:24.960 --> 00:01:26.120]  有了婚約
[00:01:26.120 --> 00:01:27.480]  這裡很清楚地說
[00:01:27.480 --> 00:01:29.240]  還沒有迎娶
[00:01:29.240 --> 00:01:30.360]  其實是強調
[00:01:30.360 --> 00:01:34.000]  他們還沒有任何夫妻的關係
[00:01:34.000 --> 00:01:35.160]  但是這一刻裡面
[00:01:35.160 --> 00:01:38.840]  就是瑪利亞有了新人
[00:01:38.840 --> 00:01:40.320]  作為約瑟
