
[00:00:00.000 --> 00:00:05.600]  我們今天繼續地思想關於侍奉的真理
[00:00:05.600 --> 00:00:09.100]  我們根據聖經來彼此的勉勵
[00:00:09.100 --> 00:00:13.100]  使我們的侍奉更加符合主的心意
[00:00:13.100 --> 00:00:15.100]  蒙他的悅納
[00:00:15.100 --> 00:00:20.600]  我今天要和大家一同領受的是在舊約裏面
[00:00:20.600 --> 00:00:21.800]  創世紀
[00:00:21.800 --> 00:00:25.800]  創世紀十八章
[00:00:25.800 --> 00:00:29.500]  第一節到第八節
[00:00:29.500 --> 00:00:32.300]  在這一段的聖經裏面
[00:00:32.300 --> 00:00:37.000]  記載亞伯拉罕如何地侍奉神
[00:00:37.000 --> 00:00:41.200]  他在侍奉中的心情、態度
[00:00:41.200 --> 00:00:43.300]  可以做我們的榜樣
[00:00:43.300 --> 00:00:48.600]  我把這一段聖經很快地讀一次
[00:00:48.600 --> 00:00:50.400]  十八章第一節
[00:00:50.400 --> 00:00:53.000]  耶和華在曼利相術那裏
[00:00:53.000 --> 00:00:55.600]  向亞伯拉罕顯現出來
[00:00:55.600 --> 00:00:57.200]  那時正熱
[00:00:57.200 --> 00:00:59.800]  亞伯拉罕坐在帳篷門口
[00:00:59.800 --> 00:01:01.500]  局目觀看
[00:01:01.500 --> 00:01:04.200]  見有三個人在對面站着
[00:01:04.200 --> 00:01:09.000]  他一見就從帳篷門口跑去迎接他們
[00:01:09.000 --> 00:01:10.800]  夫婦在地說
[00:01:10.800 --> 00:01:13.900]  我主,我若在你眼前猛恩
[00:01:13.900 --> 00:01:16.900]  求你不要離開僕人往前去
[00:01:16.900 --> 00:01:18.900]  容我拿點水來
[00:01:18.900 --> 00:01:20.300]  你們洗洗腳
[00:01:20.300 --> 00:01:22.900]  在樹下歇息歇息
[00:01:22.900 --> 00:01:24.900]  我再拿一點餅來
[00:01:24.900 --> 00:01:26.900]  你們可以加添心力
[00:01:26.900 --> 00:01:29.200]  然後往前去
[00:01:29.200 --> 00:01:32.300]  你們知道僕人這裏來理當如此
[00:01:32.300 --> 00:01:33.200]  他們說
[00:01:33.200 --> 00:01:35.500]  就照你說的行吧
[00:01:35.500 --> 00:01:38.000]  亞伯拉罕急忙進帳篷
[00:01:38.000 --> 00:01:39.600]  見撒拉說
[00:01:39.600 --> 00:01:44.500]  你叔叔拿三細鴨細面
[00:01:44.500 --> 00:01:46.200]  調和做餅
[00:01:46.200 --> 00:01:48.900]  亞伯拉罕又跑到牛羣裏
[00:01:48.900 --> 00:01:52.300]  牽了一隻又嫩又好的牛犢來
[00:01:52.300 --> 00:01:53.800]  交給僕人
[00:01:53.800 --> 00:01:55.800]  僕人急忙預備好了
[00:01:55.800 --> 00:01:58.800]  亞伯拉罕又取了奶油和奶
[00:01:58.800 --> 00:02:00.800]  並預備好的牛犢來
[00:02:00.800 --> 00:02:02.700]  擺在他們面前
[00:02:02.700 --> 00:02:05.600]  自己在樹下站在旁邊
[00:02:05.600 --> 00:02:07.500]  他們就喫了
[00:02:07.500 --> 00:02:09.400]  在這段經文裏面
[00:02:09.400 --> 00:02:12.200]  我們看見第一節告訴我們
[00:02:12.200 --> 00:02:15.100]  神向亞伯拉罕顯現
[00:02:15.100 --> 00:02:20.600]  用人的形象向亞伯拉罕顯現
[00:02:20.600 --> 00:02:23.600]  第二節給我們看見
