
[00:00:00.000 --> 00:00:04.000]  我今日想同大家分享兩個重點
[00:00:04.000 --> 00:00:07.000]  第一個重點就是提到聖經裏面
[00:00:07.000 --> 00:00:11.000]  上上勉勵我們要反省
[00:00:11.000 --> 00:00:13.000]  反省神在我們生命當中
[00:00:13.000 --> 00:00:16.000]  佔一個甚麼的位置
[00:00:16.000 --> 00:00:18.000]  第二方面我想同大家分享的
[00:00:18.000 --> 00:00:22.000]  聖經裏面提到我們侍奉神
[00:00:22.000 --> 00:00:24.000]  不要灰心
[00:00:24.000 --> 00:00:29.000]  不要放棄繼續一生來侍奉主
[00:00:29.000 --> 00:00:31.000]  而正正在今日的哈該書裏面
[00:00:31.000 --> 00:00:33.000]  給我們這方面很重要
[00:00:33.000 --> 00:00:36.000]  神給我們的勉勵和提醒
[00:00:36.000 --> 00:00:38.000]  首先第一方面你發覺
[00:00:38.000 --> 00:00:40.000]  當我們讀到哈該書的時候
[00:00:40.000 --> 00:00:43.000]  你記得這段時間我讀到以色拉記
[00:00:43.000 --> 00:00:47.000]  提到百姓被神的靈感動、激動
[00:00:47.000 --> 00:00:51.000]  他們就一起上到耶路撒冷重建聖殿
[00:00:51.000 --> 00:00:55.000]  聖經提到有四萬二千人一起上去
[00:00:55.000 --> 00:00:57.000]  他們在當中他們很歡喜、很快樂
[00:00:57.000 --> 00:01:00.000]  聖經描述他們當時歡欣喜樂
[00:01:00.000 --> 00:01:03.000]  一起去重建神的聖殿
[00:01:03.000 --> 00:01:06.000]  但很快他們就面對很多的困難
[00:01:06.000 --> 00:01:10.000]  有些當地敵對他們的人去擾亂他們
[00:01:10.000 --> 00:01:15.000]  他們又上書給當時的君王去控告這班猶太人
[00:01:15.000 --> 00:01:16.000]  他們在搞事
[00:01:16.000 --> 00:01:18.000]  他們在推翻你們
[00:01:18.000 --> 00:01:20.000]  推翻王的權位
[00:01:20.000 --> 00:01:22.000]  很多誣告
[00:01:22.000 --> 00:01:25.000]  因此很快工程就停頓了
[00:01:25.000 --> 00:01:29.000]  一停就停了差不多二十年
[00:01:29.000 --> 00:01:32.000]  所以上個星期我們讀到哈該書第一章的時候
[00:01:32.000 --> 00:01:36.000]  你記得聖經就提到哈該提醒他們
[00:01:36.000 --> 00:01:38.000]  神的殿仍然荒涼
[00:01:38.000 --> 00:01:45.000]  你們仍然只顧自己天花板很華麗的房屋嗎?
[00:01:45.000 --> 00:01:47.000]  神就透過哈該提醒他們
[00:01:47.000 --> 00:01:50.000]  你們不要忘記神的殿
[00:01:50.000 --> 00:01:53.000]  不要忘記屬靈的事情
[00:01:53.000 --> 00:01:56.000]  你們要記得要去轉移
[00:01:56.000 --> 00:02:00.000]  去向準神
[00:02:00.000 --> 00:02:01.000]  在過程當中
[00:02:01.000 --> 00:02:04.000]  你讀哈該書一章的時候就發覺
[00:02:04.000 --> 00:02:08.000]  上帝不斷提醒他們要反省自己
[00:02:08.000 --> 00:02:11.000]  你看回聖經前面第一章
[00:02:11.000 --> 00:02:16.000]  是第一章的第五節
[00:02:16.000 --> 00:02:20.000]  中間就說你們要反省自己的行為
[00:02:20.000 --> 00:02:23.000]  反省為何生活上很多努力
[00:02:23.000 --> 00:02:26.000]  但事倍功半
[00:02:26.000 --> 00:02:29.000]  得不到所想得到的成果
[00:02:29.000 --> 00:02:31.000]  然後去到第七節
[00:02:31.000 --> 00:02:32.000]  又再提醒他們
[00:02:32.000 --> 00:02:35.000]  你們要反省自己的行為
[00:02:35.000 --> 00:02:39.000]  要快快上山上取木材去建造殿宇
[00:02:39.000 --> 00:02:41.000]  兩次提及
[00:02:41.000 --> 00:02:44.000]  而去到第二章的時候又再重覆提及
[00:02:44.000 --> 00:02:51.000]  大家遣去後面第二章第十五節
