
[00:00:00.000 --> 00:00:02.240]  玉加斯三十五章
[00:00:02.240 --> 00:00:06.000]  亦是主耶穌說的比喻的一章經文
[00:00:06.000 --> 00:00:08.480]  當祂說這些比喻的時候
[00:00:08.480 --> 00:00:11.320]  當時祂是面對著一種挑戰
[00:00:11.320 --> 00:00:14.000]  或是一種取笑
[00:00:14.000 --> 00:00:16.920]  在過程裏面祂回應這些取笑
[00:00:16.920 --> 00:00:22.080]  將祂心裏那種很願意尋找羊或人
[00:00:22.080 --> 00:00:25.400]  到祂裏面的一種心情
[00:00:25.400 --> 00:00:27.520]  我們今天也嘗試去體貼
[00:00:27.520 --> 00:00:29.440]  這位天地的主
[00:00:29.440 --> 00:00:33.120]  祂怎樣願意尋找迷羊
[00:00:33.120 --> 00:00:35.920]  我們也一同與祂同心
[00:00:35.920 --> 00:00:37.920]  在聖經開始的時候你會發覺
[00:00:37.920 --> 00:00:39.520]  聖經就說到有一群的
[00:00:39.520 --> 00:00:41.320]  「稅吏」和「罪人」
[00:00:41.320 --> 00:00:43.320]  十五章第一節
[00:00:43.320 --> 00:00:46.400]  「眾稅吏和罪人都接近耶穌
[00:00:46.400 --> 00:00:48.400]  要聽他講道
[00:00:48.400 --> 00:00:51.520]  法利錯人和傾學家紛紛以論說
[00:00:51.520 --> 00:00:53.120]  這個人接待罪人
[00:00:53.120 --> 00:00:56.800]  又和他們一起吃飯」
[00:00:56.800 --> 00:00:57.760]  我們讀聖經的時候
[00:00:57.760 --> 00:01:02.320]  常常讀到在當時有很多的「稅吏」
[00:01:02.320 --> 00:01:04.400]  「稅吏」大家會知道在當時來說
[00:01:04.400 --> 00:01:07.560]  是一些被人輕視或被鄙視的人
[00:01:07.560 --> 00:01:09.520]  因為他們雖然是猶太人
[00:01:09.520 --> 00:01:12.720]  但他們是代表了羅馬政府
[00:01:12.720 --> 00:01:15.080]  來做收稅的工作
[00:01:15.080 --> 00:01:16.800]  他們帶著一種權柄
[00:01:16.800 --> 00:01:18.840]  可以來按他們的意思
[00:01:18.840 --> 00:01:21.560]  收取多少的稅項
[00:01:21.560 --> 00:01:24.320]  當然羅馬政府對他們有一個固定的要求
[00:01:24.320 --> 00:01:26.880]  要達到某一個稅收的目標
[00:01:26.880 --> 00:01:29.520]  但他們始終是收多收少
[00:01:29.520 --> 00:01:32.320]  是他們可以自由去安排
[00:01:32.320 --> 00:01:34.560]  因此他們利用這個權柄
[00:01:34.560 --> 00:01:38.440]  剝削很多很多他們同胞的金錢
[00:01:38.440 --> 00:01:41.800]  因此被人鄙視
[00:01:41.800 --> 00:01:45.520]  是不受歡迎被排斥的一群
[00:01:45.520 --> 00:01:47.200]  聖經又提到有其他的罪人
[00:01:47.200 --> 00:01:50.680]  當然包括一些在道德上犯罪的人
[00:01:50.680 --> 00:01:53.880]  亦包括了被當時猶太人輕視
[00:01:53.880 --> 00:01:59.000]  他們犯了一些律法的潔淨禮儀的人
[00:01:59.000 --> 00:02:01.200]  可能甚至因為他們的工作緣故
[00:02:01.200 --> 00:02:04.400]  要接觸一些他們被認為污穢的生畜
[00:02:04.400 --> 00:02:07.160]  所以都被看待為罪人
[00:02:07.160 --> 00:02:10.080]  很多這些人是被人輕視
[00:02:10.080 --> 00:02:11.840]  是他們知道的
[00:02:11.840 --> 00:02:15.720]  但他們竟然接近耶穌的時候
[00:02:15.720 --> 00:02:19.160]  耶穌是很樂意接待他們
