
[00:00:00.000 --> 00:00:04.200]  因為在耶穌的處理裏
[00:00:04.200 --> 00:00:07.880]  指責一班猶太人的宗教領袖
[00:00:07.880 --> 00:00:12.080]  就是他們的權兵和他們的工作
[00:00:12.080 --> 00:00:16.640]  管理聖殿的工作是猶太人的宗教領袖所擁有
[00:00:16.640 --> 00:00:19.920]  他們認為我們是代表上帝
[00:00:19.920 --> 00:00:22.840]  我們是擁有從上帝而來的權兵
[00:00:22.840 --> 00:00:25.320]  所以凡是抵擋我們
[00:00:25.320 --> 00:00:27.440]  不同意我們的人
[00:00:27.440 --> 00:00:29.480]  其實就是不屬於上帝
[00:00:29.480 --> 00:00:32.680]  某程度上是屬於撒旦
[00:00:32.680 --> 00:00:35.880]  在這樣的背景裏
[00:00:35.880 --> 00:00:39.080]  一班猶太人的宗教領袖
[00:00:39.080 --> 00:00:42.320]  祭司長和文士和一些長老
[00:00:42.320 --> 00:00:46.080]  來到耶穌面前問祂一個問題
[00:00:46.080 --> 00:00:49.880]  就是你仗著甚麼權兵去做這件事
[00:00:49.880 --> 00:00:53.240]  給你這個權兵的是哪一個呢?
[00:00:53.240 --> 00:00:57.280]  在問耶穌你的權兵究竟來自甚麼地方
[00:00:57.280 --> 00:00:58.760]  耶穌很清楚知道
[00:00:58.760 --> 00:01:03.800]  其實這班人不是單純想問一個問題
[00:01:03.800 --> 00:01:07.480]  他們是想捉拿耶穌的把柄
[00:01:07.480 --> 00:01:13.240]  如果耶穌直說我的權兵是來自上帝
[00:01:13.240 --> 00:01:15.400]  這班猶太人的宗教領袖
[00:01:15.400 --> 00:01:19.400]  就馬上用這個作為一個理由
[00:01:19.400 --> 00:01:21.560]  去捉拿耶穌
[00:01:21.560 --> 00:01:24.120]  說耶穌說了一些前往的說話
[00:01:24.120 --> 00:01:29.560]  說自己是來自上帝的差派
[00:01:29.560 --> 00:01:31.600]  耶穌沒有直接回答一個問題
[00:01:31.600 --> 00:01:33.880]  耶穌反問他們一個問題
[00:01:33.880 --> 00:01:37.680]  就是究竟施洗約翰的洗禮
[00:01:37.680 --> 00:01:40.760]  是從天上來還是從人間來呢?
[00:01:40.760 --> 00:01:43.520]  其實是問究竟你們認為
[00:01:43.520 --> 00:01:45.720]  究竟施洗約翰的權兵
[00:01:45.720 --> 00:01:49.800]  是從上帝而來還是從人間而來呢?
[00:01:49.800 --> 00:01:52.360]  耶穌沒有直接回答
[00:01:52.360 --> 00:01:55.880]  一班猶太人的宗教領袖的問題
[00:01:55.880 --> 00:01:57.760]  耶穌不是膽怯
[00:01:57.760 --> 00:01:59.720]  耶穌知道他們的詭計
[00:01:59.720 --> 00:02:02.480]  耶穌在這裡作出回應
[00:02:02.480 --> 00:02:04.800]  其實有兩個很重要的作用
[00:02:04.800 --> 00:02:07.520]  第一 耶穌很清楚知道
[00:02:07.520 --> 00:02:10.120]  他自己被釘十字架
[00:02:10.120 --> 00:02:13.960]  不是一個被動的情況
[00:02:13.960 --> 00:02:17.360]  不是一個被動的處境
[00:02:17.360 --> 00:02:20.200]  不是被人逼到牆角
[00:02:20.200 --> 00:02:22.960]  然後被釘十字架
[00:02:22.960 --> 00:02:24.840]  耶穌在這裡很清楚地表達
