
[00:00:00.000 --> 00:00:04.000]  返到羅馬書第八章
[00:00:04.000 --> 00:00:08.000]  羅馬書第八章
[00:00:08.000 --> 00:00:17.000]  那麼大家經過了近時的禱告
[00:00:17.000 --> 00:00:21.000]  可能感覺到很疲倦
[00:00:21.000 --> 00:00:24.000]  那麼這一堂的聚會呢
[00:00:24.000 --> 00:00:26.000]  我們要仰望神
[00:00:26.000 --> 00:00:29.000]  加給我們精神力量
[00:00:29.000 --> 00:00:33.000]  我們從處的話語中來領受
[00:00:33.000 --> 00:00:37.000]  來學習關於聖靈的工作
[00:00:37.000 --> 00:00:39.000]  在我們的身上
[00:00:39.000 --> 00:00:42.000]  在我們的工作中、生活中
[00:00:42.000 --> 00:00:45.000]  在羅馬書第八章
[00:00:45.000 --> 00:00:52.000]  我們看見可以叫做聖靈章的經文
[00:00:52.000 --> 00:00:54.000]  在聖經裏頭
[00:00:54.000 --> 00:00:58.000]  有些章可以給它特別的名稱的
[00:00:58.000 --> 00:01:01.000]  好像臨前十五章
[00:01:01.000 --> 00:01:04.000]  可以叫做復活章
[00:01:04.000 --> 00:01:07.000]  好像格林多前書十三章
[00:01:07.000 --> 00:01:10.000]  可以叫做愛章
[00:01:10.000 --> 00:01:13.000]  就好像希伯來書十一章
[00:01:13.000 --> 00:01:16.000]  可以叫做信心章
[00:01:16.000 --> 00:01:19.000]  那麼羅馬書第八章呢
[00:01:19.000 --> 00:01:23.000]  可以叫做聖靈章
[00:01:23.000 --> 00:01:27.000]  那麼在這一章經文裏頭
[00:01:27.000 --> 00:01:31.000]  師徒保羅將主耶穌的工作
[00:01:31.000 --> 00:01:34.000]  和聖靈的工作
[00:01:34.000 --> 00:01:36.000]  並排在一起
[00:01:36.000 --> 00:01:42.000]  一對一對的講述給我們聽
[00:01:42.000 --> 00:01:47.000]  這是很特殊的一種的結構
[00:01:47.000 --> 00:01:50.000]  基督的工作、聖靈的工作
[00:01:50.000 --> 00:01:53.000]  形成一對一對的重點
[00:01:53.000 --> 00:01:58.000]  而且是很重要的重點
[00:01:58.000 --> 00:02:02.000]  一個研究聖靈工作的人
[00:02:02.000 --> 00:02:05.000]  必須好好地注意
[00:02:05.000 --> 00:02:11.000]  來分析靈授這一章所說的
[00:02:11.000 --> 00:02:17.000]  在保羅所講的這一章的信息的後面
[00:02:17.000 --> 00:02:21.000]  是有舊約的根據
[00:02:21.000 --> 00:02:26.000]  也許我們先把舊約裏面所提到的
[00:02:26.000 --> 00:02:34.000]  與此有關的經文來看一看
[00:02:34.000 --> 00:02:39.000]  請大家搬到歷位記第十四章
[00:02:39.000 --> 00:02:43.000]  歷位記第十四章
[00:02:43.000 --> 00:02:49.000]  十四節到十七節
[00:02:49.000 --> 00:02:52.000]  歷位記十四章
[00:02:52.000 --> 00:02:55.000]  十四到十七
[00:02:55.000 --> 00:02:59.000]  祭司要出些數千級的寄生的血
[00:02:59.000 --> 00:03:02.000]  抹在求潔淨人的右耳腿上
[00:03:02.000 --> 00:03:04.000]  和右手的大拇指上
[00:03:04.000 --> 00:03:06.000]  並右腳的大拇指上
[00:03:06.000 --> 00:03:09.000]  祭司要從那一羅閣
[00:03:09.000 --> 00:03:13.000]  由中取先倒在自己的左手掌裏
[00:03:13.000 --> 00:03:15.000]  把右手的一個指頭
[00:03:15.000 --> 00:03:17.000]  粘在左手的油裏
[00:03:17.000 --> 00:03:20.000]  在油畫面前用指頭彈七次
[00:03:20.000 --> 00:03:22.000]  將手裏所剩的油
[00:03:22.000 --> 00:03:25.000]  抹在那求潔淨的人的右耳腿上
[00:03:25.000 --> 00:03:26.000]  和右手的大拇指上
[00:03:26.000 --> 00:03:28.000]  並右腳的大拇指上
[00:03:28.000 --> 00:03:35.000]  就是抹在數千級生的血上
[00:03:35.000 --> 00:03:36.000]  在這裏提到
[00:03:36.000 --> 00:03:38.000]  當一個人得到了潔淨
[00:03:38.000 --> 00:03:40.000]  來到祭司面前
[00:03:40.000 --> 00:03:47.000]  要舉行一個潔淨禮的時候要做的事
[00:03:47.000 --> 00:03:50.000]  這個祭司要將兩樣
[00:03:50.000 --> 00:03:55.000]  抹在這個得潔淨的人的身上
[00:03:55.000 --> 00:03:57.000]  先是抹血
[00:03:57.000 --> 00:04:00.000]  後來跟着抹油
[00:04:00.000 --> 00:04:01.000]  血和油
[00:04:01.000 --> 00:04:07.000]  抹在這個人身體上同一的部分
[00:04:07.000 --> 00:04:10.000]  就是在右耳腿上
[00:04:10.000 --> 00:04:12.000]  右手的大拇指上
[00:04:12.000 --> 00:04:14.000]  右腳的大拇指上
[00:04:14.000 --> 00:04:15.000]  三處地方
[00:04:15.000 --> 00:04:17.000]  先抹血
[00:04:17.000 --> 00:04:19.000]  跟着抹油
[00:04:19.000 --> 00:04:23.000]  那麼爲什麼抹血之後還要抹油呢?
[00:04:23.000 --> 00:04:25.000]  血還不夠嗎?
[00:04:25.000 --> 00:04:28.000]  爲什麼還要再抹油?
[00:04:28.000 --> 00:04:32.000]  那我們知道在預表學裏面
[00:04:32.000 --> 00:04:38.000]  學在舊約中是預表基督的贖罪之供
[00:04:38.000 --> 00:04:40.000]  它的寶學
[00:04:40.000 --> 00:04:42.000]  洗淨我們的罪
[00:04:42.000 --> 00:04:46.000]  油是象徵聖靈的工作
[00:04:46.000 --> 00:04:50.000]  那麼既然有了基督的寶學的工作
[00:04:50.000 --> 00:04:51.000]  還不夠嗎?
[00:04:51.000 --> 00:04:55.000]  爲什麼還要再加上聖靈的工作?
[00:04:55.000 --> 00:04:57.000]  抹了血又抹油
[00:04:57.000 --> 00:05:06.000]  而且血和油是抹在這個人同樣的三處的地方
[00:05:06.000 --> 00:05:08.000]  這個意思就是說
[00:05:08.000 --> 00:05:14.000]  主耶穌的工作和聖靈的工作互相配達
[00:05:14.000 --> 00:05:21.000]  是完全的救恩的兩個要素
[00:05:21.000 --> 00:05:25.000]  聖靈的工作不是獨立的工作
[00:05:25.000 --> 00:05:28.000]  所以先抹了油
[00:05:28.000 --> 00:05:31.000]  先抹了血
[00:05:31.000 --> 00:05:33.000]  然後再抹油
[00:05:33.000 --> 00:05:36.000]  抹在同樣有血的地方
[00:05:36.000 --> 00:05:38.000]  那就表示血爲主
[00:05:38.000 --> 00:05:43.000]  油來配合
[00:05:43.000 --> 00:05:48.000]  基督的工作是基礎
