
[00:00:00.000 --> 00:00:02.480]  我們很多時候都會讀到聖經的時候
[00:00:02.480 --> 00:00:05.240]  特別提及主耶穌的福音
[00:00:05.240 --> 00:00:08.320]  一句我們常常都會讀的金句
[00:00:08.320 --> 00:00:10.600]  羅馬書第一章第十六節提及
[00:00:10.600 --> 00:00:14.320]  福音本是神的大能
[00:00:14.320 --> 00:00:17.400]  要救一切相信的
[00:00:17.400 --> 00:00:22.320]  福音它的本身是神的大能
[00:00:22.320 --> 00:00:26.960]  是能夠拯救一切相信的
[00:00:26.960 --> 00:00:28.920]  因此很多相信的人
[00:00:28.920 --> 00:00:32.080]  是經歷到神自己的改變
[00:00:32.080 --> 00:00:35.040]  而能力是來自神的靈
[00:00:35.040 --> 00:00:37.360]  神的聖靈進入人的心裏面
[00:00:37.360 --> 00:00:40.320]  帶來生命的改變
[00:00:40.320 --> 00:00:44.360]  很多時候你會想到聖經裏面所講的
[00:00:44.360 --> 00:00:46.880]  不單單是講我們領受福音的時候
[00:00:46.880 --> 00:00:48.520]  領受聖靈的能力
[00:00:48.520 --> 00:00:50.920]  得著生命的改變
[00:00:50.920 --> 00:00:52.160]  我們都會常常提及
[00:00:52.160 --> 00:00:54.240]  《格拉太書》裏面所提到
[00:00:54.240 --> 00:00:57.040]  我們領受聖靈
[00:00:57.040 --> 00:00:59.040]  是因為聽信福音
[00:00:59.040 --> 00:01:01.720]  還是遵行律法
[00:01:01.720 --> 00:01:05.480]  答案肯定是因為聽信福音
[00:01:05.480 --> 00:01:07.400]  因此聖經提醒我們
[00:01:07.400 --> 00:01:10.120]  你們既然靠聖靈入門
[00:01:10.120 --> 00:01:13.200]  就當靠聖靈成全
[00:01:13.200 --> 00:01:14.800]  不是靠自己的肉身
[00:01:14.800 --> 00:01:17.600]  自己的努力來成全
[00:01:17.600 --> 00:01:20.520]  而是聖靈會繼續在我們生命當中
[00:01:20.520 --> 00:01:22.080]  成為我們的幫助
[00:01:22.080 --> 00:01:25.280]  讓我們能夠繼續跟隨上帝
[00:01:25.280 --> 00:01:29.400]  亦都在成聖的路上繼續蒙恩
[00:01:29.400 --> 00:01:32.760]  但是何時我們忘記了福音
[00:01:32.760 --> 00:01:36.160]  偏離了 甚至淡化了
[00:01:36.160 --> 00:01:40.480]  我們就會失去了聖靈的能力
[00:01:40.480 --> 00:01:41.800]  亦都不能夠經歷
[00:01:41.800 --> 00:01:44.560]  神給我們生命的改變
[00:01:44.560 --> 00:01:45.280]  這一點你會發覺
[00:01:45.280 --> 00:01:47.000]  當保羅在不同的地方
[00:01:47.000 --> 00:01:49.000]  傳揚神的道的時候
[00:01:49.000 --> 00:01:50.400]  很清楚地讓他們知道
[00:01:50.400 --> 00:01:54.360]  必定是在找主的道
[00:01:54.360 --> 00:01:55.680]  真理的道
[00:01:55.680 --> 00:01:57.280]  唯有神的道裡面
[00:01:57.280 --> 00:02:00.880]  是帶來了真正從聖靈而來的能力
[00:02:00.880 --> 00:02:05.080]  我們一起看看第十九章
[00:02:05.080 --> 00:02:07.120]  十九章保羅去到一個地方
[00:02:07.120 --> 00:02:09.320]  叫做以弗所的地方
[00:02:09.320 --> 00:02:10.840]  以弗所他見到一些
[00:02:10.840 --> 00:02:12.680]  叫做施瑟約翰的門徒
[00:02:12.680 --> 00:02:14.440]  就發覺他們有些不同
[00:02:14.440 --> 00:02:17.120]  所以保羅就問他們
[00:02:17.120 --> 00:02:19.960]  你們信的時候有沒有受到聖靈
[00:02:19.960 --> 00:02:22.280]  他們說我們不知道甚麼是聖靈
[00:02:22.280 --> 00:02:24.720]  然後保羅就接著馬上問他們
[00:02:24.720 --> 00:02:27.720]  你們受的洗禮是甚麼洗禮呢?
[00:02:27.720 --> 00:02:31.960]  他們就說是施瑟約翰的洗禮
[00:02:31.960 --> 00:02:35.280]  在當時這一班施瑟約翰的門徒
[00:02:35.280 --> 00:02:40.040]  似乎保羅發覺他們的行為或表現
[00:02:40.040 --> 00:02:44.800]  是和一般真正信主的人有分別
[00:02:44.800 --> 00:02:46.680]  而他就馬上問一個問題
[00:02:46.680 --> 00:02:49.960]  你們領受聖靈沒有?
[00:02:49.960 --> 00:02:52.880]  生命那種很明顯的改變
[00:02:52.880 --> 00:02:56.800]  是一定和聖靈有相關
[00:02:56.800 --> 00:03:01.040]  所以保羅就問你們有沒有受過聖靈
[00:03:01.040 --> 00:03:04.600]  而當他們說我們不明白甚麼是聖靈
[00:03:04.600 --> 00:03:05.960]  然後接著他就說
[00:03:05.960 --> 00:03:09.800]  你們受的是甚麼洗禮
[00:03:09.800 --> 00:03:13.320]  然後他們說我們受的是悔改的洗禮
[00:03:13.320 --> 00:03:15.440]  施瑟約翰的洗禮
[00:03:15.440 --> 00:03:17.240]  但是保羅馬上就提醒他們
[00:03:17.240 --> 00:03:20.440]  你們要奉耶穌的名受洗
[00:03:20.440 --> 00:03:22.720]  大家看第四節
[00:03:22.720 --> 00:03:25.640]  「約翰施的是悔改的洗禮
[00:03:25.640 --> 00:03:29.840]  他告訴人民當信在他以後來要來的那一位
[00:03:29.840 --> 00:03:31.520]  就是耶穌
[00:03:31.520 --> 00:03:36.560]  然後就幫助他們奉主耶穌的名為他們施洗」
[00:03:36.560 --> 00:03:37.880]  接著聖經就說
[00:03:37.880 --> 00:03:41.320]  他們開始有很明顯的不同
[00:03:41.320 --> 00:03:44.440]  就他們領受聖靈的同在
[00:03:44.440 --> 00:03:48.520]  還有講方言等等的事情
[00:03:48.520 --> 00:03:49.480]  當時已經講述到
[00:03:49.480 --> 00:03:53.960]  他們當時不知道是耶穌基督的名字
[00:03:53.960 --> 00:03:56.880]  他們只是悔改
[00:03:56.880 --> 00:04:00.360]  按照一些舊約的道理
[00:04:00.360 --> 00:04:02.480]  讓他們知道要悔改
[00:04:02.480 --> 00:04:05.520]  但因為未曾信靠主耶穌的名
[00:04:05.520 --> 00:04:08.760]  所以未曾領受聖靈
[00:04:08.760 --> 00:04:11.000]  這裡提到他們有講方言
[00:04:11.000 --> 00:04:12.360]  當然當你小心看的時候
[00:04:12.360 --> 00:04:14.480]  你會發覺《銷行傳》裡面
[00:04:14.480 --> 00:04:16.160]  提到很多人領受聖靈
[00:04:16.160 --> 00:04:18.120]  不一定講方言
[00:04:18.120 --> 00:04:21.720]  這次方言的出現不是一個常規
[00:04:21.720 --> 00:04:24.240]  但當時神讓他們講方言
[00:04:24.240 --> 00:04:25.440]  也特別有一個原因
[00:04:25.440 --> 00:04:29.120]  就是他們是一群施洗約翰的門徒
[00:04:29.120 --> 00:04:31.160]  神讓他們有一些比較外顯的
[00:04:31.160 --> 00:04:34.320]  聖靈充滿恩賜的表現
[00:04:34.320 --> 00:04:38.920]  特別讓周圍的猶太信徒知道
[00:04:38.920 --> 00:04:41.960]  這一群都是神所閱納的
[00:04:41.960 --> 00:04:46.040]  他們都是在救恩的門內
[00:04:46.040 --> 00:04:48.440]  他們也同受一位的聖靈
[00:04:48.440 --> 00:04:50.480]  正如哥尼留加宗
[00:04:50.480 --> 00:04:52.200]  這群外邦人信主的時候
[00:04:52.200 --> 00:04:53.680]  他們也講方言
[00:04:53.680 --> 00:04:57.320]  同樣猶太信主的人也知道
[00:04:57.320 --> 00:05:00.480]  他們也同一位主
[00:05:00.480 --> 00:05:01.840]  但最重要的是
[00:05:01.840 --> 00:05:04.080]  你留心的常規
[00:05:04.080 --> 00:05:07.320]  你可以簡單將它分為四方面
[00:05:07.320 --> 00:05:11.120]  第一方面就是他們會悔改
[00:05:11.120 --> 00:05:14.320]  然後他們會信靠主耶穌
[00:05:14.320 --> 00:05:17.400]  然後他們奉主耶穌的名受洗
[00:05:17.400 --> 00:05:20.880]  然後領受所賜的聖靈
[00:05:20.880 --> 00:05:24.760]  這四方面在所有真心信主的人生命當中
[00:05:24.760 --> 00:05:26.800]  都會出現
[00:05:26.800 --> 00:05:28.120]  而他們在那個時候
[00:05:28.120 --> 00:05:32.840]  他們就會經歷到生命的改變和更新
[00:05:32.840 --> 00:05:36.600]  今天當我們只能夠講述一些道理
