
[00:00:00.000 --> 00:00:02.400]  提摩太后書的第三章
[00:00:02.400 --> 00:00:03.560]  我們給了一個題目
[00:00:03.560 --> 00:00:08.200]  叫做失控世界當中的逆流清泉
[00:00:08.200 --> 00:00:11.480]  我們剛才看聖經的時候已經看到了
[00:00:11.480 --> 00:00:15.000]  在聖經裡面由第一節一直到第十節
[00:00:15.000 --> 00:00:19.560]  九節是描述到關於末世的日子
[00:00:19.560 --> 00:00:20.600]  第一節所說的
[00:00:20.600 --> 00:00:24.800]  在末世必有危險的日子來到
[00:00:24.800 --> 00:00:27.920]  新易本可能更加直截
[00:00:27.920 --> 00:00:29.920]  他說在末後的日子
[00:00:29.920 --> 00:00:33.640]  必定會有這些艱難的時期
[00:00:33.640 --> 00:00:35.840]  末後的日子就是指著
[00:00:35.840 --> 00:00:39.400]  耶穌基督再回來之前那段日子
[00:00:39.400 --> 00:00:41.920]  當然保羅寫這段聖經的時候
[00:00:41.920 --> 00:00:43.120]  已經是公元前
[00:00:43.120 --> 00:00:45.400]  就是公元的第一年
[00:00:45.400 --> 00:00:47.840]  也是二千年前的時間
[00:00:47.840 --> 00:00:50.520]  經過了二千年
[00:00:50.520 --> 00:00:51.720]  究竟有什麼改變呢
[00:00:51.720 --> 00:00:53.720]  今天我們看回這一段聖經
[00:00:53.720 --> 00:00:56.040]  我們發覺在這二千年裡面
[00:00:56.040 --> 00:00:57.680]  人類並沒有進步
[00:00:58.200 --> 00:01:02.680]  當日保羅所面對的亂亂的時間
[00:01:02.680 --> 00:01:05.760]  也是今天你和我每天在報紙
[00:01:05.760 --> 00:01:06.920]  在電台
[00:01:06.920 --> 00:01:07.920]  在電視
[00:01:07.920 --> 00:01:09.560]  在新聞裡面所見到的
[00:01:09.560 --> 00:01:12.560]  第二節到第九節就描述到
[00:01:12.560 --> 00:01:13.800]  這些情況
[00:01:13.800 --> 00:01:16.200]  很仔細地一樣一樣地列出來
[00:01:16.200 --> 00:01:18.120]  當然今天早上我們的時間限制
[00:01:18.120 --> 00:01:22.520]  沒辦法每一個情況都加以慢慢地解釋
[00:01:22.520 --> 00:01:25.520]  我和大家做了一些研究
[00:01:25.520 --> 00:01:27.440]  研究了每一件事之後
[00:01:27.440 --> 00:01:31.440]  我將它歸納為四個大的類變
[00:01:31.440 --> 00:01:33.640]  當中所用到的字眼
[00:01:33.640 --> 00:01:35.720]  我也不是完全跟贊這個和合本
[00:01:35.720 --> 00:01:37.320]  因為有些翻譯
[00:01:37.320 --> 00:01:38.640]  比如新譯本的翻譯
[00:01:38.640 --> 00:01:40.120]  可能比較全神一點
[00:01:40.120 --> 00:01:43.440]  所以我就很自由地借用不同的譯本
[00:01:43.440 --> 00:01:47.840]  不過我們可以看到有四個很典型的類變
[00:01:47.840 --> 00:01:52.160]  第一個A那裡是專愛自己
[00:01:52.160 --> 00:01:54.640]  一個很普遍的現象
[00:01:54.640 --> 00:01:56.240]  人只是為了自己
[00:01:56.240 --> 00:01:58.360]  愛自己自私自利
[00:01:58.360 --> 00:02:01.480]  性嫉用了很多不同的角度去描述這件事
[00:02:01.480 --> 00:02:03.000]  他說專愛自己
[00:02:03.000 --> 00:02:04.040]  自誇
[00:02:04.040 --> 00:02:05.080]  高傲
[00:02:05.080 --> 00:02:05.880]  旁毒
[00:02:05.880 --> 00:02:07.520]  英文譯作abusive
[00:02:07.520 --> 00:02:08.800]  比較清楚一點
[00:02:08.800 --> 00:02:11.240]  旁毒這個字比較古老的譯法
[00:02:11.240 --> 00:02:13.000]  攻擊性
[00:02:13.000 --> 00:02:14.240]  不僅自私自利
[00:02:14.240 --> 00:02:15.760]  還要攻擊其他人
[00:02:15.760 --> 00:02:17.400]  還有不聖潔
[00:02:17.400 --> 00:02:18.480]  不能自律
[00:02:18.480 --> 00:02:19.880]  放縱
[00:02:19.880 --> 00:02:22.800]  完全沒有一些自律
[00:02:22.800 --> 00:02:24.400]  橫盲
[00:02:24.400 --> 00:02:26.520]  不愛良善
[00:02:26.520 --> 00:02:27.880]  任意妄為
[00:02:27.880 --> 00:02:29.680]  自高自大
[00:02:29.680 --> 00:02:32.960]  性嫉用了一連串的字眼去描述那種
[00:02:32.960 --> 00:02:34.200]  自私自利
[00:02:34.200 --> 00:02:35.800]  只是看見自己
[00:02:35.800 --> 00:02:37.320]  專愛自己
[00:02:37.320 --> 00:02:39.320]  這樣的社會現象
[00:02:39.320 --> 00:02:42.120]  不僅專愛自己
[00:02:42.120 --> 00:02:43.600]  性嫉特別提出了
[00:02:43.600 --> 00:02:45.000]  有一個表現
[00:02:45.000 --> 00:02:46.680]  就是C那裡我列出來的
[00:02:46.680 --> 00:02:49.200]  是貪愛錢財
[00:02:49.200 --> 00:02:51.400]  對錢特別有興趣
[00:02:51.400 --> 00:02:54.080]  並且錢是壟斷一切
[00:02:54.480 --> 00:02:56.080]  貪愛錢財
[00:02:56.080 --> 00:02:58.080]  賣主賣友
[00:02:58.080 --> 00:03:00.640]  保羅寫這句話的時候
