
[00:00:00.000 --> 00:00:02.000]  各位電影節目我們今天很感恩
[00:00:02.000 --> 00:00:05.000]  我們會在英國的櫃台一起讀《針研書》
[00:00:05.000 --> 00:00:06.000]  大家知道
[00:00:06.000 --> 00:00:10.000]  針研當大家讀的時候要留心
[00:00:10.000 --> 00:00:14.000]  留心就是針研並不是一些倫理的戒條
[00:00:14.000 --> 00:00:18.000]  也不是一些絕對性的應許
[00:00:18.000 --> 00:00:23.000]  所以你見到針研書裏面很多的語調
[00:00:23.000 --> 00:00:25.000]  都有一些不一致的
[00:00:25.000 --> 00:00:30.000]  所以你見到針研書裏面很多的語調
[00:00:30.000 --> 00:00:32.000]  都有一種勸告式
[00:00:32.000 --> 00:00:35.000]  不是一種強制式的表達
[00:00:35.000 --> 00:00:37.000]  在針研裏面你會發覺
[00:00:37.000 --> 00:00:39.000]  針研不斷地講述
[00:00:39.000 --> 00:00:42.000]  在神所掌管的這個世界裏面
[00:00:42.000 --> 00:00:45.000]  這個世界是怎樣運作的
[00:00:45.000 --> 00:00:48.000]  而我們去明白神的作為
[00:00:48.000 --> 00:00:50.000]  明白神的掌權
[00:00:50.000 --> 00:00:52.000]  從而你會發覺
[00:00:52.000 --> 00:00:54.000]  針研提出很多重要的
[00:00:54.000 --> 00:00:58.000]  我們怎樣在人世上生活的時候的方向
[00:00:58.000 --> 00:01:05.000]  從神的掌權帶出這個世界是怎樣運作
[00:01:05.000 --> 00:01:10.000]  然後引發出我們當怎樣行的人生的方向
[00:01:10.000 --> 00:01:12.000]  在過程裏面你會發覺
[00:01:12.000 --> 00:01:14.000]  在過程裏面有一個很清楚的目的
[00:01:14.000 --> 00:01:17.000]  要我們學習在不同的處境裏面
[00:01:17.000 --> 00:01:21.000]  我們都可以去敬畏神
[00:01:22.000 --> 00:01:26.000]  亦都可以活出一個智慧的人的人生
[00:01:26.000 --> 00:01:28.000]  所以當我們讀聖經的時候
[00:01:28.000 --> 00:01:29.000]  讀到針研的時候
[00:01:29.000 --> 00:01:31.000]  帶著一個開創的心
[00:01:31.000 --> 00:01:36.000]  留心神在裏面給我們那種生活的方向
[00:01:36.000 --> 00:01:38.000]  然後我們靠著神的恩典
[00:01:38.000 --> 00:01:39.000]  領受勸告
[00:01:39.000 --> 00:01:41.000]  行在其中
[00:01:41.000 --> 00:01:43.000]  我們在這個季度
[00:01:43.000 --> 00:01:45.000]  大家知道當我們讀針研的時候
[00:01:45.000 --> 00:01:47.000]  我們不是全卷地讀
[00:01:47.000 --> 00:01:50.000]  我們會特別是讀到十章到二十二章
[00:01:50.000 --> 00:01:52.000]  十六節的一段經文
[00:01:52.000 --> 00:01:56.000]  亦都是針研書裏面的第二大段的經文
[00:01:56.000 --> 00:01:59.000]  或者稱為所羅門的第一集
[00:01:59.000 --> 00:02:02.000]  所羅門針研的第一集
[00:02:02.000 --> 00:02:04.000]  我們集中這一段的經文看
[00:02:04.000 --> 00:02:08.000]  原來經文有很多的排列的方式
[00:02:08.000 --> 00:02:09.000]  其中比較明顯的
[00:02:09.000 --> 00:02:14.000]  叫做平衡相與具的一種方式排列
[00:02:14.000 --> 00:02:18.000]  譬如說今次讀的十章第一節就說
[00:02:18.000 --> 00:02:21.000]  「異人的口相對於惡人的口
[00:02:21.000 --> 00:02:27.000]  產生的是生命泉源或者是遮門暴行」
[00:02:27.000 --> 00:02:32.000]  所以平衡句語會幫我們盡心明白其中的意思
[00:02:32.000 --> 00:02:35.000]  有時它是同意義的
[00:02:35.000 --> 00:02:37.000]  有時是相反的意義
[00:02:37.000 --> 00:02:38.000]  但是平衡地帶出
[00:02:38.000 --> 00:02:43.000]  讓我們更加明白神對我們的教導是甚麼
[00:02:43.000 --> 00:02:44.000]  在這個過程裏面
[00:02:44.000 --> 00:02:47.000]  你會發覺在整段的大段的經文裏面
[00:02:47.000 --> 00:02:51.000]  不一定是一段一段很有系統地
[00:02:51.000 --> 00:02:53.000]  有主題地帶出
[00:02:53.000 --> 00:02:56.000]  你會發覺有很多相關的經文
[00:02:56.000 --> 00:02:59.000]  是穿插在不同的篇幅之內
[00:02:59.000 --> 00:03:01.000]  所以當我們讀到針研的時候
[00:03:01.000 --> 00:03:03.000]  不要介意有時會覺得
[00:03:03.000 --> 00:03:06.000]  這一節好像跟下一節沒有甚麼特別關係
[00:03:06.000 --> 00:03:12.000]  但是它是將整體敬畏神的一種生活方向
[00:03:12.000 --> 00:03:14.000]  向我們展示
[00:03:14.000 --> 00:03:17.000]  不過你都會發覺在某些段落裏面
[00:03:17.000 --> 00:03:21.000]  是會有一兩個比較共同的主題
[00:03:21.000 --> 00:03:24.000]  是比較明顯地凸顯出來
[00:03:24.000 --> 00:03:27.000]  而我們今天讀到第十章的時候
[00:03:27.000 --> 00:03:31.000]  你會留意到第十章裏面有一個很清晰的主題
[00:03:31.000 --> 00:03:37.000]  這個主題就是講到義人和惡人的差異
[00:03:37.000 --> 00:03:42.000]  特別是關於在言語的倫理方面
[00:03:42.000 --> 00:03:46.000]  義人所講的話和惡人所講的話
[00:03:46.000 --> 00:03:48.000]  有甚麼分別呢?
[00:03:48.000 --> 00:03:51.000]  是第十章和之後的一些經文
[00:03:51.000 --> 00:03:54.000]  一路來講述的一個主題
[00:03:54.000 --> 00:03:56.000]  我們今天看看幾方面
[00:03:56.000 --> 00:04:01.000]  在這段經文裏面有一個很重要的訊息
