
[00:00:00.000 --> 00:00:07.000]  我們先低頭做一個禱告
[00:00:07.000 --> 00:00:11.000]  愛我們的主
[00:00:11.000 --> 00:00:16.000]  我們知道我們自己沒有可愛的地方
[00:00:16.000 --> 00:00:20.000]  但是你仍然那樣的愛了我們
[00:00:20.000 --> 00:00:25.000]  你的愛永遠是我們的激勵
[00:00:25.000 --> 00:00:28.000]  成爲我們的力量
[00:00:28.000 --> 00:00:30.000]  也是我們的喜樂
[00:00:30.000 --> 00:00:35.000]  我們一想到你的愛我們就重新得力
[00:00:35.000 --> 00:00:38.000]  我們今天下午這段時間
[00:00:38.000 --> 00:00:43.000]  恭敬的奉獻給你
[00:00:43.000 --> 00:00:48.000]  求你向我們每一個人心裏講話
[00:00:48.000 --> 00:00:52.000]  讓我們每一個人都有所得着
[00:00:52.000 --> 00:00:55.000]  我們這樣仰望祈求
[00:00:55.000 --> 00:00:57.000]  奉禱耶穌
[00:00:57.000 --> 00:01:01.000]  阿們
[00:01:01.000 --> 00:01:11.000]  我們來到耶利米先知的目者心
[00:01:11.000 --> 00:01:17.000]  我們一想到耶利米先知的時候
[00:01:17.000 --> 00:01:21.000]  我們即刻就想到他的一個名字
[00:01:21.000 --> 00:01:27.000]  流淚的先知
[00:01:27.000 --> 00:01:32.000]  耶利米講話很嚴厲
[00:01:32.000 --> 00:01:36.000]  很嚴厲
[00:01:36.000 --> 00:01:43.000]  他向以色列人的責備很強
[00:01:43.000 --> 00:01:47.000]  他向祭司們的責備很強
[00:01:47.000 --> 00:01:52.000]  他向官長的責備很強
[00:01:52.000 --> 00:01:58.000]  他向拜偶像的人責備很強
[00:01:58.000 --> 00:02:04.000]  但是他的責備有一個特點
[00:02:04.000 --> 00:02:11.000]  就是一面流淚一面責備
[00:02:11.000 --> 00:02:19.000]  他的淑靈的力量就從他的眼淚得來
[00:02:19.000 --> 00:02:23.000]  我見過一個媽媽
[00:02:23.000 --> 00:02:25.000]  打孩子
[00:02:25.000 --> 00:02:29.000]  一面打她自己一面哭
[00:02:29.000 --> 00:02:35.000]  我看見很受感動
[00:02:35.000 --> 00:02:39.000]  她不是喜歡打她的孩子
[00:02:39.000 --> 00:02:45.000]  她打的時候自己心裏很痛
[00:02:45.000 --> 00:02:52.000]  但是她知道她必須管教她的孩子
[00:02:52.000 --> 00:02:57.000]  一面流淚一面管教
[00:02:57.000 --> 00:03:03.000]  這是最有功效的管教
[00:03:03.000 --> 00:03:10.000]  耶利米就是這樣的一位流淚的先知
[00:03:10.000 --> 00:03:17.000]  很多時候我們求神擦去我們的眼淚
[00:03:17.000 --> 00:03:21.000]  主把眼淚擦乾之後
[00:03:21.000 --> 00:03:24.000]  後來我們發現
[00:03:24.000 --> 00:03:30.000]  我們需要向神求把眼淚給還我們
[00:03:30.000 --> 00:03:36.000]  因爲我們發現眼淚乾了
[00:03:36.000 --> 00:03:40.000]  我們的心也幹了
[00:03:40.000 --> 00:03:48.000]  眼淚的感情是我們心靈的滋潤
[00:03:48.000 --> 00:03:52.000]  一個不會流淚的人
[00:03:52.000 --> 00:03:58.000]  是一個有很大需要的人
[00:03:58.000 --> 00:04:02.000]  也是一個很大缺陷的人
[00:04:02.000 --> 00:04:06.000]  我們平常是爲自己流淚
[00:04:06.000 --> 00:04:12.000]  這個眼淚我們要求主把它擦乾
[00:04:12.000 --> 00:04:17.000]  但是爲別人流淚
[00:04:17.000 --> 00:04:24.000]  這是我們需要求神賜給我們的眼淚
[00:04:24.000 --> 00:04:34.000]  在美國北部有一個愛心的菜會
[00:04:34.000 --> 00:04:44.000]  它的工作就是專門幫助那些無家可歸的流浪者
[00:04:44.000 --> 00:04:50.000]  招待他們住宿喫飯
[00:04:50.000 --> 00:04:55.000]  然後講福音給他們聽
[00:04:55.000 --> 00:05:02.000]  這個愛心援助會的負責人
[00:05:02.000 --> 00:05:05.000]  聲量很高大
[00:05:05.000 --> 00:05:09.000]  但是他常常流淚
[00:05:09.000 --> 00:05:13.000]  後來他自己覺得不好意思了
[00:05:13.000 --> 00:05:15.000]  他向神求
[00:05:15.000 --> 00:05:21.000]  神啊,我常常流淚,覺得不好意思
[00:05:21.000 --> 00:05:27.000]  求禰幫助我不要流淚
[00:05:27.000 --> 00:05:32.000]  後來他真是眼淚減少了
[00:05:32.000 --> 00:05:34.000]  減少以後呢
[00:05:34.000 --> 00:05:41.000]  他感覺到他的愛心也慢慢冷淡了
[00:05:41.000 --> 00:05:47.000]  他發現他的眼淚和他的愛心連在一起
[00:05:47.000 --> 00:05:53.000]  他再向神求回眼淚
[00:05:53.000 --> 00:05:56.000]  我們侍奉神的人
[00:05:56.000 --> 00:05:59.000]  真是有好事的時候
[00:05:59.000 --> 00:06:05.000]  我們需要向神求眼淚
[00:06:05.000 --> 00:06:10.000]  我們發現我們的愛心慢慢幹了
[00:06:10.000 --> 00:06:15.000]  愛主愛人的心慢慢減少了
