
[00:00:00.000 --> 00:00:03.500]  今天是七十路的最後一講
[00:00:03.500 --> 00:00:05.000]  就是第十講
[00:00:05.000 --> 00:00:11.500]  今天我們繼續領受聖經新約七十路里面寶貴的信息
[00:00:11.500 --> 00:00:19.000]  上一次我們看見七十路里面所記載的主耶穌的七個異象
[00:00:19.000 --> 00:00:25.000]  今天我們就要集中在這七個異象的第一個異象上面
[00:00:25.000 --> 00:00:29.500]  這個異象記載在七十路第一章第十二節
[00:00:29.500 --> 00:00:32.000]  到第十六節
[00:00:32.000 --> 00:00:34.000]  在這個異象裏面
[00:00:34.000 --> 00:00:39.000]  我們看見主耶穌七種榮耀的現象
[00:00:39.000 --> 00:00:45.000]  我們把這七種榮耀的現象和教會連在一起來看
[00:00:45.000 --> 00:00:48.000]  這是何等的寶貴
[00:00:48.000 --> 00:00:51.000]  我們從這七種榮耀的現象
[00:00:51.000 --> 00:00:55.000]  就發現我們的主真是何等的榮耀
[00:00:55.000 --> 00:01:00.500]  完全的榮耀遠遠的超過世間一切所有的
[00:01:00.500 --> 00:01:05.000]  同時我們也看見這位榮耀的超然的主
[00:01:05.000 --> 00:01:07.500]  卻是那樣的愛我們
[00:01:07.500 --> 00:01:10.000]  他放棄他的榮耀
[00:01:10.000 --> 00:01:14.000]  他倒空他一切的尊貴地位
[00:01:14.000 --> 00:01:17.000]  到世上來做我們的救主
[00:01:17.000 --> 00:01:21.500]  所以當我們把主的榮耀和主的謙卑的愛
[00:01:21.500 --> 00:01:25.500]  放在一起看的時候我們就不能不受感動
[00:01:25.500 --> 00:01:28.000]  那真是一個奇妙的對比
[00:01:28.000 --> 00:01:31.000]  讓我們驚奇讓我們讚美
[00:01:31.000 --> 00:01:38.000]  現在我們開始看主耶穌的七方面榮耀的現象
[00:01:38.000 --> 00:01:43.000]  我現在先把這一段經文讀出來給大家聽
[00:01:43.000 --> 00:01:46.500]  第一章十二節到第十六節
[00:01:46.500 --> 00:01:51.000]  我轉過身來要看是誰發聲與我說話
[00:01:51.000 --> 00:01:54.500]  即轉過來就看見七個金燈臺
[00:01:54.500 --> 00:01:59.500]  燈臺中間有一位好像人子身穿長衣
[00:01:59.500 --> 00:02:03.000]  直腿到腳胸肩梳着金帶
[00:02:03.000 --> 00:02:08.000]  他的頭一發潔白如白羊毛如雪
[00:02:08.000 --> 00:02:10.000]  眼目如同火焰
[00:02:10.000 --> 00:02:13.500]  腳好像在爐中鍛鍊光明的銅
[00:02:13.500 --> 00:02:16.000]  聲音如同重水的聲音
[00:02:16.000 --> 00:02:18.000]  他右手拿着七星
