
[00:00:00.000 --> 00:00:01.520]  當我們放眼世界
[00:00:01.520 --> 00:00:06.320]  真的有很多值得我們感恩、欣賞、讚美的
[00:00:06.320 --> 00:00:08.600]  大家是否覺得香港的建築物
[00:00:08.600 --> 00:00:11.440]  其實都很有特色和很漂亮?
[00:00:11.440 --> 00:00:14.000]  是的,有很多很漂亮的建築物
[00:00:14.000 --> 00:00:17.720]  那你知不知道那些建築設計師是誰呢?
[00:00:17.720 --> 00:00:20.720]  真的不知道,是嗎?
[00:00:20.720 --> 00:00:24.120]  我時常都覺得有時候我的建築工人
[00:00:24.120 --> 00:00:26.640]  真的很要感謝他們
[00:00:26.640 --> 00:00:29.040]  所以最近有時候有些地盤出現意外
[00:00:29.040 --> 00:00:34.280]  都很為他們擔憂,都維持祈禱
[00:00:34.280 --> 00:00:36.480]  因為如果沒有他們的勞苦功高
[00:00:36.480 --> 00:00:41.120]  香港就不會那麼繁榮、那麼多那麼漂亮的建築物
[00:00:41.120 --> 00:00:43.840]  還有有時候他們很辛勞去建造
[00:00:43.840 --> 00:00:45.920]  未必他們可以享用
[00:00:45.920 --> 00:00:47.880]  或者那些很貴的樓
[00:00:47.880 --> 00:00:51.200]  他們未必可以住在其中
[00:00:51.200 --> 00:00:58.120]  亦都是神給人有這些建築設計的才能
[00:00:58.120 --> 00:01:00.760]  教會建築都是很獨特的
[00:01:00.760 --> 00:01:04.000]  你知不知道教會建築設計的發展呢?
[00:01:04.000 --> 00:01:06.240]  如果我用這個圖去表達
[00:01:06.240 --> 00:01:11.440]  由舊日的祭壇去到曠野有回望
[00:01:11.440 --> 00:01:14.840]  開始成形,有實體的敬拜
[00:01:14.840 --> 00:01:18.160]  更加裏面是有很多象徵意義
[00:01:18.160 --> 00:01:20.840]  然後繼續進而有聖殿
[00:01:20.840 --> 00:01:22.680]  經過了不同的時期
[00:01:22.680 --> 00:01:24.280]  坐得靠近就有好處
[00:01:24.280 --> 00:01:26.840]  因為你連年份都會看
[00:01:26.840 --> 00:01:29.440]  下次一定要坐前一點
[00:01:29.440 --> 00:01:32.280]  然後當他們被老歸回的時候
[00:01:32.280 --> 00:01:34.960]  那個時期慢慢產生會堂
[00:01:34.960 --> 00:01:38.440]  然後就伸約教會到現代的教會
[00:01:38.440 --> 00:01:46.080]  大家看到其實回望是教會建築設計的先鋒
[00:01:46.080 --> 00:01:48.680]  然後你看到那些建築物
[00:01:48.680 --> 00:01:54.800]  其實一脈相承是有很多類似的傳承
[00:01:54.800 --> 00:01:58.560]  就算今天我們的教會不是一個座堂教會
[00:01:58.560 --> 00:02:02.440]  但是你看看,我們都有很多象徵意義的
[00:02:02.440 --> 00:02:07.040]  天空上的那條河,這裏的設計
[00:02:07.040 --> 00:02:11.560]  很多的擺設,其實裏面都有意義的
[00:02:11.560 --> 00:02:18.400]  但是我問你,回望的建築設計師是誰呢?
[00:02:18.400 --> 00:02:22.560]  好像那個不知道是什麼阿伯
[00:02:22.560 --> 00:02:25.840]  是誰呢?我們要揭開這個序幕
[00:02:25.840 --> 00:02:29.120]  我們進入這個小不小的第三講
[00:02:29.120 --> 00:02:32.200]  我們一起讀一讀那個人物
[00:02:32.200 --> 00:02:36.240]  比薩列阿荷里阿伯
[00:02:36.240 --> 00:02:39.320]  他們是真正的幕後英雄
[00:02:39.320 --> 00:02:43.640]  因為這個幕是回望建築的英雄
[00:02:43.640 --> 00:02:46.960]  出《埃及記》31章,一字就是11字
[00:02:46.960 --> 00:02:50.520]  上次我們的傳導人就改了一些很特別的名字
[00:02:50.520 --> 00:02:54.760]  他們很難記,不如叫他阿比?阿荷?
[00:02:54.760 --> 00:02:57.280]  不知道是不是他年紀大了,是老荷?
[00:02:57.280 --> 00:03:00.560]  還是那個什麼阿伯呢?
[00:03:00.560 --> 00:03:02.360]  我們記住他吧
[00:03:02.360 --> 00:03:06.520]  先講講他的背景,他的背景很厲害
[00:03:06.520 --> 00:03:12.840]  當時摩西被召去到西那山上領袖十佳
[00:03:12.840 --> 00:03:14.760]  還有一些例典章
[00:03:14.760 --> 00:03:18.280]  還有一個部分就是建造會幕
[00:03:18.280 --> 00:03:22.560]  建造會幕的指示和建造的過程
[00:03:22.560 --> 00:03:26.400]  是橫跨了出《埃及記》25章到31章
[00:03:26.400 --> 00:03:29.920]  35章到40章,不如我們讀一下吧
[00:03:29.920 --> 00:03:33.480]  不要吧牧師,11章經文
[00:03:33.480 --> 00:03:36.760]  我們很多時候說讀經出不了《埃及記》
[00:03:36.760 --> 00:03:38.080]  就是讀不完
[00:03:38.080 --> 00:03:39.640]  除了因為有很多例典章
[00:03:39.640 --> 00:03:44.440]  還有會幕的部分,就這樣看都是很艱難
[00:03:44.440 --> 00:03:47.000]  不過不要忽略,很重要
[00:03:47.000 --> 00:03:50.240]  神說要為我建造這個聖所
[00:03:50.240 --> 00:03:52.560]  又稱之為一個帳幕
[00:03:52.560 --> 00:03:56.480]  神說我要住在它們中間
[00:03:56.480 --> 00:03:59.400]  也要按我的指示去做
[00:03:59.400 --> 00:04:03.160]  這個會幕,也叫帳幕
[00:04:03.160 --> 00:04:06.960]  其實是一個流動的敬拜中心
[00:04:06.960 --> 00:04:10.560]  在曠野隨行去建造
[00:04:10.560 --> 00:04:13.120]  那是一個敬拜的中心
[00:04:13.120 --> 00:04:17.640]  神說要象徵祂住在它們中間
[00:04:17.640 --> 00:04:20.160]  是一個致勝的居所
[00:04:20.160 --> 00:04:22.520]  這也是出《埃及記》的重點
[00:04:22.520 --> 00:04:24.400]  出《埃及記》的重心
[00:04:24.400 --> 00:04:26.280]  不僅神要拯救它們
[00:04:26.280 --> 00:04:28.920]  不再是遺老之地受壓制了
[00:04:28.920 --> 00:04:30.520]  好像神不是單單拯救
[00:04:30.520 --> 00:04:32.280]  我們已經是一個基督徒
[00:04:32.280 --> 00:04:33.720]  是一個神的兒女
[00:04:33.720 --> 00:04:35.040]  不僅如此
[00:04:35.040 --> 00:04:38.520]  神要它們享受神的同在
[00:04:38.520 --> 00:04:42.400]  那份親密無間的聯繫
[00:04:42.400 --> 00:04:46.480]  所以各位,今天我們來到神的教會去敬拜
[00:04:46.480 --> 00:04:49.440]  其實原來是享受神的同在
[00:04:49.440 --> 00:04:51.240]  經歷和神的關係
[00:04:51.240 --> 00:04:54.680]  並不是你不來敬拜,神打你屁股
[00:04:54.680 --> 00:04:57.680]  不是規條,沒有人逼你
[00:04:57.680 --> 00:05:00.200]  因為我們越知道神那份的愛
[00:05:00.200 --> 00:05:02.080]  祂是哪一位
[00:05:02.080 --> 00:05:04.680]  其實我們就嚮往去敬拜祂
[00:05:04.680 --> 00:05:07.760]  這個這麼重要的建築
[00:05:07.760 --> 00:05:11.920]  就是交給幕後英雄這兩位
[00:05:11.920 --> 00:05:13.560]  好,我們讀一讀這段經文
[00:05:13.560 --> 00:05:17.240]  我用一個小小演繹的方法跟大家分享
[00:05:17.240 --> 00:05:19.760]  耶和華吩咐摩西
[00:05:19.760 --> 00:05:22.240]  去親自提名召他們
[00:05:22.240 --> 00:05:25.120]  就是猶太支派胡爾的孫
[00:05:25.120 --> 00:05:28.240]  烏利的兒子彼撒列
[00:05:28.240 --> 00:05:33.520]  還有但支派阿希撒末的兒子阿荷里亞伯
[00:05:33.520 --> 00:05:35.520]  神說我的靈要充滿他們
[00:05:35.520 --> 00:05:38.280]  令他們有智慧、有聰明、有知識
[00:05:38.280 --> 00:05:40.320]  能做各樣的工
[00:05:40.320 --> 00:05:42.680]  做什麼呢?就是綠色的紙
[00:05:42.680 --> 00:05:46.360]  設計圖案,用金銀銅製造角物
[00:05:46.360 --> 00:05:49.000]  又挑剔雙嵌用的寶石
[00:05:49.000 --> 00:05:51.240]  挑剔木頭,做各樣的工
